scenario,source_json,rx_index,tag_id,x_m,y_m,z_m,geometric_class,material_class,penetration_loss_db,criterion,num_hits,hit_objects,hit_materials,inside_lengths_m
A,track23_scenario_a.json,1,T1,0.750,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,2,T2,0.750,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,3,T3,0.750,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,4,T4,0.750,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,5,T5,0.750,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,6,T6,0.750,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,7,T7,0.750,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,8,T8,0.750,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,9,T9,1.500,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,10,T10,1.500,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,11,T11,1.500,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,12,T12,1.500,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,13,T13,1.500,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,14,T14,1.500,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,15,T15,1.500,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,16,T16,1.500,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,17,T17,2.250,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,18,T18,2.250,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,19,T19,2.250,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,20,T20,2.250,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,21,T21,2.250,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,22,T22,2.250,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,23,T23,2.250,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,24,T24,2.250,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,25,T25,3.000,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,26,T26,3.000,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,27,T27,3.000,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,28,T28,3.000,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,29,T29,3.000,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,30,T30,3.000,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,31,T31,3.000,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,32,T32,3.000,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,33,T33,3.750,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,34,T34,3.750,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,35,T35,3.750,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,36,T36,3.750,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,37,T37,3.750,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,38,T38,3.750,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,39,T39,3.750,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,40,T40,3.750,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,41,T41,4.500,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,42,T42,4.500,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,43,T43,4.500,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,44,T44,4.500,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,45,T45,4.500,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,46,T46,4.500,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,47,T47,4.500,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,48,T48,4.500,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,49,T49,5.250,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,50,T50,5.250,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,51,T51,5.250,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,52,T52,5.250,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,53,T53,5.250,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,54,T54,5.250,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,55,T55,5.250,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
A,track23_scenario_a.json,56,T56,5.250,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
