scenario,source_json,rx_index,tag_id,x_m,y_m,z_m,geometric_class,material_class,penetration_loss_db,criterion,num_hits,hit_objects,hit_materials,inside_lengths_m
C,track23_scenario_c.json,1,T1,0.750,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,2,T2,0.750,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,3,T3,0.750,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,4,T4,0.750,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,5,T5,0.750,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,6,T6,0.750,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,7,T7,0.750,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,8,T8,0.750,1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,9,T9,1.500,-1.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,10,T10,1.500,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,11,T11,1.500,-0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,12,T12,1.500,-0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,13,T13,1.500,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,14,T14,1.500,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,15,T15,1.500,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,16,T16,1.500,1.750,-1.000,NLOS,NLOS,11.773,penetration_threshold,1,wood_shelf_1,wood,0.2871
C,track23_scenario_c.json,17,T17,2.250,-1.750,-1.000,NLOS,LOS,0.752,penetration_threshold,1,glass_partition_1,glass,0.0269
C,track23_scenario_c.json,18,T18,2.250,-1.250,-1.000,NLOS,LOS,0.687,penetration_threshold,1,glass_partition_1,glass,0.0245
C,track23_scenario_c.json,19,T19,2.250,-0.750,-1.000,NLOS,LOS,0.641,penetration_threshold,1,glass_partition_1,glass,0.0229
C,track23_scenario_c.json,20,T20,2.250,-0.250,-1.000,NLOS,NLOS,659966.329,hard_block_material,1,metal_cabinet_1,metal,0.6600
C,track23_scenario_c.json,21,T21,2.250,0.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,22,T22,2.250,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,23,T23,2.250,1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,24,T24,2.250,1.750,-1.000,NLOS,NLOS,3.145,penetration_threshold,1,wood_shelf_1,wood,0.0767
C,track23_scenario_c.json,25,T25,3.000,-1.750,-1.000,NLOS,LOS,0.675,penetration_threshold,1,glass_partition_1,glass,0.0241
C,track23_scenario_c.json,26,T26,3.000,-1.250,-1.000,NLOS,LOS,0.635,penetration_threshold,1,glass_partition_1,glass,0.0227
C,track23_scenario_c.json,27,T27,3.000,-0.750,-1.000,NLOS,NLOS,162500.000,hard_block_material,1,metal_cabinet_1,metal,0.1625
C,track23_scenario_c.json,28,T28,3.000,-0.250,-1.000,NLOS,NLOS,845905.169,hard_block_material,1,metal_cabinet_1,metal,0.8459
C,track23_scenario_c.json,29,T29,3.000,0.250,-1.000,NLOS,NLOS,158607.219,hard_block_material,1,metal_cabinet_1,metal,0.1586
C,track23_scenario_c.json,30,T30,3.000,0.750,-1.000,NLOS,LOS,0.607,penetration_threshold,1,glass_partition_2,glass,0.0217
C,track23_scenario_c.json,31,T31,3.000,1.250,-1.000,NLOS,LOS,0.635,penetration_threshold,1,glass_partition_2,glass,0.0227
C,track23_scenario_c.json,32,T32,3.000,1.750,-1.000,NLOS,LOS,0.675,penetration_threshold,1,glass_partition_2,glass,0.0241
C,track23_scenario_c.json,33,T33,3.750,-1.750,-1.000,NLOS,LOS,0.636,penetration_threshold,1,glass_partition_1,glass,0.0227
C,track23_scenario_c.json,34,T34,3.750,-1.250,-1.000,NLOS,LOS,0.609,penetration_threshold,1,glass_partition_1,glass,0.0217
C,track23_scenario_c.json,35,T35,3.750,-0.750,-1.000,NLOS,NLOS,632455.532,hard_block_material,1,metal_cabinet_1,metal,0.6325
C,track23_scenario_c.json,36,T36,3.750,-0.250,-1.000,NLOS,NLOS,829671.957,hard_block_material,1,metal_cabinet_1,metal,0.8297
C,track23_scenario_c.json,37,T37,3.750,0.250,-1.000,NLOS,NLOS,622253.967,hard_block_material,1,metal_cabinet_1,metal,0.6223
C,track23_scenario_c.json,38,T38,3.750,0.750,-1.000,NLOS,LOS,0.590,penetration_threshold,1,glass_partition_2,glass,0.0211
C,track23_scenario_c.json,39,T39,3.750,1.250,-1.000,NLOS,LOS,0.609,penetration_threshold,1,glass_partition_2,glass,0.0217
C,track23_scenario_c.json,40,T40,3.750,1.750,-1.000,NLOS,LOS,0.636,penetration_threshold,1,glass_partition_2,glass,0.0227
C,track23_scenario_c.json,41,T41,4.500,-1.750,-1.000,NLOS,LOS,0.614,penetration_threshold,1,glass_partition_1,glass,0.0219
C,track23_scenario_c.json,42,T42,4.500,-1.250,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,43,T43,4.500,-0.750,-1.000,NLOS,NLOS,830290.742,hard_block_material,1,metal_cabinet_1,metal,0.8303
C,track23_scenario_c.json,44,T44,4.500,-0.250,-1.000,NLOS,NLOS,820719.347,hard_block_material,1,metal_cabinet_1,metal,0.8207
C,track23_scenario_c.json,45,T45,4.500,0.250,-1.000,NLOS,NLOS,820719.347,hard_block_material,1,metal_cabinet_1,metal,0.8207
C,track23_scenario_c.json,46,T46,4.500,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,47,T47,4.500,1.250,-1.000,NLOS,LOS,0.594,penetration_threshold,1,glass_partition_2,glass,0.0212
C,track23_scenario_c.json,48,T48,4.500,1.750,-1.000,NLOS,LOS,0.614,penetration_threshold,1,glass_partition_2,glass,0.0219
C,track23_scenario_c.json,49,T49,5.250,-1.750,-1.000,NLOS,LOS,0.600,penetration_threshold,1,glass_partition_1,glass,0.0214
C,track23_scenario_c.json,50,T50,5.250,-1.250,-1.000,NLOS,NLOS,250908.553,hard_block_material,1,metal_cabinet_1,metal,0.2509
C,track23_scenario_c.json,51,T51,5.250,-0.750,-1.000,NLOS,NLOS,822363.167,hard_block_material,1,metal_cabinet_1,metal,0.8224
C,track23_scenario_c.json,52,T52,5.250,-0.250,-1.000,NLOS,NLOS,815273.697,hard_block_material,1,metal_cabinet_1,metal,0.8153
C,track23_scenario_c.json,53,T53,5.250,0.250,-1.000,NLOS,NLOS,815273.697,hard_block_material,1,metal_cabinet_1,metal,0.8153
C,track23_scenario_c.json,54,T54,5.250,0.750,-1.000,LOS,LOS,0.000,penetration_threshold,0,,,
C,track23_scenario_c.json,55,T55,5.250,1.250,-1.000,NLOS,LOS,0.585,penetration_threshold,1,glass_partition_2,glass,0.0209
C,track23_scenario_c.json,56,T56,5.250,1.750,-1.000,NLOS,LOS,0.600,penetration_threshold,1,glass_partition_2,glass,0.0214
