label_mode,scope,feature_name,x_m,y_m,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag,n_points_at_coord
geometric_class,B+C,gamma_CP_rx1,0.75,-1.75,0.704,0.704,30,25,5,5,0,2
geometric_class,B+C,gamma_CP_rx1,0.75,-1.25,0.644230769230769,0.644230769230769,30,26,4,4,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,-0.75,0.679012345679012,0.679012345679012,30,27,3,3,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,-0.25,0.75,0.75,30,28,2,2,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,0.25,0.689655172413793,0.689655172413793,30,29,1,1,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,0.75,1,1,30,29,1,1,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,1.25,0.535714285714286,0.535714285714286,30,28,2,2,1,2
geometric_class,B+C,gamma_CP_rx1,0.75,1.75,0.382716049382716,0.617283950617284,30,27,3,3,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,-1.75,0.642045454545455,0.642045454545455,30,22,8,8,0,2
geometric_class,B+C,gamma_CP_rx1,1.5,-1.25,0.638888888888889,0.638888888888889,30,24,6,6,0,2
geometric_class,B+C,gamma_CP_rx1,1.5,-0.75,0.625,0.625,30,26,4,4,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,-0.25,0.666666666666667,0.666666666666667,30,27,3,3,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,0.25,0.75,0.75,30,28,2,2,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,0.75,0.62962962962963,0.62962962962963,30,27,3,3,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,1.25,0.461538461538462,0.538461538461538,30,26,4,4,1,2
geometric_class,B+C,gamma_CP_rx1,1.5,1.75,0.4375,0.5625,30,24,6,6,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,-1.75,0.717703349282297,0.717703349282297,30,19,11,11,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,-1.25,0.736842105263158,0.736842105263158,30,19,11,11,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,-0.75,0.62962962962963,0.62962962962963,30,18,12,12,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,-0.25,0.569444444444444,0.569444444444444,30,18,12,12,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,0.25,0.655502392344498,0.655502392344498,30,19,11,11,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,0.75,0.631578947368421,0.631578947368421,30,19,11,11,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,1.25,0.61,0.61,30,20,10,10,0,2
geometric_class,B+C,gamma_CP_rx1,2.25,1.75,0.55026455026455,0.55026455026455,30,21,9,9,0,2
geometric_class,B+C,gamma_CP_rx1,3,-1.75,0.758928571428572,0.758928571428572,30,14,16,14,0,2
geometric_class,B+C,gamma_CP_rx1,3,-1.25,0.698564593301435,0.698564593301435,30,11,19,11,0,2
geometric_class,B+C,gamma_CP_rx1,3,-0.75,0.625,0.625,30,10,20,10,0,2
geometric_class,B+C,gamma_CP_rx1,3,-0.25,0.613756613756614,0.613756613756614,30,9,21,9,0,2
geometric_class,B+C,gamma_CP_rx1,3,0.25,0.765,0.765,30,10,20,10,0,2
geometric_class,B+C,gamma_CP_rx1,3,0.75,0.703703703703704,0.703703703703704,30,12,18,12,0,2
geometric_class,B+C,gamma_CP_rx1,3,1.25,0.755656108597285,0.755656108597285,30,13,17,13,0,2
geometric_class,B+C,gamma_CP_rx1,3,1.75,0.71875,0.71875,30,14,16,14,0,2
