label_mode,scope,feature_name,x_m,y_m,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag,n_points_at_coord
material_class,B+C,gamma_CP_rx1,0.75,-1.75,0.689655172413793,0.689655172413793,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,-1.25,0.724137931034483,0.724137931034483,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,-0.75,0.724137931034483,0.724137931034483,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,-0.25,0.758620689655172,0.758620689655172,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,0.25,0.689655172413793,0.689655172413793,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,0.75,1,1,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,0.75,1.25,0.535714285714286,0.535714285714286,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,0.75,1.75,0.553571428571429,0.553571428571429,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,1.5,-1.75,0.517857142857143,0.517857142857143,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,1.5,-1.25,0.655172413793103,0.655172413793103,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,1.5,-0.75,0.724137931034483,0.724137931034483,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,1.5,-0.25,0.724137931034483,0.724137931034483,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,1.5,0.25,0.758620689655172,0.758620689655172,30,29,1,1,1,2
material_class,B+C,gamma_CP_rx1,1.5,0.75,0.62962962962963,0.62962962962963,30,27,3,3,1,2
material_class,B+C,gamma_CP_rx1,1.5,1.25,0.535714285714286,0.535714285714286,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,1.5,1.75,0.553571428571429,0.553571428571429,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,2.25,-1.75,0.553571428571429,0.553571428571429,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,2.25,-1.25,0.666666666666667,0.666666666666667,30,27,3,3,1,2
material_class,B+C,gamma_CP_rx1,2.25,-0.75,0.528846153846154,0.528846153846154,30,26,4,4,1,2
material_class,B+C,gamma_CP_rx1,2.25,-0.25,0.605769230769231,0.605769230769231,30,26,4,4,1,2
material_class,B+C,gamma_CP_rx1,2.25,0.25,0.730769230769231,0.730769230769231,30,26,4,4,1,2
material_class,B+C,gamma_CP_rx1,2.25,0.75,0.752,0.752,30,25,5,5,0,2
material_class,B+C,gamma_CP_rx1,2.25,1.25,0.740384615384615,0.740384615384615,30,26,4,4,1,2
material_class,B+C,gamma_CP_rx1,2.25,1.75,0.553571428571429,0.553571428571429,30,28,2,2,1,2
material_class,B+C,gamma_CP_rx1,3,-1.75,0.654320987654321,0.654320987654321,30,27,3,3,1,2
material_class,B+C,gamma_CP_rx1,3,-1.25,0.618055555555556,0.618055555555556,30,24,6,6,0,2
material_class,B+C,gamma_CP_rx1,3,-0.75,0.683229813664596,0.683229813664596,30,23,7,7,0,2
material_class,B+C,gamma_CP_rx1,3,-0.25,0.77639751552795,0.77639751552795,30,23,7,7,0,2
material_class,B+C,gamma_CP_rx1,3,0.25,0.863354037267081,0.863354037267081,30,23,7,7,0,2
material_class,B+C,gamma_CP_rx1,3,0.75,0.784722222222222,0.784722222222222,30,24,6,6,0,2
material_class,B+C,gamma_CP_rx1,3,1.25,0.721153846153846,0.721153846153846,30,26,4,4,1,2
material_class,B+C,gamma_CP_rx1,3,1.75,0.654320987654321,0.654320987654321,30,27,3,3,1,2
material_class,B+C,gamma_CP_rx1,3.75,-1.75,0.743055555555556,0.743055555555556,30,24,6,6,0,2
