label_mode,scope,feature_name,sample_id,scenario,x_m,y_m,label,feature_value,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag
geometric_class,B,gamma_CP_rx1,1,B,0.75,-1.75,1,0.703876825260898,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,2,B,1.5,-1.75,1,0.750719142919264,0.714285714285714,0.714285714285714,15,14,1,1,1
geometric_class,B,gamma_CP_rx1,3,B,2.25,-1.75,1,0.540716991187168,0.714285714285714,0.714285714285714,15,14,1,1,1
geometric_class,B,gamma_CP_rx1,4,B,3,-1.75,1,0.545836097636117,0.772727272727273,0.772727272727273,15,11,4,4,1
geometric_class,B,gamma_CP_rx1,5,B,3.75,-1.75,1,-0.15801076725729,0.571428571428571,0.571428571428571,15,7,8,7,0
geometric_class,B,gamma_CP_rx1,6,B,4.5,-1.75,1,-0.237459758088597,0.5,0.5,15,5,10,5,0
geometric_class,B,gamma_CP_rx1,7,B,5.25,-1.75,0,0.19380489157641,0.409090909090909,0.590909090909091,15,4,11,4,1
geometric_class,B,gamma_CP_rx1,8,B,0.75,-1.25,1,1.14975742631263,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,9,B,1.5,-1.25,1,0.534491937828971,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,10,B,2.25,-1.25,1,0.230431851318336,0.730769230769231,0.730769230769231,15,13,2,2,1
geometric_class,B,gamma_CP_rx1,11,B,3,-1.25,1,0.351200682314462,0.611111111111111,0.611111111111111,15,9,6,6,0
geometric_class,B,gamma_CP_rx1,12,B,3.75,-1.25,1,0.563703933128707,0.407407407407407,0.592592592592593,15,6,9,6,0
geometric_class,B,gamma_CP_rx1,13,B,4.5,-1.25,0,-0.572306602282194,0.44,0.56,15,5,10,5,0
geometric_class,B,gamma_CP_rx1,14,B,5.25,-1.25,0,0.427744337345077,0.277777777777778,0.722222222222222,15,3,12,3,1
geometric_class,B,gamma_CP_rx1,15,B,0.75,-0.75,1,0.141514211758006,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,16,B,1.5,-0.75,1,0.175567173447591,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,17,B,2.25,-0.75,1,0.436416812450924,0.527777777777778,0.527777777777778,15,12,3,3,1
geometric_class,B,gamma_CP_rx1,18,B,3,-0.75,0,0.290845509357814,0.444444444444444,0.555555555555556,15,9,6,6,0
geometric_class,B,gamma_CP_rx1,19,B,3.75,-0.75,0,0.280243320831364,0.38,0.62,15,5,10,5,0
geometric_class,B,gamma_CP_rx1,20,B,4.5,-0.75,0,0.476477226744233,0.277777777777778,0.722222222222222,15,3,12,3,1
geometric_class,B,gamma_CP_rx1,21,B,5.25,-0.75,0,0.344610380479224,0.346153846153846,0.653846153846154,15,2,13,2,1
geometric_class,B,gamma_CP_rx1,22,B,0.75,-0.25,1,0.317091818621197,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,23,B,1.5,-0.25,1,0.266299956017718,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,24,B,2.25,-0.25,1,0.40939070018119,0.454545454545455,0.545454545454545,15,11,4,4,1
geometric_class,B,gamma_CP_rx1,25,B,3,-0.25,0,0.397215052363639,0.446428571428571,0.553571428571429,15,7,8,7,0
geometric_class,B,gamma_CP_rx1,26,B,3.75,-0.25,0,0.505888337408846,0.384615384615385,0.615384615384615,15,2,13,2,1
geometric_class,B,gamma_CP_rx1,27,B,4.5,-0.25,0,0.515458178231592,0.5,0.5,15,1,14,1,1
geometric_class,B,gamma_CP_rx1,28,B,5.25,-0.25,0,0.590122971441305,NaN,NaN,15,0,15,0,1
geometric_class,B,gamma_CP_rx1,29,B,0.75,0.25,1,1.24122051545543,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,30,B,1.5,0.25,1,0.718836165778259,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,31,B,2.25,0.25,1,0.651793810434081,0.659090909090909,0.659090909090909,15,11,4,4,1
geometric_class,B,gamma_CP_rx1,32,B,3,0.25,0,0.671333453896976,0.767857142857143,0.767857142857143,15,7,8,7,0
geometric_class,B,gamma_CP_rx1,33,B,3.75,0.25,0,0.677812645033558,1,1,15,2,13,2,1
geometric_class,B,gamma_CP_rx1,34,B,4.5,0.25,0,0.603603974005773,1,1,15,1,14,1,1
geometric_class,B,gamma_CP_rx1,35,B,5.25,0.25,0,0.628084556326829,0.928571428571428,0.928571428571428,15,1,14,1,1
geometric_class,B,gamma_CP_rx1,36,B,0.75,0.75,1,0.873904012708618,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,37,B,1.5,0.75,1,1.31331776828931,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,38,B,2.25,0.75,1,1.3176366369459,0.75,0.75,15,12,3,3,1
geometric_class,B,gamma_CP_rx1,39,B,3,0.75,0,0.97906454401422,0.851851851851852,0.851851851851852,15,9,6,6,0
geometric_class,B,gamma_CP_rx1,40,B,3.75,0.75,0,0.596792308719203,1,1,15,5,10,5,0
geometric_class,B,gamma_CP_rx1,41,B,4.5,0.75,0,0.834906508478982,0.977272727272727,0.977272727272727,15,4,11,4,1
geometric_class,B,gamma_CP_rx1,42,B,5.25,0.75,0,0.753323117115444,0.972222222222222,0.972222222222222,15,3,12,3,1
geometric_class,B,gamma_CP_rx1,43,B,0.75,1.25,1,1.32423155867255,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,44,B,1.5,1.25,1,1.95070265138022,0.571428571428571,0.571428571428571,15,14,1,1,1
geometric_class,B,gamma_CP_rx1,45,B,2.25,1.25,1,1.37484941959414,0.769230769230769,0.769230769230769,15,13,2,2,1
geometric_class,B,gamma_CP_rx1,46,B,3,1.25,1,1.46063378293863,0.925925925925926,0.925925925925926,15,9,6,6,0
geometric_class,B,gamma_CP_rx1,47,B,3.75,1.25,1,1.20130833031312,1,1,15,6,9,6,0
geometric_class,B,gamma_CP_rx1,48,B,4.5,1.25,0,0.74312312454814,0.96,0.96,15,5,10,5,0
geometric_class,B,gamma_CP_rx1,49,B,5.25,1.25,0,1.12382323391284,0.977272727272727,0.977272727272727,15,4,11,4,1
geometric_class,B,gamma_CP_rx1,50,B,0.75,1.75,1,0.277521381250725,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx1,51,B,1.5,1.75,1,0.859672498454131,0.642857142857143,0.642857142857143,15,14,1,1,1
geometric_class,B,gamma_CP_rx1,52,B,2.25,1.75,1,1.21027951008887,0.714285714285714,0.714285714285714,15,14,1,1,1
geometric_class,B,gamma_CP_rx1,53,B,3,1.75,1,1.38774257590279,0.909090909090909,0.909090909090909,15,11,4,4,1
geometric_class,B,gamma_CP_rx1,54,B,3.75,1.75,1,1.33067575091962,0.964285714285714,0.964285714285714,15,8,7,7,0
geometric_class,B,gamma_CP_rx1,55,B,4.5,1.75,1,1.22136552635994,0.962962962962963,0.962962962962963,15,6,9,6,0
geometric_class,B,gamma_CP_rx1,56,B,5.25,1.75,1,0.892737462055846,0.98,0.98,15,5,10,5,0
geometric_class,B,gamma_CP_rx2,1,B,0.75,-1.75,1,0.043232531092477,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx2,2,B,1.5,-1.75,1,0.719988610860292,0.571428571428571,0.571428571428571,15,14,1,1,1
geometric_class,B,gamma_CP_rx2,3,B,2.25,-1.75,1,1.71996713606137,0.642857142857143,0.642857142857143,15,14,1,1,1
geometric_class,B,gamma_CP_rx2,4,B,3,-1.75,1,1.63962328576024,0.818181818181818,0.818181818181818,15,11,4,4,1
geometric_class,B,gamma_CP_rx2,5,B,3.75,-1.75,1,1.63498260232158,1,1,15,7,8,7,0
geometric_class,B,gamma_CP_rx2,6,B,4.5,-1.75,1,1.78932216944281,0.96,0.96,15,5,10,5,0
geometric_class,B,gamma_CP_rx2,7,B,5.25,-1.75,0,0.686988654440719,0.977272727272727,0.977272727272727,15,4,11,4,1
geometric_class,B,gamma_CP_rx2,8,B,0.75,-1.25,1,0.67720437489183,NaN,NaN,15,15,0,0,1
geometric_class,B,gamma_CP_rx2,9,B,1.5,-1.25,1,1.40388152874669,NaN,NaN,15,15,0,0,1
