label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
geometric_class,B,0.75,-1.75,,NaN,NaN,0
geometric_class,B,1.5,-1.75,a_FP_RHCP_rx1,1,1,1
geometric_class,B,2.25,-1.75,a_FP_RHCP_rx1,1,1,1
geometric_class,B,3,-1.75,gamma_CP_rx2,0.818181818181818,4,1
geometric_class,B,3.75,-1.75,gamma_CP_rx2,1,7,0
geometric_class,B,4.5,-1.75,gamma_CP_rx2,0.96,5,0
geometric_class,B,5.25,-1.75,gamma_CP_rx2,0.977272727272727,4,1
geometric_class,B,0.75,-1.25,,NaN,NaN,0
geometric_class,B,1.5,-1.25,,NaN,NaN,0
geometric_class,B,2.25,-1.25,gamma_CP_rx1,0.730769230769231,2,1
geometric_class,B,3,-1.25,gamma_CP_rx2,0.925925925925926,6,0
geometric_class,B,3.75,-1.25,gamma_CP_rx2,0.962962962962963,6,0
geometric_class,B,4.5,-1.25,gamma_CP_rx2,0.96,5,0
geometric_class,B,5.25,-1.25,gamma_CP_rx2,0.972222222222222,3,1
geometric_class,B,0.75,-0.75,,NaN,NaN,0
geometric_class,B,1.5,-0.75,,NaN,NaN,0
geometric_class,B,2.25,-0.75,a_FP_RHCP_rx1,0.694444444444444,3,1
geometric_class,B,3,-0.75,gamma_CP_rx2,0.833333333333333,6,0
geometric_class,B,3.75,-0.75,gamma_CP_rx2,0.96,5,0
geometric_class,B,4.5,-0.75,gamma_CP_rx2,0.972222222222222,3,1
geometric_class,B,5.25,-0.75,gamma_CP_rx2,0.961538461538462,2,1
geometric_class,B,0.75,-0.25,,NaN,NaN,0
geometric_class,B,1.5,-0.25,,NaN,NaN,0
geometric_class,B,2.25,-0.25,a_FP_LHCP_rx1,0.75,4,1
geometric_class,B,3,-0.25,a_FP_LHCP_rx1,0.803571428571429,7,0
geometric_class,B,3.75,-0.25,gamma_CP_rx2,0.923076923076923,2,1
geometric_class,B,4.5,-0.25,a_FP_LHCP_rx1,1,1,1
geometric_class,B,5.25,-0.25,,NaN,NaN,0
geometric_class,B,0.75,0.25,,NaN,NaN,0
geometric_class,B,1.5,0.25,,NaN,NaN,0
geometric_class,B,2.25,0.25,gamma_CP_rx2,0.704545454545455,4,1
geometric_class,B,3,0.25,gamma_CP_rx1,0.767857142857143,7,0
geometric_class,B,3.75,0.25,gamma_CP_rx1,1,2,1
geometric_class,B,4.5,0.25,gamma_CP_rx1,1,1,1
geometric_class,B,5.25,0.25,a_FP_RHCP_rx1,1,1,1
geometric_class,B,0.75,0.75,,NaN,NaN,0
geometric_class,B,1.5,0.75,,NaN,NaN,0
geometric_class,B,2.25,0.75,gamma_CP_rx2,0.861111111111111,3,1
geometric_class,B,3,0.75,gamma_CP_rx1,0.851851851851852,6,0
geometric_class,B,3.75,0.75,gamma_CP_rx1,1,5,0
geometric_class,B,4.5,0.75,gamma_CP_rx1,0.977272727272727,4,1
geometric_class,B,5.25,0.75,gamma_CP_rx1,0.972222222222222,3,1
geometric_class,B,0.75,1.25,,NaN,NaN,0
geometric_class,B,1.5,1.25,a_FP_RHCP_rx1,1,1,1
geometric_class,B,2.25,1.25,gamma_CP_rx2,0.846153846153846,2,1
geometric_class,B,3,1.25,gamma_CP_rx1,0.925925925925926,6,0
geometric_class,B,3.75,1.25,gamma_CP_rx1,1,6,0
geometric_class,B,4.5,1.25,gamma_CP_rx1,0.96,5,0
geometric_class,B,5.25,1.25,gamma_CP_rx1,0.977272727272727,4,1
geometric_class,B,0.75,1.75,,NaN,NaN,0
geometric_class,B,1.5,1.75,a_FP_RHCP_rx1,1,1,1
geometric_class,B,2.25,1.75,a_FP_RHCP_rx1,1,1,1
geometric_class,B,3,1.75,gamma_CP_rx1,0.909090909090909,4,1
geometric_class,B,3.75,1.75,gamma_CP_rx1,0.964285714285714,7,0
geometric_class,B,4.5,1.75,gamma_CP_rx1,0.962962962962963,6,0
geometric_class,B,5.25,1.75,gamma_CP_rx1,0.98,5,0
