label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
geometric_class,C,0.75,-1.75,gamma_CP_rx1,0.76,5,0
geometric_class,C,1.5,-1.75,gamma_CP_rx1,0.696428571428571,7,0
geometric_class,C,2.25,-1.75,gamma_CP_rx1,0.87037037037037,6,0
geometric_class,C,3,-1.75,gamma_CP_rx1,0.972222222222222,3,1
geometric_class,C,3.75,-1.75,gamma_CP_rx1,0.928571428571428,1,1
geometric_class,C,4.5,-1.75,gamma_CP_rx1,1,1,1
geometric_class,C,5.25,-1.75,gamma_CP_rx1,0.928571428571428,1,1
geometric_class,C,0.75,-1.25,gamma_CP_rx1,0.727272727272727,4,1
geometric_class,C,1.5,-1.25,gamma_CP_rx1,0.740740740740741,6,0
geometric_class,C,2.25,-1.25,a_FP_RHCP_rx1,0.833333333333333,6,0
geometric_class,C,3,-1.25,gamma_CP_rx1,0.884615384615385,2,1
geometric_class,C,3.75,-1.25,gamma_CP_rx1,1,1,1
geometric_class,C,4.5,-1.25,gamma_CP_rx1,0.928571428571428,1,1
geometric_class,C,5.25,-1.25,gamma_CP_rx1,0.961538461538462,2,1
geometric_class,C,0.75,-0.75,gamma_CP_rx1,0.75,3,1
geometric_class,C,1.5,-0.75,gamma_CP_rx1,0.681818181818182,4,1
geometric_class,C,2.25,-0.75,a_FP_RHCP_rx1,0.833333333333333,6,0
geometric_class,C,3,-0.75,a_FP_LHCP_rx2,0.928571428571428,1,1
geometric_class,C,3.75,-0.75,gamma_CP_rx1,0.857142857142857,1,1
geometric_class,C,4.5,-0.75,gamma_CP_rx1,0.928571428571428,1,1
geometric_class,C,5.25,-0.75,gamma_CP_rx1,0.944444444444445,3,1
geometric_class,C,0.75,-0.25,gamma_CP_rx1,0.769230769230769,2,1
geometric_class,C,1.5,-0.25,a_FP_RHCP_rx1,0.75,3,1
geometric_class,C,2.25,-0.25,a_FP_RHCP_rx1,0.839285714285714,7,0
geometric_class,C,3,-0.25,a_FP_LHCP_rx2,0.961538461538462,2,1
geometric_class,C,3.75,-0.25,a_FP_RHCP_rx2,0.769230769230769,2,1
geometric_class,C,4.5,-0.25,a_FP_RHCP_rx2,0.944444444444445,3,1
geometric_class,C,5.25,-0.25,gamma_CP_rx1,0.944444444444445,3,1
geometric_class,C,0.75,0.25,gamma_CP_rx1,0.714285714285714,1,1
geometric_class,C,1.5,0.25,gamma_CP_rx1,0.769230769230769,2,1
geometric_class,C,2.25,0.25,a_FP_LHCP_rx2,0.821428571428572,7,0
geometric_class,C,3,0.25,a_FP_LHCP_rx2,0.972222222222222,3,1
geometric_class,C,3.75,0.25,gamma_CP_rx2,1,1,1
geometric_class,C,4.5,0.25,a_FP_RHCP_rx2,1,2,1
geometric_class,C,5.25,0.25,a_FP_RHCP_rx2,1,2,1
geometric_class,C,0.75,0.75,gamma_CP_rx1,1,1,1
geometric_class,C,1.5,0.75,a_FP_LHCP_rx2,0.861111111111111,3,1
geometric_class,C,2.25,0.75,a_FP_LHCP_rx2,0.928571428571429,7,0
geometric_class,C,3,0.75,a_FP_LHCP_rx2,0.972222222222222,3,1
geometric_class,C,3.75,0.75,gamma_CP_rx2,1,1,1
geometric_class,C,4.5,0.75,a_FP_RHCP_rx2,1,2,1
geometric_class,C,5.25,0.75,a_FP_RHCP_rx2,1,2,1
geometric_class,C,0.75,1.25,a_FP_RHCP_rx2,1,2,1
geometric_class,C,1.5,1.25,a_FP_LHCP_rx2,1,4,1
geometric_class,C,2.25,1.25,a_FP_LHCP_rx2,0.964285714285714,7,0
geometric_class,C,3,1.25,a_FP_LHCP_rx2,1,4,1
geometric_class,C,3.75,1.25,gamma_CP_rx2,1,2,1
geometric_class,C,4.5,1.25,a_FP_RHCP_rx2,0.961538461538462,2,1
geometric_class,C,5.25,1.25,a_FP_RHCP_rx2,1,2,1
geometric_class,C,0.75,1.75,a_FP_RHCP_rx2,1,3,1
geometric_class,C,1.5,1.75,a_FP_LHCP_rx2,1,5,0
geometric_class,C,2.25,1.75,a_FP_LHCP_rx2,1,7,0
geometric_class,C,3,1.75,a_FP_LHCP_rx2,1,4,1
geometric_class,C,3.75,1.75,a_FP_RHCP_rx2,0.961538461538462,2,1
geometric_class,C,4.5,1.75,a_FP_RHCP_rx2,0.961538461538462,2,1
geometric_class,C,5.25,1.75,a_FP_RHCP_rx2,1,2,1
