label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
material_class,C,0.75,-1.75,gamma_CP_rx2,0.857142857142857,1,1
material_class,C,1.5,-1.75,gamma_CP_rx2,0.846153846153846,2,1
material_class,C,2.25,-1.75,gamma_CP_rx2,0.846153846153846,2,1
material_class,C,3,-1.75,gamma_CP_rx2,0.818181818181818,4,1
material_class,C,3.75,-1.75,gamma_CP_rx2,0.925925925925926,6,0
material_class,C,4.5,-1.75,gamma_CP_rx2,0.964285714285714,7,0
material_class,C,5.25,-1.75,gamma_CP_rx2,0.962962962962963,6,0
material_class,C,0.75,-1.25,gamma_CP_rx1,0.785714285714286,1,1
material_class,C,1.5,-1.25,gamma_CP_rx2,0.928571428571429,1,1
material_class,C,2.25,-1.25,gamma_CP_rx2,0.944444444444445,3,1
material_class,C,3,-1.25,gamma_CP_rx2,0.907407407407407,6,0
material_class,C,3.75,-1.25,gamma_CP_rx2,0.928571428571429,7,0
material_class,C,4.5,-1.25,gamma_CP_rx2,0.964285714285714,7,0
material_class,C,5.25,-1.25,gamma_CP_rx2,0.944444444444444,6,0
material_class,C,0.75,-0.75,gamma_CP_rx1,0.785714285714286,1,1
material_class,C,1.5,-0.75,gamma_CP_rx2,0.857142857142857,1,1
material_class,C,2.25,-0.75,gamma_CP_rx2,0.909090909090909,4,1
material_class,C,3,-0.75,gamma_CP_rx2,0.910714285714286,7,0
material_class,C,3.75,-0.75,gamma_CP_rx2,0.944444444444444,6,0
material_class,C,4.5,-0.75,gamma_CP_rx2,0.94,5,0
material_class,C,5.25,-0.75,a_FP_RHCP_rx2,0.907407407407407,6,0
material_class,C,0.75,-0.25,gamma_CP_rx1,0.785714285714286,1,1
material_class,C,1.5,-0.25,gamma_CP_rx1,0.785714285714286,1,1
material_class,C,2.25,-0.25,a_FP_RHCP_rx2,0.886363636363636,4,1
material_class,C,3,-0.25,gamma_CP_rx1,0.803571428571429,7,0
material_class,C,3.75,-0.25,a_FP_LHCP_rx1,0.851851851851852,6,0
material_class,C,4.5,-0.25,gamma_CP_rx1,0.9,5,0
material_class,C,5.25,-0.25,a_FP_RHCP_rx2,0.82,5,0
material_class,C,0.75,0.25,gamma_CP_rx1,0.714285714285714,1,1
material_class,C,1.5,0.25,gamma_CP_rx1,0.785714285714286,1,1
material_class,C,2.25,0.25,a_FP_RHCP_rx1,0.909090909090909,4,1
material_class,C,3,0.25,gamma_CP_rx1,0.928571428571428,7,0
material_class,C,3.75,0.25,a_FP_RHCP_rx1,0.962962962962963,6,0
material_class,C,4.5,0.25,a_FP_RHCP_rx1,0.888888888888889,6,0
material_class,C,5.25,0.25,a_FP_RHCP_rx1,0.888888888888889,6,0
material_class,C,0.75,0.75,gamma_CP_rx1,1,1,1
material_class,C,1.5,0.75,a_FP_LHCP_rx2,0.861111111111111,3,1
material_class,C,2.25,0.75,a_FP_RHCP_rx1,0.92,5,0
material_class,C,3,0.75,gamma_CP_rx1,0.833333333333333,6,0
material_class,C,3.75,0.75,a_FP_RHCP_rx1,0.944444444444445,6,0
material_class,C,4.5,0.75,a_FP_RHCP_rx1,0.944444444444444,6,0
material_class,C,5.25,0.75,a_FP_RHCP_rx1,0.910714285714286,7,0
material_class,C,0.75,1.25,a_FP_RHCP_rx2,1,2,1
material_class,C,1.5,1.25,a_FP_RHCP_rx2,1,2,1
material_class,C,2.25,1.25,a_FP_RHCP_rx1,0.863636363636364,4,1
material_class,C,3,1.25,a_FP_RHCP_rx2,0.840909090909091,4,1
material_class,C,3.75,1.25,a_FP_RHCP_rx1,0.954545454545455,4,1
material_class,C,4.5,1.25,a_FP_RHCP_rx1,0.954545454545455,4,1
material_class,C,5.25,1.25,a_FP_RHCP_rx1,0.925925925925926,6,0
material_class,C,0.75,1.75,a_FP_RHCP_rx2,1,2,1
material_class,C,1.5,1.75,a_FP_RHCP_rx2,1,2,1
material_class,C,2.25,1.75,a_FP_RHCP_rx2,1,2,1
material_class,C,3,1.75,a_FP_RHCP_rx1,0.833333333333333,3,1
material_class,C,3.75,1.75,a_FP_LHCP_rx1,0.861111111111111,3,1
material_class,C,4.5,1.75,a_FP_RHCP_rx1,0.944444444444444,3,1
material_class,C,5.25,1.75,a_FP_RHCP_rx1,0.94,5,0
