subset_name,feature_name,n_samples,n_los,n_nlos,focus_feature,auc,status
mat_BC_hardblock_metal,a_FP_RHCP_rx1,110,95,15,1,0.87719298245614,ok
mat_BC_hardblock_metal,a_FP_RHCP_rx2,110,95,15,1,0.79719298245614,ok
mat_BC_hardblock_metal,gamma_CP_rx1,110,95,15,0,0.817543859649123,ok
mat_BC_hardblock_metal,gamma_CP_rx2,110,95,15,0,0.624561403508772,ok
mat_C_softblock_wood,a_FP_RHCP_rx1,97,95,2,1,0.647368421052632,underpowered
mat_C_softblock_wood,a_FP_RHCP_rx2,97,95,2,1,0.984210526315789,underpowered
mat_C_softblock_wood,gamma_CP_rx1,97,95,2,0,0.5,underpowered
mat_C_softblock_wood,gamma_CP_rx2,97,95,2,0,0.757894736842105,underpowered
mat_C_all,a_FP_RHCP_rx1,56,40,16,1,0.80625,ok
mat_C_all,a_FP_RHCP_rx2,56,40,16,1,0.8640625,ok
mat_C_all,gamma_CP_rx1,56,40,16,0,0.7703125,ok
mat_C_all,gamma_CP_rx2,56,40,16,0,0.5828125,ok
