label_target,subset_name,feature_name,n_samples,n_los,n_nlos,focus_feature,auc,status
material,mat_BC_hardblock_metal,a_FP_RHCP_rx1,110,95,15,1,0.87719298245614,ok
material,mat_BC_hardblock_metal,a_FP_RHCP_rx2,110,95,15,1,0.79719298245614,ok
material,mat_BC_hardblock_metal,gamma_CP_rx1,110,95,15,0,0.817543859649123,ok
material,mat_BC_hardblock_metal,gamma_CP_rx2,110,95,15,0,0.624561403508772,ok
material,mat_C_softblock_wood,a_FP_RHCP_rx1,97,95,2,1,0.647368421052632,underpowered
material,mat_C_softblock_wood,a_FP_RHCP_rx2,97,95,2,1,0.984210526315789,underpowered
material,mat_C_softblock_wood,gamma_CP_rx1,97,95,2,0,0.5,underpowered
material,mat_C_softblock_wood,gamma_CP_rx2,97,95,2,0,0.757894736842105,underpowered
material,mat_C_all,a_FP_RHCP_rx1,56,40,16,1,0.80625,ok
material,mat_C_all,a_FP_RHCP_rx2,56,40,16,1,0.8640625,ok
material,mat_C_all,gamma_CP_rx1,56,40,16,0,0.7703125,ok
material,mat_C_all,gamma_CP_rx2,56,40,16,0,0.5828125,ok
geometric,geom_B_metal_single_bounce,a_FP_LHCP_rx1,36,35,1,1,0.771428571428571,underpowered
geometric,geom_B_metal_single_bounce,a_FP_LHCP_rx2,36,35,1,1,0.314285714285714,underpowered
geometric,geom_B_metal_single_bounce,gamma_CP_rx1,36,35,1,0,0.885714285714286,underpowered
geometric,geom_B_metal_single_bounce,gamma_CP_rx2,36,35,1,0,0.571428571428571,underpowered
geometric,geom_B_glass_partition,a_FP_LHCP_rx1,55,35,20,1,0.802857142857143,ok
geometric,geom_B_glass_partition,a_FP_LHCP_rx2,55,35,20,1,0.805714285714286,ok
geometric,geom_B_glass_partition,gamma_CP_rx1,55,35,20,0,0.62,ok
geometric,geom_B_glass_partition,gamma_CP_rx2,55,35,20,0,0.41,ok
geometric,geom_C_dense_clutter_all,a_FP_LHCP_rx1,56,21,35,1,0.771428571428571,ok
geometric,geom_C_dense_clutter_all,a_FP_LHCP_rx2,56,21,35,1,0.843537414965986,ok
geometric,geom_C_dense_clutter_all,gamma_CP_rx1,56,21,35,0,0.710204081632653,ok
geometric,geom_C_dense_clutter_all,gamma_CP_rx2,56,21,35,0,0.374149659863946,ok
