label_target,scope,model_name,n_samples,n_los,n_nlos,status,auc,brier_score,accuracy
material,B,baseline_plus_rx1,56,55,1,insufficient_scope,NaN,NaN,NaN
material,B,baseline_plus_rx2,56,55,1,insufficient_scope,NaN,NaN,NaN
material,B,baseline_plus_dual,56,55,1,insufficient_scope,NaN,NaN,NaN
material,C,baseline_plus_rx1,56,40,16,ok,0.915625,0.112079566133475,0.839285714285714
material,C,baseline_plus_rx2,56,40,16,ok,0.9234375,0.10997669906659,0.839285714285714
material,C,baseline_plus_dual,56,40,16,ok,0.9140625,0.114686014114051,0.839285714285714
material,B+C,baseline_plus_rx1,112,95,17,ok,0.947368421052632,0.0808071000657806,0.892857142857143
material,B+C,baseline_plus_rx2,112,95,17,ok,0.945510835913313,0.0864225455751208,0.901785714285714
material,B+C,baseline_plus_dual,112,95,17,ok,0.941795665634675,0.0840599986566259,0.883928571428571
geometric,B,baseline_plus_rx1,56,35,21,ok,0.907482993197279,0.12741757047603,0.821428571428571
geometric,B,baseline_plus_rx2,56,35,21,ok,0.912925170068027,0.116589007777412,0.839285714285714
geometric,B,baseline_plus_dual,56,35,21,ok,0.910204081632653,0.120019457611513,0.803571428571429
geometric,C,baseline_plus_rx1,56,21,35,ok,0.829931972789116,0.173007022171519,0.732142857142857
geometric,C,baseline_plus_rx2,56,21,35,ok,0.842176870748299,0.153477835185528,0.803571428571429
geometric,C,baseline_plus_dual,56,21,35,ok,0.85578231292517,0.142087110143822,0.857142857142857
geometric,B+C,baseline_plus_rx1,112,56,56,ok,0.891900510204082,0.132252924641069,0.821428571428571
geometric,B+C,baseline_plus_rx2,112,56,56,ok,0.895089285714286,0.12656640591385,0.803571428571429
geometric,B+C,baseline_plus_dual,112,56,56,ok,0.904974489795918,0.123163581973838,0.821428571428571
