model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,gamma_CP_rx1,1,0.904974489795918,0.862882653061224,0.0420918367346939
rf,gamma_CP_rx1,1,0.892857142857143,0.891262755102041,0.00159438775510212
logistic,gamma_CP_rx2,1,0.904974489795918,0.864795918367347,0.0401785714285716
rf,gamma_CP_rx2,1,0.892857142857143,0.860491071428571,0.0323660714285714
logistic,a_FP_RHCP_rx1,1,0.904974489795918,0.884247448979592,0.0207270408163266
rf,a_FP_RHCP_rx1,1,0.892857142857143,0.897640306122449,-0.00478316326530615
logistic,a_FP_LHCP_rx1,1,0.904974489795918,0.810586734693878,0.0943877551020408
rf,a_FP_LHCP_rx1,1,0.892857142857143,0.887276785714285,0.00558035714285721
logistic,a_FP_RHCP_rx2,1,0.904974489795918,0.912308673469388,-0.00733418367346927
rf,a_FP_RHCP_rx2,1,0.892857142857143,0.895727040816326,-0.00286989795918369
logistic,a_FP_LHCP_rx2,1,0.904974489795918,0.878507653061224,0.0264668367346939
rf,a_FP_LHCP_rx2,1,0.892857142857143,0.867984693877551,0.0248724489795918
logistic,gamma_CP_rx1,2,0.904974489795918,0.876275510204081,0.0286989795918369
rf,gamma_CP_rx1,2,0.892857142857143,0.901785714285714,-0.00892857142857151
logistic,gamma_CP_rx2,2,0.904974489795918,0.861926020408163,0.0430484693877552
rf,gamma_CP_rx2,2,0.892857142857143,0.839604591836735,0.053252551020408
logistic,a_FP_RHCP_rx1,2,0.904974489795918,0.893176020408163,0.0117984693877551
rf,a_FP_RHCP_rx1,2,0.892857142857143,0.906887755102041,-0.0140306122448981
logistic,a_FP_LHCP_rx1,2,0.904974489795918,0.823341836734694,0.0816326530612245
rf,a_FP_LHCP_rx1,2,0.892857142857143,0.899234693877551,-0.00637755102040816
logistic,a_FP_RHCP_rx2,2,0.904974489795918,0.911033163265306,-0.00605867346938793
rf,a_FP_RHCP_rx2,2,0.892857142857143,0.895089285714286,-0.0022321428571429
logistic,a_FP_LHCP_rx2,2,0.904974489795918,0.894132653061224,0.0108418367346939
rf,a_FP_LHCP_rx2,2,0.892857142857143,0.871492346938775,0.0213647959183673
logistic,gamma_CP_rx1,3,0.904974489795918,0.890306122448979,0.0146683673469389
rf,gamma_CP_rx1,3,0.892857142857143,0.889668367346939,0.00318877551020413
logistic,gamma_CP_rx2,3,0.904974489795918,0.856505102040816,0.048469387755102
rf,gamma_CP_rx2,3,0.892857142857143,0.836256377551021,0.0566007653061221
logistic,a_FP_RHCP_rx1,3,0.904974489795918,0.896683673469388,0.00829081632653061
rf,a_FP_RHCP_rx1,3,0.892857142857143,0.894132653061224,-0.00127551020408156
logistic,a_FP_LHCP_rx1,3,0.904974489795918,0.847257653061224,0.0577168367346939
rf,a_FP_LHCP_rx1,3,0.892857142857143,0.89110331632653,0.00175382653061229
logistic,a_FP_RHCP_rx2,3,0.904974489795918,0.918048469387755,-0.0130739795918368
rf,a_FP_RHCP_rx2,3,0.892857142857143,0.893813775510204,-0.000956632653061118
logistic,a_FP_LHCP_rx2,3,0.904974489795918,0.899872448979592,0.00510204081632648
rf,a_FP_LHCP_rx2,3,0.892857142857143,0.862563775510204,0.0302933673469388
logistic,gamma_CP_rx1,4,0.904974489795918,0.891262755102041,0.0137117346938778
rf,gamma_CP_rx1,4,0.892857142857143,0.894132653061224,-0.00127551020408168
logistic,gamma_CP_rx2,4,0.904974489795918,0.839923469387755,0.0650510204081634
rf,gamma_CP_rx2,4,0.892857142857143,0.847257653061224,0.0455994897959182
logistic,a_FP_RHCP_rx1,4,0.904974489795918,0.881696428571428,0.0232780612244899
