model_name,feature_name,n_repeats,mean_auc_drop,median_auc_drop,std_auc_drop,p05_auc_drop,p95_auc_drop
logistic,a_FP_LHCP_rx1,100,0.0747735969387755,0.0773278061224489,0.020394041152617,0.036670918367347,0.106505102040816
logistic,gamma_CP_rx2,100,0.0419036989795919,0.0427295918367347,0.0130277509611304,0.0207270408163265,0.0629783163265306
logistic,a_FP_RHCP_rx1,100,0.0135905612244899,0.0137117346938776,0.00825702374207957,-0.000318877551020336,0.026466836734694
logistic,gamma_CP_rx1,100,0.0125956632653062,0.0127551020408165,0.0108912232188613,-0.0060586734693876,0.0286989795918369
logistic,a_FP_LHCP_rx2,100,0.008890306122449,0.00908801020408162,0.0070377118259122,-0.00175382653061223,0.0205676020408164
logistic,a_FP_RHCP_rx2,100,-0.00686543367346942,-0.00685586734693877,0.00419637173876396,-0.0133928571428572,5.55111512312578e-17
rf,gamma_CP_rx2,100,0.0432063137755101,0.0435267857142856,0.0106485720119424,0.0263871173469387,0.0606664540816324
rf,a_FP_LHCP_rx2,100,0.0187914540816326,0.0188934948979592,0.0104125990497885,0.000318877551020391,0.0358737244897958
rf,a_FP_LHCP_rx1,100,0.00169483418367341,0.00239158163265302,0.00775672758732156,-0.010921556122449,0.0153858418367346
rf,gamma_CP_rx1,100,-0.00178252551020407,-0.00207270408163263,0.00439018510269001,-0.00797193877551017,0.00502232142857151
rf,a_FP_RHCP_rx2,100,-0.00316326530612245,-0.00294961734693888,0.00242794073729069,-0.00709502551020413,0.000398596938775475
rf,a_FP_RHCP_rx1,100,-0.0037260841836735,-0.00374681122448978,0.00473778198416758,-0.0121173469387756,0.00406568877551011
