scope,variant_name,dropped_features,n_features,n_samples,n_los,n_nlos,status,auc,brier_score,accuracy,delta_auc_vs_full,delta_brier_vs_full,delta_accuracy_vs_full
B,baseline,"all_cp7",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,full_proposed,"",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,drop_gamma_rx2_only,"gamma_CP_rx2",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
B,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",NaN,56,55,1,insufficient_scope,NaN,NaN,NaN,NaN,NaN,NaN
C,baseline,"all_cp7",5,56,40,16,ok,0.9375,0.100959622866081,0.857142857142857,0.0234375,-0.0137263912479695,0.0178571428571428
C,full_proposed,"",11,56,40,16,ok,0.9140625,0.114686014114051,0.839285714285714,0,0,0
C,drop_gamma_rx2_only,"gamma_CP_rx2",10,56,40,16,ok,0.9078125,0.118854860976269,0.839285714285714,-0.00624999999999998,0.00416884686221843,0
C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,56,40,16,ok,0.9265625,0.10531274477702,0.875,0.0125,-0.00937326933703063,0.0357142857142857
C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,56,40,16,ok,0.9234375,0.10997669906659,0.839285714285714,0.00937500000000002,-0.00470931504746136,0
C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,56,40,16,ok,0.915625,0.111678400053203,0.875,0.00156249999999991,-0.00300761406084803,0.0357142857142857
C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,56,40,16,ok,0.93125,0.103804550484696,0.892857142857143,0.0171874999999999,-0.0108814636293552,0.0535714285714286
B+C,baseline,"all_cp7",5,112,95,17,ok,0.947368421052631,0.0853281397821525,0.901785714285714,0.0191950464396282,-0.00946337468880798,0.0178571428571429
B+C,full_proposed,"",11,112,95,17,ok,0.928173374613003,0.0947915144709605,0.883928571428571,0,0,0
B+C,drop_gamma_rx2_only,"gamma_CP_rx2",10,112,95,17,ok,0.93374613003096,0.0945054229789392,0.875,0.00557275541795654,-0.000286091492021273,-0.0089285714285714
B+C,drop_gamma_both,"gamma_CP_rx1,gamma_CP_rx2",9,112,95,17,ok,0.939938080495356,0.0898917408247875,0.866071428571429,0.0117647058823529,-0.00489977364617294,-0.0178571428571428
B+C,drop_rx1_branch,"gamma_CP_rx1,a_FP_RHCP_rx1,a_FP_LHCP_rx1",8,112,95,17,ok,0.930650154798762,0.0926803465731266,0.875,0.00247678018575836,-0.00211116789783383,-0.0089285714285714
B+C,drop_lhcp_pair,"a_FP_LHCP_rx1,a_FP_LHCP_rx2",9,112,95,17,ok,0.935603715170279,0.090442876085305,0.892857142857143,0.00743034055727543,-0.0043486383856555,0.00892857142857151
B+C,drop_rhcp_pair,"a_FP_RHCP_rx1,a_FP_RHCP_rx2",9,112,95,17,ok,0.938699690402477,0.0864156619116347,0.883928571428571,0.0105263157894735,-0.00837585255932573,0
