case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseC,C,CP,33,3.75,0.25,0,1.41594547007127,0.0703804364094089,-77.133407631888,5.87760205843011,0.599359203786489,0.48319708744065,1,0,1,0,1,0,-0.116162116345839
LP_caseA,A,LP,55,4.5,1.75,1,4.09359187248877,0.143904354923985,-78.5911799747433,4.74796265403886,0.498548297594512,0.540667367245271,0,1,1,0,1,0,0.0421190696507587
LP_caseC,C,LP,46,3,1.25,1,6.43194576635524,0.331912055540288,-76.2082011844428,5.26081505251814,0.485471484726679,0.679290853190472,0,1,1,0,1,0,0.193819368463793
LP_caseC,C,LP,49,5.25,1.25,1,4.18917771385999,0.26197133313171,-78.5585974134818,5.22474261965581,0.343513528504824,0.515628498037856,0,1,1,0,1,0,0.172114969533032
CP_caseB,B,CP,51,1.5,1.75,1,97.3621832724058,0.288755274644685,-73.9498112904058,5.33310328044782,0.796590342665036,0.435804041115104,1,0,0,1,0,1,-0.360786301549932
CP_caseC,C,CP,11,3,-1.25,1,0.0922332115566677,0.16666228140703,-68.6403199052094,11.3750280581468,0.59030762293031,0.417159045997918,1,0,0,1,0,1,-0.173148576932392
LP_caseA,A,LP,22,0.75,-0.25,1,0.182932182395104,0.101488540431813,-76.4713645983289,9.00367155370714,0.50446607887793,0.380634345261678,1,0,0,1,0,1,-0.123831733616253
LP_caseB,B,LP,51,1.5,1.75,1,25.2390649782474,0.201314615819686,-77.1923842471351,4.40024970835733,0.505380441038423,0.407219990043274,1,0,0,1,0,1,-0.0981604509951495
LP_caseC,C,LP,4,3,-1.75,1,0.763779674654505,0.115787766715908,-75.939481335163,5.37765833053573,0.545446172302006,0.341677685176512,1,0,0,1,0,1,-0.203768487125494
LP_caseC,C,LP,22,0.75,-0.25,1,0.18312001373512,0.0303916298659213,-71.1179177382616,5.38032273662864,0.728800987953153,0.484258786095266,1,0,0,1,0,1,-0.244542201857887
CP_caseA,A,CP,1,0.75,-1.75,1,0.103757836640253,0.250099987203325,-71.0490327455368,3.76408888338046,0.949510221362186,0.9570858821461,1,1,0,0,0,0,0.00757566078391436
CP_caseA,A,CP,2,1.5,-1.75,1,0.0986975500252196,0.26086372045475,-67.4773195281015,3.22613571045638,0.996040578533976,0.996500978884783,1,1,0,0,0,0,0.0004604003508073
CP_caseA,A,CP,3,2.25,-1.75,1,0.0605421037481592,0.291848270638763,-67.8305723526483,2.99039031650069,0.981184141503284,0.98848377529795,1,1,0,0,0,0,0.00729963379466547
CP_caseA,A,CP,4,3,-1.75,1,0.0750963103561886,0.228815140187809,-67.2363748475074,2.86927801647535,0.998023244001397,0.998426678191398,1,1,0,0,0,0,0.000403434190000218
CP_caseA,A,CP,5,3.75,-1.75,1,0.0952130177580176,0.280446715970564,-67.7853779261301,2.86229661520176,0.994759122783496,0.996902682811748,1,1,0,0,0,0,0.00214356002825178
CP_caseA,A,CP,6,4.5,-1.75,1,0.0725088330057412,0.310271478037676,-69.6647219314655,2.56257411674023,0.99382019864556,0.996155066332558,1,1,0,0,0,0,0.00233486768699753
CP_caseA,A,CP,7,5.25,-1.75,1,0.172555485677451,0.2279087784535,-68.1615667219754,2.66022476068401,0.996661078605444,0.996070152934585,1,1,0,0,0,0,-0.000590925670858611
CP_caseA,A,CP,8,0.75,-1.25,1,0.136339910439641,0.350200311881892,-67.0646093222768,3.28467691725725,0.994557096102798,0.997383549224736,1,1,0,0,0,0,0.00282645312193763
CP_caseA,A,CP,9,1.5,-1.25,1,0.076341110283287,0.250584598689422,-64.8836162130722,2.80169519429085,0.998437082348802,0.998225995696888,1,1,0,0,0,0,-0.000211086651914383
CP_caseA,A,CP,10,2.25,-1.25,1,0.0862807055119183,0.265457808225013,-64.942835667279,2.73455725657454,0.996368501667016,0.996433971521641,1,1,0,0,0,0,6.54698546259658e-05
CP_caseA,A,CP,11,3,-1.25,1,0.121453903117927,0.252263253423745,-66.1509332583669,2.85395285447429,0.99890672570698,0.999093972082839,1,1,0,0,0,0,0.000187246375859651
CP_caseA,A,CP,12,3.75,-1.25,1,0.156689140579162,0.301586335038467,-68.3118626601351,3.38949146886999,0.98855990458304,0.992848372229195,1,1,0,0,0,0,0.0042884676461552
CP_caseA,A,CP,13,4.5,-1.25,1,0.19027535003786,0.326179926420629,-69.0995332807945,3.33618014694565,0.973582072609786,0.986287333370676,1,1,0,0,0,0,0.0127052607608895
CP_caseA,A,CP,14,5.25,-1.25,1,0.219217809086797,0.295598264744949,-70.2225645293412,2.93609349096642,0.957972326670136,0.969643774104345,1,1,0,0,0,0,0.0116714474342087
