case_name,feature,n_samples,n_los,n_nlos,auc_raw,auc_best_direction
CP_caseB,r_CP,56,55,1,1,1
CP_caseB,a_FP,56,55,1,0.981818181818182,0.981818181818182
CP_caseB,fp_energy_db,56,55,1,0.945454545454545,0.945454545454545
CP_caseB,skewness_pdp,56,55,1,0.963636363636364,0.963636363636364
CP_caseB,kurtosis_pdp,56,55,1,0.945454545454545,0.945454545454545
CP_caseB,mean_excess_delay_ns,56,55,1,0.163636363636364,0.836363636363636
CP_caseB,rms_delay_spread_ns,56,55,1,0.436363636363636,0.563636363636364
CP_caseC,r_CP,56,40,16,0.4921875,0.5078125
CP_caseC,a_FP,56,40,16,0.80625,0.80625
CP_caseC,fp_energy_db,56,40,16,0.9515625,0.9515625
CP_caseC,skewness_pdp,56,40,16,0.8453125,0.8453125
CP_caseC,kurtosis_pdp,56,40,16,0.85,0.85
CP_caseC,mean_excess_delay_ns,56,40,16,0.1015625,0.8984375
CP_caseC,rms_delay_spread_ns,56,40,16,0.1578125,0.8421875
LP_caseB,r_CP,56,55,1,0.781818181818182,0.781818181818182
LP_caseB,a_FP,56,55,1,0.4,0.6
LP_caseB,fp_energy_db,56,55,1,1,1
LP_caseB,skewness_pdp,56,55,1,0.672727272727273,0.672727272727273
LP_caseB,kurtosis_pdp,56,55,1,0.581818181818182,0.581818181818182
LP_caseB,mean_excess_delay_ns,56,55,1,0.545454545454545,0.545454545454545
LP_caseB,rms_delay_spread_ns,56,55,1,0.6,0.6
LP_caseC,r_CP,56,40,16,0.7,0.7
LP_caseC,a_FP,56,40,16,0.9125,0.9125
LP_caseC,fp_energy_db,56,40,16,0.921875,0.921875
LP_caseC,skewness_pdp,56,40,16,0.7296875,0.7296875
LP_caseC,kurtosis_pdp,56,40,16,0.659375,0.659375
LP_caseC,mean_excess_delay_ns,56,40,16,0.1953125,0.8046875
LP_caseC,rms_delay_spread_ns,56,40,16,0.375,0.625
