case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,r_CP,a_FP,fp_idx_rx1,fp_idx_rx2,rss_rx1_db,rss_rx2_db,fp_energy_gap_db,rise_time_ns,mean_excess_delay_ns,rms_delay_spread_ns,max_excess_delay_ns,kurtosis_pdp,skewness_pdp,fp_energy_db,total_energy_db,fp_energy_ratio,fp_amp_norm,peak_to_leading_db,multipath_count,ricean_k_db,valid_for_model,oof_score,oof_pred,fold_id,full_fit_score,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,22,0.75,-0.25,1,1,0.224469804340032,0.310194078156056,4,4,-62.595717804171,-56.3444009328389,3.56426824824257,1.99600798403304,2.14235317275795,2.22236190765463,36.6766467066072,61.1933801052869,5.50087578057937,-63.0343276156632,-59.4700593674206,0.440233265168894,0.234920511375385,4.62407135052715,42.5,-6.9901626857968,1,0.996390888616849,1,5,0.997343742695799,0.995987021615599,0.996612798471224,1,1,0,0,T4,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,22,0.75,-0.25,1,1,0.182990348115034,0.106296071472391,5,4,-71.3703909279349,-67.7056942619169,6.92847053704806,8.48303393214043,9.04623169112315,7.42682161908261,59.1317365269789,13.322366622961,2.3882172012795,-76.4665131225206,-69.5380425854725,0.234016892636078,0.176111047993671,5.52975460954945,101,-9.0491853844812,1,0.219330403799037,0,2,0.330323675642689,0.419908031784607,0.259300531855349,0,0,0,0,T4,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,15,0.75,-0.75,1,1,0.0622052586611716,0.256203892866131,5,5,-66.8256686362948,-55.3711874239534,4.05910045872405,1.99600798403304,3.25958389341412,4.34453110726614,35.9281437125948,30.1000834650174,4.34972815663847,-65.1575284863606,-61.0984280276366,0.393720318757659,0.214437308685147,5.1903413018503,62.5,-7.31801808689629,1,0.993952759500579,1,4,0.981011624561905,0.990698679115923,0.99045939758048,1,1,0,0,T3,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,15,0.75,-0.75,1,1,6.7863379164362,0.328206608407373,6,6,-68.6521903555862,-71.9954859666931,7.64161179119972,4.74051896207848,8.06096029743824,7.11280272308106,56.6367265469376,9.80086882112947,2.01668066346673,-77.9654499411703,-70.3238381499706,0.201900517714401,0.148482568018286,5.75654342878033,101.5,-10.6563818753704,1,0.653026209533264,1,5,0.755510474253015,0.255964072611761,0.470709895876123,0,0,0,0,T3,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,8,0.75,-1.25,1,1,0.136355919175302,0.331143473857932,8,7,-67.2483464784342,-57.9832292910206,4.44855246965636,1.99600798403304,3.75508595996378,5.11791545464654,44.9101796407435,28.5387725945659,4.32750557364988,-67.0643403515219,-62.6157878818656,0.362663236378147,0.201886420882214,5.49688614623425,66,-7.61905635445313,1,0.990572691716424,1,2,0.989339475471124,0.978173304243844,0.982677151047478,1,1,0,0,T2,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,8,0.75,-1.25,1,1,8.24773988922299,0.193827334462663,8,9,-69.459872626211,-72.5010432069323,7.42523269721006,1.99600798403304,6.94417116766747,6.04230128532822,53.3932135728839,8.65800227537954,1.65414999778197,-78.4056906009476,-70.9804579037376,0.180918465197001,0.142399288170968,5.77756405400342,94.5,-10.5554189757224,1,0.441088463062735,0,2,0.277352362340826,0.205241076839429,0.412096768364539,0,0,0,0,T2,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,1,0.75,-1.75,1,1,0.103775975617524,0.247563294824086,10,10,-70.4571681368732,-62.2499564355711,4.69562431005644,1.74650698602891,3.65422062931121,4.48897699903429,43.6626746507228,32.8777943868092,4.58223149519615,-71.0491865901122,-66.3535622800558,0.339218455978359,0.195423219083744,5.532615772532,70.5,-7.89650599740339,1,0.953506742123392,1,4,0.918933182224267,0.938979643448364,0.952052601837818,1,1,0,0,T1,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,1,0.75,-1.75,1,1,0.986462599132494,0.158881106523667,10,10,-71.216159002751,-70.8650170045074,6.78658432116247,1.74650698602891,5.97626391010598,5.81116680333465,48.6526946108054,13.9093669902961,2.68317985804442,-77.8271723125275,-71.040587991365,0.209691949045492,0.163792135997429,4.44109859393675,94,-10.8468694625659,1,0.323012862494364,0,2,0.359739810910167,0.361119385871565,0.312585075779666,0,0,0,0,T1,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,29,0.75,0.25,1,1,2.29317443054642,0.325710401071336,4,4,-58.9662869223486,-62.5095411151295,3.52876526591999,1.99600798403304,2.28880802000209,3.20644454548117,38.4231536926361,66.8868008929642,7.14191585760707,-64.2666792834197,-60.7379140174997,0.443744168299023,0.237314509797177,4.51134961313272,57,-7.02021122267177,1,0.998715151558982,1,2,0.998314160516638,0.99803376683353,0.99877109227157,1,1,0,0,T5,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,29,0.75,0.25,1,1,0.736212443740402,0.250283713480223,4,4,-67.0395147237274,-66.2914924269469,4.29811676047891,1.99600798403304,4.1274858728091,5.89253534846141,47.904191616793,19.0719836852632,3.47446984016143,-70.9636203313246,-66.6655035708457,0.372510791430375,0.214735440425036,4.72719233109807,82.5,-7.83792240347179,1,0.796148763703785,1,5,0.851761452334715,0.825306169973278,0.819612782734472,1,1,0,0,T5,LOS,LOS,0,0,,,penetration_threshold
