scenario,feature,n_samples,n_los,n_nlos,auc_raw,auc_best_direction
A,r_CP,112,112,0,NaN,NaN
A,a_FP,112,112,0,NaN,NaN
A,fp_energy_gap_db,112,112,0,NaN,NaN
A,rise_time_ns,112,112,0,NaN,NaN
A,mean_excess_delay_ns,112,112,0,NaN,NaN
A,rms_delay_spread_ns,112,112,0,NaN,NaN
A,max_excess_delay_ns,112,112,0,NaN,NaN
A,kurtosis_pdp,112,112,0,NaN,NaN
A,skewness_pdp,112,112,0,NaN,NaN
A,fp_energy_db,112,112,0,NaN,NaN
A,total_energy_db,112,112,0,NaN,NaN
A,fp_energy_ratio,112,112,0,NaN,NaN
A,fp_amp_norm,112,112,0,NaN,NaN
A,peak_to_leading_db,112,112,0,NaN,NaN
A,multipath_count,112,112,0,NaN,NaN
A,ricean_k_db,112,112,0,NaN,NaN
B,r_CP,112,110,2,0.822727272727273,0.822727272727273
B,a_FP,112,110,2,0.727272727272727,0.727272727272727
B,fp_energy_gap_db,112,110,2,0.390909090909091,0.609090909090909
B,rise_time_ns,112,110,2,0.306818181818182,0.693181818181818
B,mean_excess_delay_ns,112,110,2,0.409090909090909,0.590909090909091
B,rms_delay_spread_ns,112,110,2,0.545454545454545,0.545454545454545
B,max_excess_delay_ns,112,110,2,0.759090909090909,0.759090909090909
B,kurtosis_pdp,112,110,2,0.768181818181818,0.768181818181818
B,skewness_pdp,112,110,2,0.804545454545455,0.804545454545455
B,fp_energy_db,112,110,2,0.813636363636364,0.813636363636364
B,total_energy_db,112,110,2,0.868181818181818,0.868181818181818
B,fp_energy_ratio,112,110,2,0.618181818181818,0.618181818181818
B,fp_amp_norm,112,110,2,0.618181818181818,0.618181818181818
B,peak_to_leading_db,112,110,2,0.427272727272727,0.572727272727273
B,multipath_count,112,110,2,0.522727272727273,0.522727272727273
B,ricean_k_db,112,110,2,0.636363636363636,0.636363636363636
C,r_CP,112,80,32,0.614453125,0.614453125
C,a_FP,112,80,32,0.828125,0.828125
C,fp_energy_gap_db,112,80,32,0.18046875,0.81953125
C,rise_time_ns,112,80,32,0.31328125,0.68671875
C,mean_excess_delay_ns,112,80,32,0.153125,0.846875
C,rms_delay_spread_ns,112,80,32,0.25,0.75
C,max_excess_delay_ns,112,80,32,0.3263671875,0.6736328125
C,kurtosis_pdp,112,80,32,0.761328125,0.761328125
C,skewness_pdp,112,80,32,0.7890625,0.7890625
C,fp_energy_db,112,80,32,0.89609375,0.89609375
C,total_energy_db,112,80,32,0.87578125,0.87578125
C,fp_energy_ratio,112,80,32,0.81796875,0.81796875
C,fp_amp_norm,112,80,32,0.806640625,0.806640625
C,peak_to_leading_db,112,80,32,0.4046875,0.5953125
C,multipath_count,112,80,32,0.23125,0.76875
C,ricean_k_db,112,80,32,0.8,0.8
