feature,A,B,C
r_CP,NaN,0.822727272727273,0.614453125
a_FP,NaN,0.727272727272727,0.828125
fp_energy_gap_db,NaN,0.609090909090909,0.81953125
rise_time_ns,NaN,0.693181818181818,0.68671875
mean_excess_delay_ns,NaN,0.590909090909091,0.846875
rms_delay_spread_ns,NaN,0.545454545454545,0.75
max_excess_delay_ns,NaN,0.759090909090909,0.6736328125
kurtosis_pdp,NaN,0.768181818181818,0.761328125
skewness_pdp,NaN,0.804545454545455,0.7890625
fp_energy_db,NaN,0.813636363636364,0.89609375
total_energy_db,NaN,0.868181818181818,0.87578125
fp_energy_ratio,NaN,0.618181818181818,0.81796875
fp_amp_norm,NaN,0.618181818181818,0.806640625
peak_to_leading_db,NaN,0.572727272727273,0.5953125
multipath_count,NaN,0.522727272727273,0.76875
ricean_k_db,NaN,0.636363636363636,0.8
