feature,material_higher,material_overall,material_B,material_C,geometric_higher,geometric_overall,geometric_B,geometric_C
fp_energy_db,LoS,0.909524737047137,0.813636363636364,0.89609375,LoS,0.739277742346939,0.693537414965987,0.77108843537415
total_energy_db,LoS,0.908161277756136,0.868181818181818,0.87578125,LoS,0.73078762755102,0.680952380952381,0.744897959183674
skewness_pdp,LoS,0.875827814569536,0.804545454545455,0.7890625,LoS,0.761320153061224,0.700340136054422,0.63265306122449
kurtosis_pdp,LoS,0.864725360342813,0.768181818181818,0.761328125,LoS,0.765027104591837,0.725510204081633,0.610544217687075
mean_excess_delay_ns,NLoS,0.864530580444098,0.590909090909091,0.846875,NLoS,0.716517857142857,0.679931972789116,0.713265306122449
a_FP,LoS,0.837943124269575,0.727272727272727,0.828125,LoS,0.692362882653061,0.691836734693878,0.710544217687075
fp_energy_gap_db,NLoS,0.809992208804051,0.609090909090909,0.81953125,NLoS,0.706951530612245,0.67687074829932,0.766326530612245
fp_energy_ratio,LoS,0.80862874951305,0.618181818181818,0.81796875,LoS,0.705835459183673,0.689115646258503,0.760204081632653
fp_amp_norm,LoS,0.806680950525906,0.618181818181818,0.806640625,LoS,0.687938456632653,0.656122448979592,0.724149659863946
ricean_k_db,LoS,0.802298402804831,0.636363636363636,0.8,LoS,0.706991390306122,0.675170068027211,0.725170068027211
rms_delay_spread_ns,NLoS,0.792656797818465,0.545454545454545,0.75,NLoS,0.665896045918367,0.633333333333333,0.669387755102041
multipath_count,NLoS,0.777123100895988,0.522727272727273,0.76875,NLoS,0.692562181122449,0.666326530612245,0.69030612244898
rise_time_ns,NLoS,0.718883911180366,0.679545454545455,0.7083984375,NLoS,0.717693718112245,0.729251700680272,0.768877551020408
r_CP,LoS,0.612095831710168,0.822727272727273,0.614453125,LoS,0.554926658163265,0.585714285714286,0.580612244897959
peak_to_leading_db,NLoS,0.59514998052201,0.572727272727273,0.5953125,NLoS,0.54312818877551,0.523809523809524,0.57891156462585
max_excess_delay_ns,NLoS,0.579324113751461,0.756818181818182,0.6740234375,LoS,0.500239158163265,0.537755102040816,0.673639455782313
