feature,material_higher,material_overall,material_scenario_A,material_scenario_B,material_scenario_C,material_CP_caseA,material_CP_caseB,material_CP_caseC,material_LP_caseA,material_LP_caseB,material_LP_caseC,geometric_higher,geometric_overall,geometric_scenario_A,geometric_scenario_B,geometric_scenario_C,geometric_CP_caseA,geometric_CP_caseB,geometric_CP_caseC,geometric_LP_caseA,geometric_LP_caseB,geometric_LP_caseC
fp_energy_db,LoS,0.909524737047137,NaN,0.813636363636364,0.89609375,NaN,0.945454545454545,0.9515625,NaN,1,0.921875,LoS,0.739277742346939,NaN,0.693537414965987,0.77108843537415,NaN,0.783673469387755,0.846258503401361,NaN,0.829931972789116,0.813605442176871
total_energy_db,LoS,0.908161277756136,NaN,0.868181818181818,0.87578125,NaN,0.945454545454545,0.9390625,NaN,1,0.8625,LoS,0.73078762755102,NaN,0.680952380952381,0.744897959183674,NaN,0.798639455782313,0.816326530612245,NaN,0.756462585034014,0.740136054421769
skewness_pdp,LoS,0.875827814569536,NaN,0.804545454545455,0.7890625,NaN,0.963636363636364,0.8453125,NaN,0.672727272727273,0.7296875,LoS,0.761320153061224,NaN,0.700340136054422,0.63265306122449,NaN,0.808163265306122,0.71156462585034,NaN,0.714285714285714,0.533333333333333
kurtosis_pdp,LoS,0.864725360342813,NaN,0.768181818181818,0.761328125,NaN,0.945454545454545,0.85,NaN,0.581818181818182,0.659375,LoS,0.765027104591837,NaN,0.725510204081633,0.610544217687075,NaN,0.876190476190476,0.72108843537415,NaN,0.672108843537415,0.530612244897959
mean_excess_delay_ns,NLoS,0.864530580444098,NaN,0.590909090909091,0.846875,NaN,0.836363636363636,0.8984375,NaN,0.545454545454545,0.8046875,NLoS,0.716517857142857,NaN,0.679931972789116,0.713265306122449,NaN,0.730612244897959,0.819047619047619,NaN,0.791836734693877,0.646258503401361
a_FP,LoS,0.837943124269575,NaN,0.727272727272727,0.828125,NaN,0.981818181818182,0.80625,NaN,0.6,0.9125,LoS,0.692362882653061,NaN,0.691836734693878,0.710544217687075,NaN,0.658503401360544,0.733333333333333,NaN,0.83265306122449,0.726530612244898
fp_energy_gap_db,NLoS,0.809992208804051,NaN,0.609090909090909,0.81953125,NaN,0.818181818181818,0.8796875,NaN,0.581818181818182,0.846875,NLoS,0.706951530612245,NaN,0.67687074829932,0.766326530612245,NaN,0.682993197278912,0.863945578231293,NaN,0.840816326530612,0.795918367346939
fp_energy_ratio,LoS,0.80862874951305,NaN,0.618181818181818,0.81796875,NaN,0.836363636363636,0.89375,NaN,0.563636363636364,0.828125,LoS,0.705835459183673,NaN,0.689115646258503,0.760204081632653,NaN,0.700680272108843,0.85578231292517,NaN,0.854421768707483,0.786394557823129
fp_amp_norm,LoS,0.806680950525906,NaN,0.618181818181818,0.806640625,NaN,0.763636363636364,0.875,NaN,0.618181818181818,0.8390625,LoS,0.687938456632653,NaN,0.656122448979592,0.724149659863946,NaN,0.631292517006803,0.789115646258503,NaN,0.804081632653061,0.733333333333333
ricean_k_db,LoS,0.802298402804831,NaN,0.636363636363636,0.8,NaN,0.818181818181818,0.8859375,NaN,0.581818181818182,0.7015625,LoS,0.706991390306122,NaN,0.675170068027211,0.725170068027211,NaN,0.710204081632653,0.857142857142857,NaN,0.8,0.638095238095238
rms_delay_spread_ns,NLoS,0.792656797818465,NaN,0.545454545454545,0.75,NaN,0.563636363636364,0.8421875,NaN,0.6,0.625,NLoS,0.665896045918367,NaN,0.633333333333333,0.669387755102041,NaN,0.761904761904762,0.813605442176871,NaN,0.542857142857143,0.514285714285714
multipath_count,NLoS,0.777123100895988,NaN,0.522727272727273,0.76875,NaN,0.5,0.91875,NaN,0.536363636363636,0.56484375,NLoS,0.692562181122449,NaN,0.666326530612245,0.69030612244898,NaN,0.78843537414966,0.822448979591837,NaN,0.595238095238095,0.548299319727891
rise_time_ns,NLoS,0.696484222828204,NaN,0.693181818181818,0.68671875,NaN,0.845454545454545,0.63984375,NaN,0.527272727272727,0.77109375,NLoS,0.684510522959184,NaN,0.685884353741497,0.727891156462585,NaN,0.602721088435374,0.717687074829932,NaN,0.792517006802721,0.777551020408163
r_CP,LoS,0.612095831710168,NaN,0.822727272727273,0.614453125,NaN,1,0.5078125,NaN,0.781818181818182,0.7,LoS,0.554926658163265,NaN,0.585714285714286,0.580612244897959,NaN,0.53469387755102,0.508843537414966,NaN,0.591836734693878,0.658503401360544
peak_to_leading_db,NLoS,0.59514998052201,NaN,0.572727272727273,0.5953125,NaN,0.545454545454545,0.5140625,NaN,0.672727272727273,0.709375,NLoS,0.54312818877551,NaN,0.523809523809524,0.57891156462585,NaN,0.512925170068027,0.512925170068027,NaN,0.557823129251701,0.661224489795918
max_excess_delay_ns,NLoS,0.579080638878068,NaN,0.759090909090909,0.6736328125,NaN,0.590909090909091,0.82890625,NaN,0.936363636363636,0.50234375,LoS,0.500099649234694,NaN,0.537585034013605,0.672959183673469,NaN,0.606122448979592,0.791836734693877,NaN,0.501360544217687,0.552380952380952
