scenario,feature,n_samples,n_los,n_nlos,auc_raw,auc_best_direction
A,r_CP,112,112,0,NaN,NaN
A,a_FP,112,112,0,NaN,NaN
A,fp_energy_gap_db,112,112,0,NaN,NaN
A,rise_time_ns,112,112,0,NaN,NaN
A,mean_excess_delay_ns,112,112,0,NaN,NaN
A,rms_delay_spread_ns,112,112,0,NaN,NaN
A,max_excess_delay_ns,112,112,0,NaN,NaN
A,kurtosis_pdp,112,112,0,NaN,NaN
A,skewness_pdp,112,112,0,NaN,NaN
A,fp_energy_db,112,112,0,NaN,NaN
A,total_energy_db,112,112,0,NaN,NaN
A,fp_energy_ratio,112,112,0,NaN,NaN
A,fp_amp_norm,112,112,0,NaN,NaN
A,peak_to_leading_db,112,112,0,NaN,NaN
A,multipath_count,112,112,0,NaN,NaN
A,ricean_k_db,112,112,0,NaN,NaN
B,r_CP,112,70,42,0.585714285714286,0.585714285714286
B,a_FP,112,70,42,0.691836734693878,0.691836734693878
B,fp_energy_gap_db,112,70,42,0.32312925170068,0.67687074829932
B,rise_time_ns,112,70,42,0.270748299319728,0.729251700680272
B,mean_excess_delay_ns,112,70,42,0.320068027210884,0.679931972789116
B,rms_delay_spread_ns,112,70,42,0.366666666666667,0.633333333333333
B,max_excess_delay_ns,112,70,42,0.462244897959184,0.537755102040816
B,kurtosis_pdp,112,70,42,0.725510204081633,0.725510204081633
B,skewness_pdp,112,70,42,0.700340136054422,0.700340136054422
B,fp_energy_db,112,70,42,0.693537414965987,0.693537414965987
B,total_energy_db,112,70,42,0.680952380952381,0.680952380952381
B,fp_energy_ratio,112,70,42,0.689115646258503,0.689115646258503
B,fp_amp_norm,112,70,42,0.656122448979592,0.656122448979592
B,peak_to_leading_db,112,70,42,0.476190476190476,0.523809523809524
B,multipath_count,112,70,42,0.333673469387755,0.666326530612245
B,ricean_k_db,112,70,42,0.675170068027211,0.675170068027211
C,r_CP,112,42,70,0.580612244897959,0.580612244897959
C,a_FP,112,42,70,0.710544217687075,0.710544217687075
C,fp_energy_gap_db,112,42,70,0.233673469387755,0.766326530612245
C,rise_time_ns,112,42,70,0.231122448979592,0.768877551020408
C,mean_excess_delay_ns,112,42,70,0.286734693877551,0.713265306122449
C,rms_delay_spread_ns,112,42,70,0.330612244897959,0.669387755102041
C,max_excess_delay_ns,112,42,70,0.326360544217687,0.673639455782313
C,kurtosis_pdp,112,42,70,0.610544217687075,0.610544217687075
C,skewness_pdp,112,42,70,0.63265306122449,0.63265306122449
C,fp_energy_db,112,42,70,0.77108843537415,0.77108843537415
C,total_energy_db,112,42,70,0.744897959183674,0.744897959183674
C,fp_energy_ratio,112,42,70,0.760204081632653,0.760204081632653
C,fp_amp_norm,112,42,70,0.724149659863946,0.724149659863946
C,peak_to_leading_db,112,42,70,0.42108843537415,0.57891156462585
C,multipath_count,112,42,70,0.30969387755102,0.69030612244898
C,ricean_k_db,112,42,70,0.725170068027211,0.725170068027211
