feature,auc_overall_raw,auc_A,auc_B,auc_C
kurtosis_pdp,0.765027104591837,NaN,0.725510204081633,0.610544217687075
skewness_pdp,0.761320153061224,NaN,0.700340136054422,0.63265306122449
fp_energy_db,0.739277742346939,NaN,0.693537414965987,0.77108843537415
total_energy_db,0.73078762755102,NaN,0.680952380952381,0.744897959183674
rise_time_ns,0.282306281887755,NaN,0.270748299319728,0.231122448979592
mean_excess_delay_ns,0.283482142857143,NaN,0.320068027210884,0.286734693877551
ricean_k_db,0.706991390306122,NaN,0.675170068027211,0.725170068027211
fp_energy_gap_db,0.293048469387755,NaN,0.32312925170068,0.233673469387755
fp_energy_ratio,0.705835459183673,NaN,0.689115646258503,0.760204081632653
multipath_count,0.307437818877551,NaN,0.333673469387755,0.30969387755102
a_FP,0.692362882653061,NaN,0.691836734693878,0.710544217687075
fp_amp_norm,0.687938456632653,NaN,0.656122448979592,0.724149659863946
rms_delay_spread_ns,0.334103954081633,NaN,0.366666666666667,0.330612244897959
r_CP,0.554926658163265,NaN,0.585714285714286,0.580612244897959
peak_to_leading_db,0.45687181122449,NaN,0.476190476190476,0.42108843537415
max_excess_delay_ns,0.500239158163265,NaN,0.462244897959184,0.326360544217687
