feature,higher_value_class,overall_auc,auc_scenario_A,auc_scenario_B,auc_scenario_C,auc_CP_caseA,auc_CP_caseB,auc_CP_caseC,auc_LP_caseA,auc_LP_caseB,auc_LP_caseC
kurtosis_pdp,LoS,0.765027104591837,NaN,0.725510204081633,0.610544217687075,NaN,0.876190476190476,0.72108843537415,NaN,0.672108843537415,0.530612244897959
skewness_pdp,LoS,0.761320153061224,NaN,0.700340136054422,0.63265306122449,NaN,0.808163265306122,0.71156462585034,NaN,0.714285714285714,0.533333333333333
fp_energy_db,LoS,0.739277742346939,NaN,0.693537414965987,0.77108843537415,NaN,0.783673469387755,0.846258503401361,NaN,0.829931972789116,0.813605442176871
total_energy_db,LoS,0.73078762755102,NaN,0.680952380952381,0.744897959183674,NaN,0.798639455782313,0.816326530612245,NaN,0.756462585034014,0.740136054421769
mean_excess_delay_ns,NLoS,0.716517857142857,NaN,0.679931972789116,0.713265306122449,NaN,0.730612244897959,0.819047619047619,NaN,0.791836734693877,0.646258503401361
ricean_k_db,LoS,0.706991390306122,NaN,0.675170068027211,0.725170068027211,NaN,0.710204081632653,0.857142857142857,NaN,0.8,0.638095238095238
fp_energy_gap_db,NLoS,0.706951530612245,NaN,0.67687074829932,0.766326530612245,NaN,0.682993197278912,0.863945578231293,NaN,0.840816326530612,0.795918367346939
fp_energy_ratio,LoS,0.705835459183673,NaN,0.689115646258503,0.760204081632653,NaN,0.700680272108843,0.85578231292517,NaN,0.854421768707483,0.786394557823129
multipath_count,NLoS,0.692562181122449,NaN,0.666326530612245,0.69030612244898,NaN,0.78843537414966,0.822448979591837,NaN,0.595238095238095,0.548299319727891
a_FP,LoS,0.692362882653061,NaN,0.691836734693878,0.710544217687075,NaN,0.658503401360544,0.733333333333333,NaN,0.83265306122449,0.726530612244898
fp_amp_norm,LoS,0.687938456632653,NaN,0.656122448979592,0.724149659863946,NaN,0.631292517006803,0.789115646258503,NaN,0.804081632653061,0.733333333333333
rise_time_ns,NLoS,0.684510522959184,NaN,0.685884353741497,0.727891156462585,NaN,0.602721088435374,0.717687074829932,NaN,0.792517006802721,0.777551020408163
rms_delay_spread_ns,NLoS,0.665896045918367,NaN,0.633333333333333,0.669387755102041,NaN,0.761904761904762,0.813605442176871,NaN,0.542857142857143,0.514285714285714
r_CP,LoS,0.554926658163265,NaN,0.585714285714286,0.580612244897959,NaN,0.53469387755102,0.508843537414966,NaN,0.591836734693878,0.658503401360544
peak_to_leading_db,NLoS,0.54312818877551,NaN,0.523809523809524,0.57891156462585,NaN,0.512925170068027,0.512925170068027,NaN,0.557823129251701,0.661224489795918
max_excess_delay_ns,LoS,0.500099649234694,NaN,0.537585034013605,0.672959183673469,NaN,0.606122448979592,0.791836734693877,NaN,0.501360544217687,0.552380952380952
