feature,higher_value_class,overall_auc,auc_A,auc_B,auc_C
kurtosis_pdp,LoS,0.765027104591837,NaN,0.725510204081633,0.610544217687075
skewness_pdp,LoS,0.761320153061224,NaN,0.700340136054422,0.63265306122449
fp_energy_db,LoS,0.739277742346939,NaN,0.693537414965987,0.77108843537415
total_energy_db,LoS,0.73078762755102,NaN,0.680952380952381,0.744897959183674
rise_time_ns,NLoS,0.717693718112245,NaN,0.729251700680272,0.768877551020408
mean_excess_delay_ns,NLoS,0.716517857142857,NaN,0.679931972789116,0.713265306122449
ricean_k_db,LoS,0.706991390306122,NaN,0.675170068027211,0.725170068027211
fp_energy_gap_db,NLoS,0.706951530612245,NaN,0.67687074829932,0.766326530612245
fp_energy_ratio,LoS,0.705835459183673,NaN,0.689115646258503,0.760204081632653
multipath_count,NLoS,0.692562181122449,NaN,0.666326530612245,0.69030612244898
a_FP,LoS,0.692362882653061,NaN,0.691836734693878,0.710544217687075
fp_amp_norm,LoS,0.687938456632653,NaN,0.656122448979592,0.724149659863946
rms_delay_spread_ns,NLoS,0.665896045918367,NaN,0.633333333333333,0.669387755102041
r_CP,LoS,0.554926658163265,NaN,0.585714285714286,0.580612244897959
peak_to_leading_db,NLoS,0.54312818877551,NaN,0.523809523809524,0.57891156462585
max_excess_delay_ns,LoS,0.500239158163265,NaN,0.537755102040816,0.673639455782313
