feature,auc_raw,auc_best_direction,los_higher
kurtosis_pdp,0.765027104591837,0.765027104591837,1
skewness_pdp,0.761320153061224,0.761320153061224,1
fp_energy_db,0.739277742346939,0.739277742346939,1
total_energy_db,0.73078762755102,0.73078762755102,1
rise_time_ns,0.282306281887755,0.717693718112245,0
mean_excess_delay_ns,0.283482142857143,0.716517857142857,0
ricean_k_db,0.706991390306122,0.706991390306122,1
fp_energy_gap_db,0.293048469387755,0.706951530612245,0
fp_energy_ratio,0.705835459183673,0.705835459183673,1
multipath_count,0.307437818877551,0.692562181122449,0
a_FP,0.692362882653061,0.692362882653061,1
fp_amp_norm,0.687938456632653,0.687938456632653,1
rms_delay_spread_ns,0.334103954081633,0.665896045918367,0
r_CP,0.554926658163265,0.554926658163265,1
peak_to_leading_db,0.45687181122449,0.54312818877551,0
max_excess_delay_ns,0.500239158163265,0.500239158163265,1
