case_name,feature_name,n_samples,n_los,n_nlos,auc_raw,auc_best_direction,direction
CP_caseB,fp_energy_db,56,35,21,0.783673469387755,0.783673469387755,higher_is_los
CP_caseB,skewness_pdp,56,35,21,0.808163265306122,0.808163265306122,higher_is_los
CP_caseB,kurtosis_pdp,56,35,21,0.876190476190476,0.876190476190476,higher_is_los
CP_caseB,mean_excess_delay_ns,56,35,21,0.269387755102041,0.730612244897959,higher_is_nlos
CP_caseB,rms_delay_spread_ns,56,35,21,0.238095238095238,0.761904761904762,higher_is_nlos
CP_caseB,gamma_CP_rx1,56,35,21,0.63265306122449,0.63265306122449,higher_is_los
CP_caseB,gamma_CP_rx2,56,35,21,0.417687074829932,0.582312925170068,higher_is_nlos
CP_caseB,a_FP_RHCP_rx1,56,35,21,0.658503401360544,0.658503401360544,higher_is_los
CP_caseB,a_FP_LHCP_rx1,56,35,21,0.801360544217687,0.801360544217687,higher_is_los
CP_caseB,a_FP_RHCP_rx2,56,35,21,0.541496598639456,0.541496598639456,higher_is_los
CP_caseB,a_FP_LHCP_rx2,56,35,21,0.782312925170068,0.782312925170068,higher_is_los
CP_caseC,fp_energy_db,56,21,35,0.846258503401361,0.846258503401361,higher_is_los
CP_caseC,skewness_pdp,56,21,35,0.71156462585034,0.71156462585034,higher_is_los
CP_caseC,kurtosis_pdp,56,21,35,0.72108843537415,0.72108843537415,higher_is_los
CP_caseC,mean_excess_delay_ns,56,21,35,0.180952380952381,0.819047619047619,higher_is_nlos
CP_caseC,rms_delay_spread_ns,56,21,35,0.186394557823129,0.813605442176871,higher_is_nlos
CP_caseC,gamma_CP_rx1,56,21,35,0.710204081632653,0.710204081632653,higher_is_los
CP_caseC,gamma_CP_rx2,56,21,35,0.374149659863946,0.625850340136054,higher_is_nlos
CP_caseC,a_FP_RHCP_rx1,56,21,35,0.733333333333333,0.733333333333333,higher_is_los
CP_caseC,a_FP_LHCP_rx1,56,21,35,0.771428571428571,0.771428571428571,higher_is_los
CP_caseC,a_FP_RHCP_rx2,56,21,35,0.810884353741497,0.810884353741497,higher_is_los
CP_caseC,a_FP_LHCP_rx2,56,21,35,0.843537414965986,0.843537414965986,higher_is_los
