label_target,scope,subset_name,n_samples,n_los,n_nlos,status,skip_reason,baseline_auc,proposed_auc,delta_auc,n_boot_valid,baseline_auc_ci_low,baseline_auc_ci_high,proposed_auc_ci_low,proposed_auc_ci_high,delta_auc_ci_low,delta_auc_ci_high,baseline_brier,proposed_brier,delta_brier,baseline_accuracy,proposed_accuracy,delta_accuracy,confidence_band_low,confidence_band_high
material,B,overall,56,55,1,skipped,insufficient_minority,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.6
material,B,hard_case_0p4_0p6,0,NaN,NaN,skipped,insufficient_minority,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,0.6
material,C,overall,56,40,16,ok,,0.9296875,0.928125,-0.00156249999999991,1000,0.862834329595532,0.984126297467791,0.852929292929293,0.985688729874776,-0.0264391447368421,0.0249269005847952,0.103260745103965,0.0977315859073074,-0.00552915919665742,0.875,0.910714285714286,0.0357142857142857,0.4,0.6
material,C,hard_case_0p4_0p6,6,4,2,ok,,0.25,0.75,0.5,900,0,0.8,0.2,1,-0.5,1,0.260044359560934,0.178448781173694,-0.0815955783872395,0.5,0.833333333333333,0.333333333333333,0.4,0.6
material,B+C,overall,112,95,17,ok,,0.957894736842105,0.953560371517028,-0.00433436532507758,1000,0.916866987179487,0.986967844202899,0.911382500728851,0.98469387755102,-0.0226375822788614,0.0131337162264998,0.076554706457266,0.0787877148003268,0.00223300834306078,0.919642857142857,0.892857142857143,-0.0267857142857142,0.4,0.6
material,B+C,hard_case_0p4_0p6,3,2,1,ok,,1,1,0,689,1,1,1,1,0,0,0.213409705945108,0.187706937265582,-0.0257027686795256,0.666666666666667,0.666666666666667,0,0.4,0.6
geometric,B,overall,56,35,21,ok,,0.862585034013606,0.895238095238095,0.0326530612244897,1000,0.747222222222222,0.957831195719395,0.79703126864781,0.976423542490119,-0.0486046706989247,0.115114795918367,0.153520199311601,0.122643820170815,-0.0308763791407859,0.785714285714286,0.857142857142857,0.0714285714285714,0.4,0.6
geometric,B,hard_case_0p4_0p6,12,9,3,ok,,0.444444444444444,0.851851851851852,0.407407407407407,969,0,0.850509259259259,0.545454545454545,1,-0.181818181818182,1,0.262377360402727,0.135942646151269,-0.126434714251457,0.5,0.75,0.25,0.4,0.6
geometric,C,overall,56,21,35,ok,,0.802721088435374,0.891156462585034,0.0884353741496597,1000,0.6625,0.918278371954843,0.787804362949712,0.971184329710145,0.0209291052944304,0.17420814479638,0.183434705672559,0.12682056338639,-0.0566141422861688,0.732142857142857,0.821428571428571,0.0892857142857143,0.4,0.6
geometric,C,hard_case_0p4_0p6,9,3,6,ok,,0.666666666666667,1,0.333333333333333,974,0.222222222222222,1,1,1,0,0.777777777777778,0.235054051369912,0.0523042788062148,-0.182749772563697,0.666666666666667,1,0.333333333333333,0.4,0.6
geometric,B+C,overall,112,56,56,ok,,0.849808673469388,0.91390306122449,0.0640943877551019,1000,0.772378663003663,0.912269383135258,0.852109627261043,0.960452877323178,0.0131095877806404,0.119753490854338,0.155564095754035,0.112603843015985,-0.04296025273805,0.767857142857143,0.848214285714286,0.0803571428571428,0.4,0.6
geometric,B+C,hard_case_0p4_0p6,17,7,10,ok,,0.428571428571429,0.928571428571428,0.5,1000,0.140873015873016,0.736111111111111,0.766559829059829,1,0.222222222222222,0.775252525252525,0.258307584017742,0.124347250962709,-0.133960333055033,0.470588235294118,0.823529411764706,0.352941176470588,0.4,0.6
