Row,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2
fp_energy_db,1,0.662237969518397,0.560643876385872,-0.84641213117675,-0.80676256216986,0.34739792078016,0.32427844052899,0.589654499698374,0.457441142035743,0.644162299689937,0.437455722960818
skewness_pdp,0.662237969518397,1,0.917424242266705,-0.73600721606911,-0.623845861464961,0.382798769885024,0.0432282814498471,0.581149703954595,0.436164708187825,0.406999755202239,0.35114590591335
kurtosis_pdp,0.560643876385872,0.917424242266705,1,-0.579102021654453,-0.560965630383519,0.240683899173168,0.111978340806967,0.414642949985001,0.36072504548746,0.333814929088364,0.28666280404272
mean_excess_delay_ns,-0.84641213117675,-0.73600721606911,-0.579102021654453,1,0.906712770540317,-0.408507142983003,-0.204384609759076,-0.657887095518584,-0.360693126527509,-0.552474958187621,-0.349726947832935
rms_delay_spread_ns,-0.80676256216986,-0.623845861464961,-0.560965630383519,0.906712770540317,1,-0.25744268852429,-0.279466512496292,-0.46555442790426,-0.276609146831362,-0.487616022803344,-0.29595087526194
gamma_CP_rx1,0.34739792078016,0.382798769885024,0.240683899173168,-0.408507142983003,-0.25744268852429,1,-0.445236922680648,0.624487945838739,0.0994601757921793,0.119886152370678,0.237013724356863
gamma_CP_rx2,0.32427844052899,0.0432282814498471,0.111978340806967,-0.204384609759076,-0.279466512496292,-0.445236922680648,1,-0.13237804491366,0.0167283055254149,0.349134938236161,-0.322636103045621
a_FP_RHCP_rx1,0.589654499698374,0.581149703954595,0.414642949985001,-0.657887095518584,-0.46555442790426,0.624487945838739,-0.13237804491366,1,0.530549265159901,0.436375799036898,0.284043191477208
a_FP_LHCP_rx1,0.457441142035743,0.436164708187825,0.36072504548746,-0.360693126527509,-0.276609146831362,0.0994601757921793,0.0167283055254149,0.530549265159901,1,0.435695206459626,0.517659774059897
a_FP_RHCP_rx2,0.644162299689937,0.406999755202239,0.333814929088364,-0.552474958187621,-0.487616022803344,0.119886152370678,0.349134938236161,0.436375799036898,0.435695206459626,1,0.446413151486127
a_FP_LHCP_rx2,0.437455722960818,0.35114590591335,0.28666280404272,-0.349726947832935,-0.29595087526194,0.237013724356863,-0.322636103045621,0.284043191477208,0.517659774059897,0.446413151486127,1
