model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,gamma_CP_rx1,1,0.91390306122449,0.90656887755102,0.00733418367346939
rf,gamma_CP_rx1,1,0.90625,0.906728316326531,-0.000478316326530503
logistic,gamma_CP_rx2,1,0.91390306122449,0.872448979591837,0.041454081632653
rf,gamma_CP_rx2,1,0.90625,0.850446428571429,0.0558035714285714
logistic,a_FP_RHCP_rx1,1,0.91390306122449,0.904655612244898,0.00924744897959173
rf,a_FP_RHCP_rx1,1,0.90625,0.904815051020408,0.00143494897959195
logistic,a_FP_LHCP_rx1,1,0.91390306122449,0.827487244897959,0.0864158163265304
rf,a_FP_LHCP_rx1,1,0.90625,0.89811862244898,0.00813137755102045
logistic,a_FP_RHCP_rx2,1,0.91390306122449,0.916454081632653,-0.00255102040816335
rf,a_FP_RHCP_rx2,1,0.90625,0.901147959183673,0.0051020408163267
logistic,a_FP_LHCP_rx2,1,0.91390306122449,0.922512755102041,-0.00860969387755106
rf,a_FP_LHCP_rx2,1,0.90625,0.909119897959184,-0.00286989795918369
logistic,gamma_CP_rx1,2,0.91390306122449,0.926658163265306,-0.0127551020408163
rf,gamma_CP_rx1,2,0.90625,0.90625,2.22044604925031e-16
logistic,gamma_CP_rx2,2,0.91390306122449,0.871173469387755,0.0427295918367346
rf,gamma_CP_rx2,2,0.90625,0.838647959183674,0.0676020408163265
logistic,a_FP_RHCP_rx1,2,0.91390306122449,0.89859693877551,0.0153061224489796
rf,a_FP_RHCP_rx1,2,0.90625,0.907684948979592,-0.00143494897959162
logistic,a_FP_LHCP_rx1,2,0.91390306122449,0.83609693877551,0.0778061224489794
rf,a_FP_LHCP_rx1,2,0.90625,0.90640943877551,-0.000159438775510057
logistic,a_FP_RHCP_rx2,2,0.91390306122449,0.913584183673469,0.000318877551020447
rf,a_FP_RHCP_rx2,2,0.90625,0.904974489795918,0.00127551020408179
logistic,a_FP_LHCP_rx2,2,0.91390306122449,0.916135204081633,-0.00223214285714302
rf,a_FP_LHCP_rx2,2,0.90625,0.878826530612245,0.0274234693877553
logistic,gamma_CP_rx1,3,0.91390306122449,0.916135204081633,-0.0022321428571429
rf,gamma_CP_rx1,3,0.90625,0.909438775510204,-0.0031887755102038
logistic,gamma_CP_rx2,3,0.91390306122449,0.885841836734694,0.0280612244897959
rf,gamma_CP_rx2,3,0.90625,0.839764030612245,0.0664859693877552
logistic,a_FP_RHCP_rx1,3,0.91390306122449,0.915816326530612,-0.00191326530612235
rf,a_FP_RHCP_rx1,3,0.90625,0.903061224489796,0.00318877551020424
logistic,a_FP_LHCP_rx1,3,0.91390306122449,0.842793367346939,0.071109693877551
rf,a_FP_LHCP_rx1,3,0.90625,0.912468112244898,-0.00621811224489788
logistic,a_FP_RHCP_rx2,3,0.91390306122449,0.914540816326531,-0.000637755102040893
rf,a_FP_RHCP_rx2,3,0.90625,0.908322704081633,-0.00207270408163251
logistic,a_FP_LHCP_rx2,3,0.91390306122449,0.903380102040816,0.0105229591836734
rf,a_FP_LHCP_rx2,3,0.90625,0.905133928571428,0.00111607142857162
logistic,gamma_CP_rx1,4,0.91390306122449,0.902423469387755,0.0114795918367346
rf,gamma_CP_rx1,4,0.90625,0.905612244897959,0.000637755102041004
logistic,gamma_CP_rx2,4,0.91390306122449,0.876275510204082,0.0376275510204078
rf,gamma_CP_rx2,4,0.90625,0.859056122448979,0.0471938775510206
logistic,a_FP_RHCP_rx1,4,0.91390306122449,0.881058673469387,0.0328443877551021
rf,a_FP_RHCP_rx1,4,0.90625,0.90672831632653,-0.000478316326530281
logistic,a_FP_LHCP_rx1,4,0.91390306122449,0.848533163265306,0.0653698979591836
rf,a_FP_LHCP_rx1,4,0.90625,0.895248724489796,0.0110012755102042
