predictor_name,coefficient,selected_fullfit,selection_frequency,lambda_fullfit
fp_energy_db,1.86940353017732,1,1,0.00484217873650868
skewness_pdp,-0.843394416456079,1,0.6,0.00484217873650868
kurtosis_pdp,1.56352306902767,1,1,0.00484217873650868
mean_excess_delay_ns,0.865365682160497,1,0.2,0.00484217873650868
rms_delay_spread_ns,-1.19750123962986,1,1,0.00484217873650868
gamma_CP_rx1,0.51458147551564,1,0.8,0.00484217873650868
gamma_CP_rx2,-1.26005473298733,1,1,0.00484217873650868
a_FP_RHCP_rx1,-0.935397056921556,1,0.6,0.00484217873650868
a_FP_LHCP_rx1,1.20381985797032,1,1,0.00484217873650868
a_FP_RHCP_rx2,0.11409205970167,1,0.4,0.00484217873650868
a_FP_LHCP_rx2,0.0175456233590287,1,0.8,0.00484217873650868
