model_name,bin_id,bin_lower,bin_upper,n_samples,sample_fraction,mean_pred,observed_freq,gap_observed_minus_pred,abs_gap
baseline,1,0.0,0.2,24,0.21428571428571427,0.08517943077443686,0.041666666666666664,-0.0435127641077702,0.0435127641077702
baseline,2,0.2,0.4,23,0.20535714285714285,0.31792229546982975,0.34782608695652173,0.029903791486691977,0.029903791486691977
baseline,3,0.4,0.6000000000000001,17,0.15178571428571427,0.5059545013403967,0.4117647058823529,-0.09418979545804373,0.09418979545804373
baseline,4,0.6000000000000001,0.8,27,0.24107142857142858,0.720562340683474,0.7407407407407407,0.020178400057266677,0.020178400057266677
baseline,5,0.8,1.0,21,0.1875,0.9095516630939097,0.9523809523809523,0.04282928928704266,0.04282928928704266
proposed,1,0.0,0.2,35,0.3125,0.07168725794081958,0.08571428571428572,0.014027027773466136,0.014027027773466136
proposed,2,0.2,0.4,15,0.13392857142857142,0.26888661279549436,0.13333333333333333,-0.13555327946216103,0.13555327946216103
proposed,3,0.4,0.6000000000000001,10,0.08928571428571429,0.5306898116155859,0.7,0.16931018838441403,0.16931018838441403
proposed,4,0.6000000000000001,0.8,18,0.16071428571428573,0.7046207682150065,0.7222222222222222,0.01760145400721569,0.01760145400721569
proposed,5,0.8,1.0,34,0.30357142857142855,0.9131063520008549,0.9117647058823529,-0.0013416461185019601,0.0013416461185019601
