key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
C|0.750|-1.750,CP_caseC,C,CP,1,0.75,-1.75,1,1,1,-71.0468626452978,3.79494793147063,25.5001554340463,3.79356551915896,4.19610600190257,1,0.702963752716057,0.0417525533672905,0.232217215959588,0.136257789986851,0.355357432241348,0.301994535052673,1,1,1
C|1.500|-1.750,CP_caseC,C,CP,2,1.5,-1.75,1,1,1,-67.4978066526219,2.41775586775693,17.9742628684263,3.16132974829574,2.45802548243085,1,0.609315757308192,0.683719030075102,0.174179387920019,0.067739700954692,0.279855195435887,0.169793718332515,1,1,1
C|2.250|-1.750,CP_caseC,C,CP,3,2.25,-1.75,0,1,1,-67.013267318568,4.94993488931334,44.0317403643995,2.74123494643289,2.780296139032,1,0.54070826556544,1.37944937042094,0.284369603959317,0.119781596194412,0.325022962162283,0.196871165047655,0,1,1
C|3.000|-1.750,CP_caseC,C,CP,4,3,-1.75,0,1,1,-71.1325261032698,3.57020883293977,27.093843134786,6.4932861071463,7.34745438091541,1,0.0261177903018104,1.69869565619871,0.121873057912502,0.0590764724515576,0.364196766744983,0.047640417321349,0,1,1
C|3.750|-1.750,CP_caseC,C,CP,5,3.75,-1.75,0,1,1,-73.3529223546121,2.6071739314701,13.8595873107286,4.49881468374286,4.91977582697819,1,0.00364799653652808,2.39828322983836,0.233027970780069,0.0636663061469889,0.338604605014131,0.0112472602632779,0,1,1
C|4.500|-1.750,CP_caseC,C,CP,6,4.5,-1.75,0,1,1,-69.715645986503,2.17013722614833,8.87588514141678,4.21417069219084,4.50280600206357,1,-0.371405786102733,1.02432293937971,0.281292833700384,0.102122489312157,0.285094920759279,0.296890291281142,0,1,1
C|5.250|-1.750,CP_caseC,C,CP,7,5.25,-1.75,0,1,1,-72.6905970344895,2.27660950404993,10.5254373716132,4.38391814746669,4.80680696934606,1,0.426868945514504,1.67498043637569,0.175818041924665,0.0548810724039347,0.245419640874938,0.00906592383153464,0,1,1
C|0.750|-1.250,CP_caseC,C,CP,8,0.75,-1.25,1,1,1,-67.0650331954983,4.65307651600069,40.6667812250347,3.30929676789348,3.65580921271358,1,1.15199106362563,0.67763672896741,0.322288107373224,0.0861273633220439,0.291030211367525,0.26023828338291,1,1,1
C|1.500|-1.250,CP_caseC,C,CP,9,1.5,-1.25,1,1,1,-64.8264586791602,3.48962915961803,18.8817353993614,2.69999719646217,2.93296859091319,1,0.686918477872862,1.43899935004893,0.376546136734391,0.260969049547984,0.313267462285594,0.193010502442661,1,1,1
C|2.250|-1.250,CP_caseC,C,CP,10,2.25,-1.25,0,1,1,-66.4819967624445,2.54987007505949,12.9331925117305,3.68882580842448,3.75835286099581,1,0.483455583870976,1.48191564092402,0.301421929487645,0.180598366753518,0.304109184519869,0.187008712332816,0,1,1
C|3.000|-1.250,CP_caseC,C,CP,11,3,-1.25,0,1,1,-68.6403199052094,1.11558827352451,3.49795868632905,11.3750280581468,11.9371595621291,1,0.311286406930924,1.70864755317129,0.166494732813645,0.0692134556441964,0.390597020708693,0.0677388517362495,0,1,1
C|3.750|-1.250,CP_caseC,C,CP,12,3.75,-1.25,0,1,1,-70.5205813229491,3.82892582484875,27.3222645304456,3.60143010679617,4.00556020301929,1,0.342328764327052,2.17709496051148,0.204586861425299,0.133490154289966,0.210306076416913,0.0149799122082505,0,1,1
C|4.500|-1.250,CP_caseC,C,CP,13,4.5,-1.25,1,1,1,-77.6419198446784,1.26837671011943,5.85013735044517,7.43710876207914,6.76300716568125,1,0.530459104588135,0.998143647999965,0.128462729204132,0.0575938282300214,0.23297348877244,0.0232842401617172,1,1,1
C|5.250|-1.250,CP_caseC,C,CP,14,5.25,-1.25,0,1,1,-80.0017823086724,1.42721867128111,8.27974121947208,8.94558490173591,6.36893723839126,1,-0.110182621197291,-0.124819568971088,0.0988673872404293,0.0385862931206579,0.143521990991733,0.0303551448117429,0,1,1
C|0.750|-0.750,CP_caseC,C,CP,15,0.75,-0.75,1,1,1,-65.1605193872649,2.55533913625019,13.2544174610696,3.7436470691639,3.73882665921549,1,0.141205545395562,1.19693843818763,0.210807368452509,0.182634900337338,0.288117969339888,0.208214904643945,1,1,1
C|1.500|-0.750,CP_caseC,C,CP,16,1.5,-0.75,1,1,1,-64.1105508535936,2.8044397732548,15.3690259495972,3.40417923401674,3.45957704564755,1,0.095665902498196,2.39584826671367,0.336331116334375,0.257106223019901,0.409092925514405,0.0790881571895511,1,1,1
C|2.250|-0.750,CP_caseC,C,CP,17,2.25,-0.75,0,1,1,-64.5841114215007,3.50356022280531,22.6322308205954,2.99984531721526,3.7603537470287,1,0.371573838843188,1.56349283813792,0.293529815431878,0.245301593989628,0.330460082529904,0.181796144409951,0,1,1
C|3.000|-0.750,CP_caseC,C,CP,18,3,-0.75,0,1,1,-71.7854550935605,3.67089275645888,19.8647186554228,4.20400678786231,5.94825928963938,1,0.520740407174521,0.75890850771821,0.211292176320318,0.0546076407690436,0.280462693644874,0.0808645676552605,0,1,1
C|3.750|-0.750,CP_caseC,C,CP,19,3.75,-0.75,0,1,1,-74.331995350851,2.62422823754874,13.5610205605301,5.34309962678624,6.34032671357121,1,-0.176802601981556,1.6206713656735,0.228562913848373,0.0693427352722358,0.276303502634006,0.017277300825454,0,1,1
C|4.500|-0.750,CP_caseC,C,CP,20,4.5,-0.75,0,1,1,-78.1480149530705,1.3053338443291,7.20460782803789,7.05466445297953,6.01229399127234,1,-0.000106929456278776,0.43199827627841,0.12775303246834,0.0358731907066441,0.0876646682377348,0.100834647166593,0,1,1
C|5.250|-0.750,CP_caseC,C,CP,21,5.25,-0.75,0,1,1,-76.5330783100694,2.66197354663173,11.8247902355058,6.01504600657612,7.13073520312943,1,-0.586169464805825,0.711693696346417,0.224699746980788,0.115560747221791,0.220362422484168,0.1475896890035,0,1,1
