key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
B|0.750|-1.750,CP_caseB,B,CP,1,0.75,-1.75,1,1,1,-71.0491865901122,4.58223149519615,32.8777943868092,3.65422062931121,4.48897699903429,1,0.703876825260898,0.043232531092477,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,1,1,1
B|1.500|-1.750,CP_caseB,B,CP,2,1.5,-1.75,1,1,1,-67.477276204018,6.44282141849858,71.408320088693,3.33823194037139,3.56121522111815,1,0.750719142919264,0.719988610860292,0.257943176293421,0.128277873744673,0.289205400924424,0.213779287685853,1,1,1
B|2.250|-1.750,CP_caseB,B,CP,3,2.25,-1.75,1,1,1,-67.8266183257758,7.0376457029001,117.505497146777,3.02103985670593,3.21480356629659,1,0.540716991187168,1.71996713606137,0.288905479491629,0.136615346354216,0.393903327536546,0.127797485413966,1,1,1
B|3.000|-1.750,CP_caseB,B,CP,4,3,-1.75,1,1,1,-67.1094609243408,3.86580733880332,38.2258229300583,2.68047180191423,2.23710744687014,1,0.545836097636117,1.63962328576024,0.231465167346482,0.0940622630291847,0.407568030438079,0.18361704272494,1,1,1
B|3.750|-1.750,CP_caseB,B,CP,5,3.75,-1.75,1,1,1,-67.6990592278524,6.33506965757456,90.5083343824969,2.82605151312571,2.87718170979988,1,-0.15801076725729,1.63498260232158,0.291019649612112,0.0598863181393882,0.259804886101057,0.111857716448311,1,1,1
B|4.500|-1.750,CP_caseB,B,CP,6,4.5,-1.75,1,1,1,-67.7422121002213,6.57181998346424,65.9154294316696,2.68539279253602,3.4148537790324,1,-0.237459758088597,1.78932216944281,0.32937558198004,0.0731759344509683,0.342947339628986,0.0704636486060411,1,1,1
B|5.250|-1.750,CP_caseB,B,CP,7,5.25,-1.75,0,1,1,-73.7402802971616,2.72371169685281,15.3176034473175,3.9908321089995,4.0913286522249,1,0.19380489157641,0.686988654440719,0.206336340096606,0.125680842623223,0.365608043985741,0.217493876556104,0,1,1
B|0.750|-1.250,CP_caseB,B,CP,8,0.75,-1.25,1,1,1,-67.0643403515219,4.32750557364988,28.5387725945659,3.75508595996378,5.11791545464654,1,1.14975742631263,0.67720437489183,0.331143379432282,0.158919366403981,0.287627545903632,0.266130636902166,1,1,1
B|1.500|-1.250,CP_caseB,B,CP,9,1.5,-1.25,1,1,1,-64.8835797791159,7.09759981045239,85.4368005257398,3.04120315273824,4.06370693522946,1,0.534491937828971,1.40388152874669,0.244151749851066,0.18551117657886,0.317922002133932,0.217786160422748,1,1,1
B|2.250|-1.250,CP_caseB,B,CP,10,2.25,-1.25,1,1,1,-64.9699515554151,5.38639802531025,58.8254186419229,2.8119439794587,3.08827161275814,1,0.230431851318336,1.70924956063973,0.267644051781136,0.166779243456541,0.344664829484547,0.0711058657163312,1,1,1
B|3.000|-1.250,CP_caseB,B,CP,11,3,-1.25,1,1,1,-65.5733167241172,4.69866584833269,46.4022328337043,2.54386609271763,2.42315424073445,1,0.351200682314462,1.52033750254291,0.257882967570354,0.17044835804586,0.308009264553804,0.107253278127376,1,1,1
B|3.750|-1.250,CP_caseB,B,CP,12,3.75,-1.25,1,1,1,-68.2505247216528,4.40826636247585,36.7530289883864,2.88406841736721,2.68618618971753,1,0.563703933128707,1.4507610635488,0.30265990656672,0.183864254544861,0.382409941292719,0.0634374451364658,1,1,1
B|4.500|-1.250,CP_caseB,B,CP,13,4.5,-1.25,0,1,1,-79.5775722643392,1.36507328808805,5.18453524907741,7.87737914978815,6.86967531409808,1,-0.572306602282194,0.723815994134112,0.110266481291145,0.0197099774910406,0.217150772381158,0.00428737540841256,0,1,1
B|5.250|-1.250,CP_caseB,B,CP,14,5.25,-1.25,0,1,1,-72.1243624308547,3.88136665191131,29.4908980631564,5.00263108957352,5.12006511838833,1,0.427744337345077,1.12962684062055,0.237465697494454,0.0748005757895936,0.420462969179573,0.0371050232720352,0,1,1
B|0.750|-0.750,CP_caseB,B,CP,15,0.75,-0.75,1,1,1,-65.1575284863606,4.34972815663847,30.1000834650174,3.25958389341412,4.34453110726614,1,0.141514211758006,1.19630696516138,0.256203923335644,0.205353386430477,0.294652758116336,0.24422214901471,1,1,1
B|1.500|-0.750,CP_caseB,B,CP,16,1.5,-0.75,1,1,1,-63.9673145077575,4.5543088835226,37.7944080762602,2.98428997771104,3.72497222991674,1,0.175567173447591,2.75691982904637,0.367169716517278,0.341594220488263,0.409627370082148,0.0690519511813393,1,1,1
B|2.250|-0.750,CP_caseB,B,CP,17,2.25,-0.75,1,1,1,-64.6913337512379,3.98498729520973,32.2761806154532,2.54936886803296,2.32783141532406,1,0.436416812450924,1.64588789518281,0.349540726717717,0.242863159018967,0.392022238724352,0.105391111139134,1,1,1
B|3.000|-0.750,CP_caseB,B,CP,18,3,-0.75,0,1,1,-65.9664985701891,5.70594140965465,59.5356930546302,2.62264968111656,2.96948332955666,1,0.290845509357814,1.40353421689952,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,0,1,1
B|3.750|-0.750,CP_caseB,B,CP,19,3.75,-0.75,0,1,1,-68.3241244135102,3.66879269741274,18.6834360285822,3.10177950100038,3.84127488441968,1,0.280243320831364,1.44775780585459,0.268898192628369,0.0602121226334828,0.24887021833512,0.0488221310054283,0,1,1
B|4.500|-0.750,CP_caseB,B,CP,20,4.5,-0.75,0,1,1,-72.1882295599056,3.73723940872915,21.2653517023651,3.69982467486236,4.5503013831694,1,0.476477226744233,1.33684738869799,0.291184810313472,0.0751683528243467,0.264265760933308,0.036213725609557,0,1,1
B|5.250|-0.750,CP_caseB,B,CP,21,5.25,-0.75,0,1,1,-69.948624341546,5.61433619243405,58.1368402170763,3.00026448879332,3.64760989876815,1,0.344610380479224,1.35988788596023,0.256062380177489,0.100261224845175,0.282366441438311,0.0542168238813563,0,1,1
B|0.750|-0.250,CP_caseB,B,CP,22,0.75,-0.25,1,1,1,-63.0343276156632,5.50087578057937,61.1933801052869,2.14235317275795,2.22236190765463,1,0.317091818621197,1.98910037861002,0.310194213168612,0.28705841920578,0.327600137146172,0.16547611200984,1,1,1
B|1.500|-0.250,CP_caseB,B,CP,23,1.5,-0.25,1,1,1,-62.9106841625601,7.42555916081209,109.248656564885,2.52396961515625,2.76621595917478,1,0.266299956017718,1.21644895475826,0.365063962744766,0.34718106378997,0.381582418426363,0.293986626066207,1,1,1
B|2.250|-0.250,CP_caseB,B,CP,24,2.25,-0.25,1,1,1,-63.3917054292956,5.47713531651,43.90134752103,2.31500864554703,2.68312355847331,1,0.40939070018119,1.11081607464972,0.294467251300359,0.254699626586838,0.322603222413457,0.197257075001534,1,1,1
