label_target,scope,subset_name,n_samples,status,skip_reason,baseline_correct_proposed_wrong,baseline_wrong_proposed_correct,chi_square_cc,p_value_exact
material,B,overall,56,skipped,insufficient_minority,NaN,NaN,NaN,NaN
material,B,hard_case_0p4_0p6,0,skipped,insufficient_minority,NaN,NaN,NaN,NaN
material,C,overall,56,ok,,1,3,0.25,0.625
material,C,hard_case_0p4_0p6,6,ok,,1,3,0.25,0.625
material,B+C,overall,112,ok,,5,2,0.571428571428571,0.453125
material,B+C,hard_case_0p4_0p6,3,ok,,1,1,0.5,1
geometric,B,overall,56,ok,,3,7,0.9,0.34375
geometric,B,hard_case_0p4_0p6,12,ok,,1,4,0.8,0.375
geometric,C,overall,56,ok,,3,8,1.45454545454545,0.2265625
geometric,C,hard_case_0p4_0p6,9,ok,,0,3,1.33333333333333,0.25
geometric,B+C,overall,112,ok,,3,12,4.26666666666667,0.03515625
geometric,B+C,hard_case_0p4_0p6,17,ok,,0,6,4.16666666666667,0.03125
