relative_path,absolute_path,description
00_execution_conditions/execution_conditions.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\00_execution_conditions\execution_conditions.csv,Machine-readable execution conditions
00_execution_conditions/execution_conditions.md,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\00_execution_conditions\execution_conditions.md,Human-readable execution conditions
01_baseline_full6cases/metrics_overall.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\01_baseline_full6cases\metrics_overall.csv,Full 6-case geometric baseline summary
01_baseline_full6cases/metrics_by_case.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\01_baseline_full6cases\metrics_by_case.csv,Full 6-case geometric per-case metrics
02_dataset_splits/dataset_split_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\02_dataset_splits\dataset_split_summary.csv,All stepwise geometric split counts
02_dataset_splits/07_hard_case_BplusC.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\02_dataset_splits\07_hard_case_BplusC.csv,Ambiguous subset defined by baseline confidence
02_dataset_splits/10_rescued_by_cp7_BplusC.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\02_dataset_splits\10_rescued_by_cp7_BplusC.csv,Samples rescued by CP7 fusion
03_reviewer_geometric/geometric/incremental_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\03_reviewer_geometric\geometric\incremental_summary.csv,Reviewer-stage incremental gain table
03_reviewer_geometric/geometric/mcnemar_tests.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\03_reviewer_geometric\geometric\mcnemar_tests.csv,Reviewer-stage McNemar table
03_reviewer_geometric/geometric/misclassification_recovery_overall.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\03_reviewer_geometric\geometric\misclassification_recovery_overall.csv,Reviewer-stage rescue summary
04_priority_validations/shared/correlation_decision_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\04_priority_validations\shared\correlation_decision_summary.csv,Channel-resolved correlation decisions
04_priority_validations/geometric/ablation_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\04_priority_validations\geometric\ablation_summary.csv,Stepwise ablation results
04_priority_validations/geometric/permutation_importance_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\04_priority_validations\geometric\permutation_importance_summary.csv,Permutation importance summary
05_followup_validations/geometric/rx_model_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\05_followup_validations\geometric\rx_model_summary.csv,Single-RX vs dual-RX metrics
05_followup_validations/geometric/dual_rx_bootstrap_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\05_followup_validations\geometric\dual_rx_bootstrap_summary.csv,Dual-RX bootstrap comparison
05_followup_validations/geometric/mechanism_subgroup_summary.csv,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\05_followup_validations\geometric\mechanism_subgroup_summary.csv,Mechanism subgroup checks
06_report/geometric_cp7_story_report.md,D:\OneDrive - postech.ac.kr\명선\2026\2. ISAC\track3-cp-uwb-reliability\los_nlos_baseline_project\results\geometric_story_bundle\06_report\geometric_cp7_story_report.md,Final geometric-only narrative report
