feature,auc_overall_raw,auc_A,auc_B,auc_C
fp_energy_db,0.909524737047137,NaN,0.813636363636364,0.89609375
total_energy_db,0.908161277756136,NaN,0.868181818181818,0.87578125
skewness_pdp,0.875827814569536,NaN,0.804545454545455,0.7890625
kurtosis_pdp,0.864725360342813,NaN,0.768181818181818,0.761328125
mean_excess_delay_ns,0.135469419555902,NaN,0.409090909090909,0.153125
a_FP,0.837943124269575,NaN,0.727272727272727,0.828125
fp_energy_gap_db,0.190007791195949,NaN,0.390909090909091,0.18046875
fp_energy_ratio,0.80862874951305,NaN,0.618181818181818,0.81796875
fp_amp_norm,0.806680950525906,NaN,0.618181818181818,0.806640625
ricean_k_db,0.802298402804831,NaN,0.636363636363636,0.8
rms_delay_spread_ns,0.207343202181535,NaN,0.545454545454545,0.25
multipath_count,0.222876899104012,NaN,0.522727272727273,0.23125
rise_time_ns,0.281116088819634,NaN,0.320454545454545,0.2916015625
r_CP,0.612095831710168,NaN,0.822727272727273,0.614453125
peak_to_leading_db,0.40485001947799,NaN,0.427272727272727,0.4046875
max_excess_delay_ns,0.420675886248539,NaN,0.756818181818182,0.3259765625
