feature,higher_value_class,overall_auc,auc_scenario_A,auc_scenario_B,auc_scenario_C,auc_CP_caseA,auc_CP_caseB,auc_CP_caseC,auc_LP_caseA,auc_LP_caseB,auc_LP_caseC
fp_energy_db,LoS,0.909524737047137,NaN,0.813636363636364,0.89609375,NaN,0.945454545454545,0.9515625,NaN,1,0.921875
total_energy_db,LoS,0.908161277756136,NaN,0.868181818181818,0.87578125,NaN,0.945454545454545,0.9390625,NaN,1,0.8625
skewness_pdp,LoS,0.875827814569536,NaN,0.804545454545455,0.7890625,NaN,0.963636363636364,0.8453125,NaN,0.672727272727273,0.7296875
kurtosis_pdp,LoS,0.864725360342813,NaN,0.768181818181818,0.761328125,NaN,0.945454545454545,0.85,NaN,0.581818181818182,0.659375
mean_excess_delay_ns,NLoS,0.864530580444098,NaN,0.590909090909091,0.846875,NaN,0.836363636363636,0.8984375,NaN,0.545454545454545,0.8046875
a_FP,LoS,0.837943124269575,NaN,0.727272727272727,0.828125,NaN,0.981818181818182,0.80625,NaN,0.6,0.9125
fp_energy_gap_db,NLoS,0.809992208804051,NaN,0.609090909090909,0.81953125,NaN,0.818181818181818,0.8796875,NaN,0.581818181818182,0.846875
fp_energy_ratio,LoS,0.80862874951305,NaN,0.618181818181818,0.81796875,NaN,0.836363636363636,0.89375,NaN,0.563636363636364,0.828125
fp_amp_norm,LoS,0.806680950525906,NaN,0.618181818181818,0.806640625,NaN,0.763636363636364,0.875,NaN,0.618181818181818,0.8390625
ricean_k_db,LoS,0.802298402804831,NaN,0.636363636363636,0.8,NaN,0.818181818181818,0.8859375,NaN,0.581818181818182,0.7015625
rms_delay_spread_ns,NLoS,0.792656797818465,NaN,0.545454545454545,0.75,NaN,0.563636363636364,0.8421875,NaN,0.6,0.625
multipath_count,NLoS,0.777123100895988,NaN,0.522727272727273,0.76875,NaN,0.5,0.91875,NaN,0.536363636363636,0.56484375
rise_time_ns,NLoS,0.696484222828204,NaN,0.693181818181818,0.68671875,NaN,0.845454545454545,0.63984375,NaN,0.527272727272727,0.77109375
r_CP,LoS,0.612095831710168,NaN,0.822727272727273,0.614453125,NaN,1,0.5078125,NaN,0.781818181818182,0.7
peak_to_leading_db,NLoS,0.59514998052201,NaN,0.572727272727273,0.5953125,NaN,0.545454545454545,0.5140625,NaN,0.672727272727273,0.709375
max_excess_delay_ns,NLoS,0.579080638878068,NaN,0.759090909090909,0.6736328125,NaN,0.590909090909091,0.82890625,NaN,0.936363636363636,0.50234375
