feature,higher_value_class,overall_auc,auc_A,auc_B,auc_C
fp_energy_db,LoS,0.909524737047137,NaN,0.813636363636364,0.89609375
total_energy_db,LoS,0.908161277756136,NaN,0.868181818181818,0.87578125
skewness_pdp,LoS,0.875827814569536,NaN,0.804545454545455,0.7890625
kurtosis_pdp,LoS,0.864725360342813,NaN,0.768181818181818,0.761328125
mean_excess_delay_ns,NLoS,0.864530580444098,NaN,0.590909090909091,0.846875
a_FP,LoS,0.837943124269575,NaN,0.727272727272727,0.828125
fp_energy_gap_db,NLoS,0.809992208804051,NaN,0.609090909090909,0.81953125
fp_energy_ratio,LoS,0.80862874951305,NaN,0.618181818181818,0.81796875
fp_amp_norm,LoS,0.806680950525906,NaN,0.618181818181818,0.806640625
ricean_k_db,LoS,0.802298402804831,NaN,0.636363636363636,0.8
rms_delay_spread_ns,NLoS,0.792656797818465,NaN,0.545454545454545,0.75
multipath_count,NLoS,0.777123100895988,NaN,0.522727272727273,0.76875
rise_time_ns,NLoS,0.718883911180366,NaN,0.679545454545455,0.7083984375
r_CP,LoS,0.612095831710168,NaN,0.822727272727273,0.614453125
peak_to_leading_db,NLoS,0.59514998052201,NaN,0.572727272727273,0.5953125
max_excess_delay_ns,NLoS,0.579324113751461,NaN,0.756818181818182,0.6740234375
