pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
1,0.0885195943195768,0.250099987203286,1,1,10,10,-70.5018198530286,-62.2395899346446,1,NA,NaN
2,0.193270408664422,0.260863720454737,1,1,13,12,-67.2857481881916,-57.7136470720978,2,NA,NaN
3,0.0582756295535766,0.291848270638763,1,1,16,16,-68.3546108433937,-57.4892208800038,3,NA,NaN
4,0.0703218993922962,0.228815140187812,1,1,20,20,-66.9771560789117,-58.312905200757,4,NA,NaN
5,0.0989970230424843,0.280446715970672,1,1,24,24,-68.7068933990278,-58.2165888543413,5,NA,NaN
6,0.0372111216136921,0.310271478037675,1,1,28,29,-70.9042696726178,-59.8259882452636,6,NA,NaN
7,0.136870771719601,0.227908778453502,1,1,34,34,-66.1304255539807,-59.936483368102,7,NA,NaN
8,0.264880924368898,0.350200311881867,1,1,8,7,-67.4917771938002,-58.0612899482541,8,NA,NaN
9,0.0701213081945139,0.250584598689242,1,1,10,10,-65.9592713430529,-55.8350866462032,9,NA,NaN
10,0.0832655208123152,0.265457808225021,1,1,14,14,-65.838503841871,-56.2789670355377,10,NA,NaN
11,0.115524940348311,0.252263253423608,1,1,18,18,-66.2891780190138,-58.0424194589117,11,NA,NaN
12,0.147833953132217,0.301586335038324,1,1,23,23,-66.931692137646,-60.0125121631651,12,NA,NaN
13,0.182424036167627,0.326179926420622,1,1,28,28,-67.5638734730412,-61.2354694003732,13,NA,NaN
14,0.209638174860984,0.295598264745084,1,1,32,32,-69.4888213527756,-63.4623117413107,14,NA,NaN
15,0.0622447030841377,0.27095506132374,1,1,5,5,-67.0679389104375,-55.3930789909774,15,NA,NaN
16,0.106462688425281,0.38209269993835,1,1,9,9,-64.4129479710111,-54.9945072718759,16,NA,NaN
17,0.170286310238639,0.348623598203355,1,1,13,13,-63.6646524212667,-56.5948469845116,17,NA,NaN
18,0.224386035312531,0.27273084180226,1,1,17,17,-64.6870303448387,-59.0241715699138,18,NA,NaN
19,0.269901163641977,0.284043313487547,1,1,22,22,-65.385215284664,-59.9306874281665,19,NA,NaN
20,0.305145495504794,0.378316253565324,1,1,27,27,-67.3285317300164,-62.9320526546596,20,NA,NaN
21,0.336432744155109,0.452864256145629,1,1,32,32,-68.9468856157926,-64.6541377955081,21,NA,NaN
22,0.215455347740172,0.30646336461228,1,1,4,4,-62.5426818848442,-56.3411492174999,22,NA,NaN
23,0.357978703319896,0.370860247575628,1,1,8,8,-60.5982031026228,-56.2925586304138,23,NA,NaN
24,0.464483433864372,0.315224727873964,1,1,12,12,-61.4880752576957,-58.338029349343,24,NA,NaN
25,0.516408622426889,0.35810229230716,1,1,17,17,-63.0217917853843,-60.2284641719544,25,NA,NaN
26,0.542778281610149,0.414043550125088,1,1,22,22,-64.7080228347185,-62.5424919279512,26,NA,NaN
27,0.565404822300623,0.383724260138358,1,1,27,27,-65.3608370693908,-62.2235430587223,27,NA,NaN
28,0.571137732553762,0.243494073959261,1,1,31,31,-66.2237081159984,-63.9760358715684,28,NA,NaN
29,2.30956964870145,0.326568393688166,1,1,4,4,-58.977445855225,-62.5475390866471,29,NA,NaN
30,2.13675628401424,0.377208682077032,1,1,8,8,-57.9013558373142,-61.1853611416001,30,NA,NaN
31,1.65720968297715,0.32339100355835,1,1,12,12,-59.5491219482908,-61.5679730532314,31,NA,NaN
32,1.35196353670072,0.35909302587442,1,1,17,17,-61.3839123313231,-62.4764843672567,32,NA,NaN
33,1.17397716729157,0.41458997462831,1,1,22,22,-63.349252242786,-64.4202509521169,33,NA,NaN
34,1.06866797118048,0.366062784174736,1,1,27,27,-63.9965982333745,-64.0758152331276,34,NA,NaN
35,0.991172419069145,0.27041366532247,1,1,31,31,-65.6754594699552,-65.5180736703188,35,NA,NaN
36,3.66708354951514,0.297147888935431,1,1,5,6,-57.8655812506474,-67.5743437473108,36,NA,NaN
37,13.8032535554848,0.408619398969641,1,1,9,9,-57.1342420123904,-67.8455240348879,37,NA,NaN
38,6.5881254892295,0.385798785423798,1,1,13,13,-58.4265978605136,-66.1942844011314,38,NA,NaN
39,3.74849608365798,0.306809207030681,1,1,17,17,-60.4902650593105,-65.4761316311281,39,NA,NaN
40,2.63900060973108,0.305248290682593,1,1,22,22,-61.7412561155731,-64.9633612059574,40,NA,NaN
41,2.04023558262139,0.397875140604071,1,1,27,27,-64.1730755716529,-67.1037230171445,41,NA,NaN
