pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,position_id,scenario,distance_m
1,3.54470265852137,0.25819225916526,1,1,10,10,-70.4571780553258,-62.2499621175901,5.76449347712547,1.32491183991727,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,10,10,10,10,1,NA,NaN
2,3.48924410933499,0.252122115803038,1,1,12.5,13,-67.237085046802,-57.6765571815075,4.99954461785135,1.97894360081862,0.257943176293421,0.128277873744673,0.289205400924424,0.333062012249634,13,13,12,13,2,NA,NaN
3,18.7301916416944,0.248810293787826,1,1,16,16.5,-68.30605729841,-57.474868071251,0.909053324102921,36.5513299592858,0.288905479491629,0.184634882709162,0.393903327536546,0.127797485413966,16,17,16,16,3,NA,NaN
4,20.2319371730925,0.235616413384071,1,1,20,20.5,-66.9904986814695,-58.0300197470414,0.657800393499838,39.8060739526852,0.231465167346482,0.119815413026782,0.407568030438079,0.18361704272494,20,21,20,20,4,NA,NaN
5,6.09592308638137,0.221070043737699,1,1,24,25.5,-69.1045423879962,-57.7312954379089,0.4108495984086,11.7809965743541,0.291019649612112,0.175657970794732,0.259804886101057,0.157797668442893,24,26,24,25,5,NA,NaN
6,25.7820096778921,0.243220404016508,1,1,28.5,29.5,-69.6144766828282,-57.6483949447028,0.245770794507278,51.3182485612769,0.32937558198004,0.230095045850964,0.342947339628986,0.0704636486060411,28,30,29,29,6,NA,NaN
7,5.11875303462904,0.251861092514297,0,1,33.5,34,-74.7015186580591,-62.7939607391778,1.12344055350742,9.11406551575066,0.206336340096606,0.218006109418737,0.365608043985741,0.217493876556104,33,34,34,34,7,NA,NaN
8,7.48695911559933,0.260955232160515,1,1,7.5,7.5,-67.248345239997,-57.9832291841987,10.3700883447319,4.60382988646673,0.331143379432282,0.158919366403981,0.287627545903632,0.266130636902166,8,8,7,7,8,NA,NaN
9,14.4657378033009,0.241342772246651,1,1,10,10,-65.8465304715915,-55.8204150371707,3.12079872102498,25.8106768855767,0.244151749851066,0.18551117657886,0.317922002133932,0.217786160422748,10,10,10,10,9,NA,NaN
10,11.9162544189121,0.221391194690232,1,1,14,14.5,-65.8844378387315,-56.3518417030282,1.89319158677946,21.9393172510446,0.267644051781136,0.166779243456541,0.344664829484547,0.106476654038705,14,14,14,15,10,NA,NaN
11,6.86398455355274,0.225595328379239,1,1,18,18.5,-66.2503738860385,-57.0162072884808,2.05180653452038,11.6761625725851,0.257882967570354,0.17044835804586,0.308009264553804,0.166040723346938,18,18,18,19,11,NA,NaN
12,8.17789300360218,0.239789682503497,1,1,23,23.5,-66.7015372437346,-60.0449139162753,2.41530581438783,13.9404801928165,0.30265990656672,0.183864254544861,0.382409941292719,0.0902246276096879,23,23,23,24,12,NA,NaN
13,0.622663074904555,0.18710983104165,0,1,28,32.5,-73.1242002445282,-70.6932815618291,0.516300129006218,0.729026020802891,0.110266481291145,0.21493317034728,0.217150772381158,0.206088900147017,29,33,27,32,13,NA,NaN
14,7.7552031408706,0.221473584823983,0,1,33,34.5,-69.2769015977625,-64.4549407703867,3.35164341300147,12.1587628687397,0.237465697494454,0.11666171793185,0.420462969179573,0.111303954690053,33,34,33,35,14,NA,NaN
15,8.05976429573554,0.279240248008768,1,1,5,5.5,-66.8256691518918,-55.37118750362,0.515772144506218,15.6037564469649,0.256203923335644,0.321882161568383,0.294652758116336,0.24422214901471,5,6,5,5,15,NA,NaN
16,126.553788500034,0.296860814567257,1,1,9,9,-64.2398584925705,-54.9807644781749,1.64614447588624,251.461432524182,0.367169716517278,0.341594220488263,0.409627370082148,0.0690519511813393,9,9,9,9,16,NA,NaN
17,20.7241651437628,0.272454308900042,1,1,13,13,-63.6157629751526,-56.7252672633741,1.95800236697452,39.4903279205511,0.349540726717717,0.242863159018967,0.392022238724352,0.105391111139134,13,13,13,13,17,NA,NaN
18,15.8024186327946,0.293788141026218,0,1,18,18,-64.8607756045137,-58.9816518509249,2.01512185219147,29.5897154133977,0.393902129299843,0.225041565147198,0.444701616080999,0.111507253576831,18,18,18,18,18,NA,NaN
19,5.53961641507412,0.171684904742062,0,1,22,23,-66.2745550180514,-61.541706231353,1.00898174015983,10.0702510899884,0.268898192628369,0.0964218423797138,0.24887021833512,0.0725493656250448,22,23,22,23,19,NA,NaN
