pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m,gamma_CP
1,3.50383238761653,0.25819225916526,1,1,10,10,-70.4571780553258,-62.2499621175901,5.82732588109637,1.1803388941367,0.247563858729088,0.113303193262132,0.360469748602743,0.311432236067077,10,10,10,10,0,0,1,NA,NaN,0.544543322703147
2,5.18550698349208,0.222301434662092,1,1,12.5,12.5,-67.237085046802,-57.6765571815075,4.5830152603182,5.78799870666596,0.257943176293421,0.128277873744673,0.289205400924424,0.213779287685853,13,13,12,12,1,0.499001996008261,2,NA,NaN,0.714791223477084
3,21.1134665099834,0.236805409699089,1,1,16,16,-68.30605729841,-57.474868071251,2.3138690529468,39.91306396702,0.288905479491629,0.136615346354216,0.393903327536546,0.127797485413966,16,16,16,16,0,0,3,NA,NaN,1.32455954370849
4,18.8807812902743,0.229178125884671,1,1,20,20,-66.9904986814695,-58.0300197470414,1.91916268137461,35.842399899174,0.231465167346482,0.0940622630291847,0.407568030438079,0.18361704272494,20,20,20,20,0,0,4,NA,NaN,1.27601996152108
5,18.867189529424,0.180642142575217,1,1,24,24,-69.1045423879962,-57.7312954379089,1.8835906418317,35.8507884170164,0.291019649612112,0.0598863181393882,0.259804886101057,0.111857716448311,24,24,24,24,0,0,5,NA,NaN,1.27570721215397
6,41.5140990858096,0.203990626166509,1,1,28.5,28.5,-69.6144766828282,-57.6483949447028,1.52665829656467,81.5015398750544,0.32937558198004,0.0731759344509683,0.342947339628986,0.0704636486060411,28,28,29,29,1,0.499001996008261,6,NA,NaN,1.618195617562
7,4.63582395913111,0.228779775815419,0,1,33.5,33.5,-74.7015186580591,-62.7939607391778,2.46297831532173,6.8086696029405,0.206336340096606,0.125680842623223,0.365608043985741,0.217493876556104,33,33,34,34,1,0.499001996008262,7,NA,NaN,0.666126935697608
8,8.64217810908447,0.260955232160515,1,1,7.5,7.5,-67.248345239997,-57.9832291841987,12.5467079201363,4.73764829803261,0.331143379432282,0.158919366403981,0.287627545903632,0.266130636902166,8,8,7,7,1,0.499001996008261,8,NA,NaN,0.936623212564829
9,14.3310830652834,0.241342772246651,1,1,10,10,-65.8465304715915,-55.8204150371707,3.25807963386086,25.404086496706,0.244151749851066,0.18551117657886,0.317922002133932,0.217786160422748,10,10,10,10,0,0,9,NA,NaN,1.15627901325162
10,33.1129725605998,0.212548497609639,1,1,14,14,-65.8844378387315,-56.3518417030282,1.74977171777236,64.4761734034273,0.267644051781136,0.166779243456541,0.344664829484547,0.0711058657163312,14,14,14,14,0,0,10,NA,NaN,1.51999816923647
