pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
1,0.0884965568659378,0.247563858729088,1,1,10,10,-70.4571780553258,-62.2499621175901,1,NA,NaN
2,0.193290205293029,0.257943176293421,1,1,13,12,-67.237085046802,-57.6765571815075,2,NA,NaN
3,0.0582293678431891,0.288905479491629,1,1,16,16,-68.30605729841,-57.474868071251,3,NA,NaN
4,0.0692651168139654,0.231465167346482,1,1,20,20,-66.9904986814695,-58.0300197470414,4,NA,NaN
5,0.0876341588195521,0.291019649612112,1,1,24,24,-69.1045423879962,-57.7312954379089,5,NA,NaN
6,0.0310468257897059,0.32937558198004,1,1,28,29,-69.6144766828282,-57.6483949447028,6,NA,NaN
7,0.0194047706618602,0.206336340096606,0,1,33,34,-74.7015186580591,-62.7939607391778,7,NA,NaN
8,0.264862422384481,0.331143379432282,1,1,8,7,-67.248345239997,-57.9832291841987,8,NA,NaN
9,0.0701380322145295,0.244151749851066,1,1,10,10,-65.8465304715915,-55.8204150371707,9,NA,NaN
10,0.0831847053303158,0.267644051781136,1,1,14,14,-65.8844378387315,-56.3518417030282,10,NA,NaN
11,0.0988259445411881,0.257882967570354,1,1,18,18,-66.2503738860385,-57.0162072884808,11,NA,NaN
12,0.164302782675706,0.30265990656672,1,1,23,23,-66.7015372437346,-60.0449139162753,12,NA,NaN
13,1.24075702594066,0.110266481291145,1,1,29,27,-73.1242002445282,-70.6932815618291,13,NA,NaN
14,0.202505904022063,0.237465697494454,1,1,33,33,-69.2769015977625,-64.4549407703867,14,NA,NaN
15,0.0622552718444443,0.256203923335644,1,1,5,5,-66.8256691518918,-55.37118750362,15,NA,NaN
16,0.106408076266223,0.367169716517278,1,1,9,9,-64.2398584925705,-54.9807644781749,16,NA,NaN
17,0.171329738052861,0.349540726717717,1,1,13,13,-63.6157629751526,-56.7252672633741,17,NA,NaN
18,0.23101006839649,0.393902129299843,1,1,18,18,-64.8607756045137,-58.9816518509249,18,NA,NaN
19,0.363345199115493,0.268898192628369,1,1,22,22,-66.2745550180514,-61.541706231353,19,NA,NaN
20,0.263171342419322,0.291184810313472,1,1,27,27,-70.5818701862002,-63.8869796201693,20,NA,NaN
21,0.297741469486614,0.256062380177489,1,1,32,32,-68.1510706819492,-63.1393928593915,21,NA,NaN
22,0.215475149858193,0.310194213168612,1,1,4,4,-62.5957196841351,-56.3444027939723,22,NA,NaN
23,0.358068738711865,0.365063962744766,1,1,8,8,-60.5304823591228,-56.3034989068506,23,NA,NaN
24,0.458448885528676,0.294467251300359,1,1,12,12,-61.0861826069792,-58.323687623293,24,NA,NaN
25,0.505761008349446,0.282946084800309,1,1,17,17,-63.7760575695246,-61.5240585162108,25,NA,NaN
26,0.484613738733129,0.383034663179524,1,1,22,22,-66.8947717612329,-63.4981937533702,26,NA,NaN
27,0.64377571482415,0.266820511546719,1,1,27,27,-64.88664364031,-63.6902862536598,27,NA,NaN
28,0.545765292158707,0.229622731599216,1,1,32,32,-65.8897794455468,-65.0701829233919,28,NA,NaN
29,2.31022980463526,0.32571111915222,1,1,4,4,-58.9662965037752,-62.5095362125954,29,NA,NaN
30,2.13592938212678,0.37651663927442,1,1,8,8,-57.8940106339637,-61.1346974237623,30,NA,NaN
31,1.64516019761455,0.304704216716531,1,1,12,12,-59.1646451018558,-61.4069595097388,31,NA,NaN
32,1.37679973330256,0.330360261630045,1,1,17,17,-62.845897106655,-63.703172084227,32,NA,NaN
33,1.32647293971931,0.355555157692281,1,1,22,22,-64.2048751599319,-66.7465113245955,33,NA,NaN
34,0.965944221986749,0.268033537785275,1,1,27,27,-64.9015403099569,-64.4477768230596,34,NA,NaN
35,1.08384234332804,0.299072159277254,1,1,32,32,-66.0350565929847,-66.9657152247762,35,NA,NaN
36,3.67122970697144,0.293940388924657,1,1,5,6,-57.8191459554602,-67.685724368453,36,NA,NaN
37,13.8167713891784,0.404268907281644,1,1,9,9,-57.0878537123144,-67.8216636761858,37,NA,NaN
38,6.60351546158333,0.402030678937979,1,1,13,13,-58.6953821748855,-66.5066447425506,38,NA,NaN
39,3.38864928185737,0.434588377105616,1,1,18,18,-60.7737577433376,-65.7403629984258,39,NA,NaN
40,1.90210947438266,0.262294535076014,1,1,22,22,-63.2250002331772,-65.2792812739734,40,NA,NaN
41,2.85008216415838,0.281128160584015,1,1,27,27,-65.9681834296185,-69.4679600730633,41,NA,NaN
42,2.0840099026067,0.255681941256211,1,1,32,32,-64.256783325556,-66.9616487548629,42,NA,NaN
43,9.15199010888155,0.289146043385175,1,1,7,8,-59.1928686078725,-72.8208991292018,43,NA,NaN
44,52.172320255369,0.313595461297965,1,1,10,10,-57.6726160838175,-71.3805535236061,44,NA,NaN
45,26.9340487541328,0.345614187564115,1,1,14,14,-58.4257127919383,-70.8624610005748,45,NA,NaN
46,12.75412960559,0.305964214422405,1,1,18,18,-58.8778311378107,-69.1365547882414,46,NA,NaN
47,5.27738945515118,0.365722704190527,1,1,23,23,-61.0469334412524,-66.3899754493137,47,NA,NaN
48,1.82896817657453,0.271713055597154,1,1,28,29,-69.6226896739703,-71.1435369177828,48,NA,NaN
49,3.09009716606798,0.387993758671541,1,1,33,33,-65.1001488835703,-66.2548517437394,49,NA,NaN
50,39.6681901036069,0.359386343663199,1,1,10,10,-61.6685493341357,-76.0545732522066,50,NA,NaN
51,42.6891411443278,0.28876035898183,1,1,12,13,-59.2034899376153,-75.3459636250076,51,NA,NaN
52,76.455055929618,0.381335959452624,1,1,16,16,-59.1948112024025,-71.2506001248848,52,NA,NaN
53,29.7270171358556,0.394256727244182,1,1,20,20,-59.9073169887872,-72.1275384188577,53,NA,NaN
54,13.9157978355076,0.300771628697052,1,1,24,24,-60.1502158307329,-70.9918983233376,54,NA,NaN
