pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
1,0.0885156856602965,0.232217215959588,1,1,10,10,-70.1820685223909,-62.1861142999894,1,NA,NaN
2,0.0618652055971374,0.174179387920019,1,1,12,12,-67.4724395217177,-57.5182201027713,2,NA,NaN
3,0.205639985541414,0.284369603959317,1,1,17,16,-66.5257019433937,-58.1839284200437,3,NA,NaN
4,0.065181965373864,0.121873057912502,1,1,20,20,-67.8692486454265,-60.4650661049934,4,NA,NaN
5,0.403089478994338,0.233027970780069,1,1,25,24,-69.4611115553158,-65.7277900345835,5,NA,NaN
6,0.102624660297866,0.281292833700384,1,1,29,29,-70.039148786851,-59.59433409619,6,NA,NaN
7,0.473750200502804,0.175818041924665,1,1,34,33,-68.5733603481728,-66.1049658849514,7,NA,NaN
8,0.264725562454217,0.322288107373224,1,1,8,7,-67.131323063502,-58.0336050722911,8,NA,NaN
9,0.218282124724784,0.376546136734391,1,1,11,10,-65.7922214740557,-55.7489585277818,9,NA,NaN
10,0.341392666445435,0.301421929487645,1,1,15,14,-65.5424687389483,-58.2276585057678,10,NA,NaN
11,0.0910374086700315,0.166494732813645,1,1,19,19,-65.7622468013954,-59.1142965691086,11,NA,NaN
12,0.178544766023072,0.204586861425299,1,1,23,23,-68.9883352141718,-61.4982762914877,12,NA,NaN
13,0.160012539416715,0.128462729204132,1,1,27,27,-73.7641464017661,-69.0287779165343,13,NA,NaN
14,0.845879791065106,0.0988673872404293,0,1,33,32,-71.4578579722142,-69.9511543853911,14,NA,NaN
15,0.0622447728597657,0.210807368452509,1,1,5,5,-65.9802322791719,-55.275770297831,15,NA,NaN
16,0.107002269030931,0.336331116334375,1,1,9,9,-64.0048910856704,-55.1002590685635,16,NA,NaN
17,0.271984578308048,0.293529815431878,1,1,13,13,-63.2810947102421,-58.3569294787419,17,NA,NaN
18,0.334656508815465,0.211292176320318,0,1,17,17,-68.8972275493978,-65.4508405827583,18,NA,NaN
19,0.127677439423075,0.228562913848373,0,1,22,23,-71.6664803386091,-66.1311958950105,19,NA,NaN
20,0.330230124893909,0.12775303246834,0,1,27,29,-72.4338948708802,-68.8236132506982,20,NA,NaN
21,0.225168376174478,0.224699746980788,0,1,33,33,-73.9416227337262,-66.9519664214756,21,NA,NaN
22,0.215976310690042,0.275335626052067,1,1,4,4,-62.0731693867523,-56.2265301290862,22,NA,NaN
23,0.342313225626571,0.377719226305636,1,1,8,8,-61.0156675192116,-56.1911514029772,23,NA,NaN
24,2.56067105217482,0.30776382790948,0,1,13,14,-73.9206122584826,-78.2156151337899,24,NA,NaN
25,8.4984710456484,0.316585228771544,0,1,18,18,-71.6841537696159,-77.3276872165528,25,NA,NaN
26,0.392864681070571,0.0701755046027115,0,1,24,25,-74.0796828072843,-71.7576019691915,26,NA,NaN
27,0.310051299490399,0.0565539251282476,0,1,27,28,-73.5151080565745,-69.9456839524373,27,NA,NaN
28,0.159999138807855,0.138264803845199,0,1,33,33,-74.8596381563837,-67.9844811081731,28,NA,NaN
29,2.31440429903731,0.309825120455414,1,1,4,4,-58.7476574307089,-62.101735738687,29,NA,NaN
30,2.1526833990825,0.366823559812725,1,1,8,8,-57.598962172239,-60.850154958987,30,NA,NaN
31,1.0092039619684,0.304468288715191,1,1,12,12,-64.2048426384535,-63.394749133279,31,NA,NaN
32,0.900076786583397,0.208496454353171,0,1,17,17,-67.768992539494,-68.3487287734585,32,NA,NaN
33,5.06056593284283,0.0704231509191218,0,1,23,21,-68.0720303730327,-70.8338293530079,33,NA,NaN
34,0.824911663977656,0.205206388185049,0,1,26,26,-70.9431029426921,-69.1351792404008,34,NA,NaN
35,0.270673942551691,0.180973354474068,0,1,31,32,-72.63461457245,-69.9323924420364,35,NA,NaN
36,3.67261143626045,0.297249468851159,1,1,5,6,-57.8669579093249,-67.5498781660283,36,NA,NaN
37,13.7392440380068,0.4025252646172,1,1,9,9,-57.0189490652314,-68.2444502206712,37,NA,NaN
38,6.95930734956822,0.382409018211057,1,1,13,13,-58.1597517372239,-66.7695917197288,38,NA,NaN
39,5.0047686233698,0.424934177851114,1,1,18,18,-60.3663460871224,-67.5553744487495,39,NA,NaN
40,4.09372138573395,0.294423560832139,1,1,22,22,-64.0002201370988,-69.1613996142236,40,NA,NaN
41,0.608632661407633,0.290777092857332,1,1,26,27,-67.3558996592794,-69.7483488469775,41,NA,NaN
42,1.34322864008465,0.412576367480277,1,1,32,32,-64.5331558875836,-65.0219662151679,42,NA,NaN
43,9.15067515043464,0.292070636240475,1,1,7,8,-59.2363352591661,-72.3250907246352,43,NA,NaN
44,50.6359816411988,0.318807465939872,1,1,10,10,-57.7915312901372,-76.2294961223888,44,NA,NaN
45,7.06595368728572,0.36471011252303,1,1,14,15,-58.8657490791571,-68.4694453525842,45,NA,NaN
46,30.5358830962867,0.40454786121944,1,1,19,18,-61.0961411907373,-70.2618435387306,46,NA,NaN
47,6.6320471984972,0.323679192194509,1,1,23,23,-62.6088081972308,-68.801862168411,47,NA,NaN
48,4.55096265873295,0.398480970991875,1,1,28,28,-62.1857181143275,-68.0371548372793,48,NA,NaN
49,0.238338509262273,0.0934020728623139,1,1,34,36,-74.6709049961932,-68.0608933061024,49,NA,NaN
50,39.4998677304443,0.357365423100802,1,1,10,10,-61.6405438636216,-74.9392136724512,50,NA,NaN
