scenario,pos_id,x_m,y_m,y_true_los,y_pred_los,p_los,correct
B,1,0.75,-1.75,1,1,0.642535929525197,1
B,2,1.5,-1.75,1,0,0.394533436968272,0
B,3,2.25,-1.75,1,1,0.705257669548444,1
B,4,3,-1.75,1,1,0.670910519128164,1
B,5,3.75,-1.75,1,0,0.37198194080225,0
B,6,4.5,-1.75,1,1,0.465720167146061,1
B,7,5.25,-1.75,0,0,0.408476823649349,1
B,8,0.75,-1.25,1,1,0.719395309267008,1
B,9,1.5,-1.25,1,1,0.683617978854514,1
B,10,2.25,-1.25,1,1,0.592645826719874,1
B,11,3,-1.25,1,1,0.53561893467132,1
B,12,3.75,-1.25,1,1,0.649778081230269,1
B,13,4.5,-1.25,0,0,0.0122756716018903,1
B,14,5.25,-1.25,0,0,0.367794568301915,1
B,15,0.75,-0.75,1,1,0.672447015586876,1
B,16,1.5,-0.75,1,1,0.982874126906111,1
B,17,2.25,-0.75,1,1,0.84034861002146,1
B,18,3,-0.75,0,1,0.894501931135373,0
B,19,3.75,-0.75,0,0,0.258315192290539,1
B,20,4.5,-0.75,0,0,0.29117912328655,1
B,21,5.25,-0.75,0,0,0.296506960138177,1
B,22,0.75,-0.25,1,1,0.926625626375544,1
B,23,1.5,-0.25,1,1,0.971760331131869,1
B,24,2.25,-0.25,1,1,0.808768700730498,1
B,25,3,-0.25,0,1,0.724097347471105,0
B,26,3.75,-0.25,0,1,0.617685064435283,0
B,27,4.5,-0.25,0,0,0.438253239794412,1
B,28,5.25,-0.25,0,0,0.446864457628586,1
B,29,0.75,0.25,1,1,0.849156761357593,1
B,30,1.5,0.25,1,1,0.966782893288429,1
B,31,2.25,0.25,1,1,0.769487928191895,1
B,32,3,0.25,0,1,0.607269080967847,0
B,33,3.75,0.25,0,1,0.62585898730056,0
B,34,4.5,0.25,0,1,0.539328291625399,0
B,35,5.25,0.25,0,1,0.582118501013406,0
B,36,0.75,0.75,1,1,0.917853351126188,1
B,37,1.5,0.75,1,1,0.937567103440289,1
B,38,2.25,0.75,1,1,0.868795749507114,1
B,39,3,0.75,0,1,0.891781663992689,0
B,40,3.75,0.75,0,0,0.162800490320582,1
B,41,4.5,0.75,0,0,0.132138614915743,1
B,42,5.25,0.75,0,0,0.260803568370474,1
B,43,0.75,1.25,1,1,0.897356410503251,1
B,44,1.5,1.25,1,1,0.612244457885108,1
B,45,2.25,1.25,1,0,0.419600236723569,0
B,46,3,1.25,1,0,0.437265552377274,0
B,47,3.75,1.25,1,1,0.58898293996784,1
B,48,4.5,1.25,0,0,0.0240693025152124,1
B,49,5.25,1.25,0,0,0.25038000089845,1
B,50,0.75,1.75,1,1,0.713504693962563,1
B,51,1.5,1.75,1,0,0.269555788045611,0
B,52,2.25,1.75,1,0,0.228090124088571,0
B,53,3,1.75,1,0,0.413788665096605,0
B,54,3.75,1.75,1,0,0.279845219013505,0
B,55,4.5,1.75,1,1,0.793086577290458,1
B,56,5.25,1.75,1,1,0.525055998322908,1
C,1,0.75,-1.75,1,1,0.632100905633745,1
C,2,1.5,-1.75,1,0,0.255849933840826,0
C,3,2.25,-1.75,0,1,0.557349800162297,0
C,4,3,-1.75,0,0,0.253438221476291,1
C,5,3.75,-1.75,0,0,0.443018950956843,1
C,6,4.5,-1.75,0,1,0.648610767061321,0
C,7,5.25,-1.75,0,0,0.111224907304854,1
C,8,0.75,-1.25,1,1,0.553167325896299,1
C,9,1.5,-1.25,1,1,0.839050684549941,1
C,10,2.25,-1.25,0,1,0.64382302040717,0
C,11,3,-1.25,0,0,0.347248712601622,1
C,12,3.75,-1.25,0,0,0.362073158351666,1
C,13,4.5,-1.25,1,0,0.0555676396124236,0
C,14,5.25,-1.25,0,0,0.00655007891218507,1
C,15,0.75,-0.75,1,1,0.545454594231569,1
C,16,1.5,-0.75,1,1,0.896110364273251,1
C,17,2.25,-0.75,0,1,0.85872812062571,0
C,18,3,-0.75,0,0,0.174526777175883,1
C,19,3.75,-0.75,0,0,0.196970748957107,1
C,20,4.5,-0.75,0,0,0.0100344613132418,1
C,21,5.25,-0.75,0,0,0.177472133608582,1
C,22,0.75,-0.25,1,1,0.55760213459115,1
C,23,1.5,-0.25,1,1,0.840332967717558,1
C,24,2.25,-0.25,0,1,0.673033164335789,0
C,25,3,-0.25,0,0,0.233844849714194,1
C,26,3.75,-0.25,0,0,0.014729795582951,1
C,27,4.5,-0.25,0,0,0.00429198930951265,1
C,28,5.25,-0.25,0,0,0.111232149431159,1
C,29,0.75,0.25,1,1,0.686322231491959,1
C,30,1.5,0.25,1,1,0.946501984221635,1
C,31,2.25,0.25,1,1,0.67875919395274,1
C,32,3,0.25,0,0,0.232382835295272,1
C,33,3.75,0.25,0,0,0.0137192395730706,1
C,34,4.5,0.25,0,0,0.0745194294658075,1
C,35,5.25,0.25,0,0,0.030883197547098,1
C,36,0.75,0.75,1,1,0.8843823758032,1
C,37,1.5,0.75,1,1,0.952532953360102,1
C,38,2.25,0.75,1,1,0.924887839767148,1
C,39,3,0.75,0,1,0.855673021182032,0
C,40,3.75,0.75,0,0,0.415206134590187,1
C,41,4.5,0.75,1,0,0.31349653588983,0
C,42,5.25,0.75,1,1,0.777053772983752,1
C,43,0.75,1.25,1,1,0.849761484352756,1
C,44,1.5,1.25,1,1,0.698264771710171,1
C,45,2.25,1.25,1,1,0.801785726076049,1
