label_mode,scope,feature_name,x_m,y_m,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag,n_points_at_coord
material_class,B,gamma_CP_rx1,0.75,-1.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,-1.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,-0.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,-0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,0.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,1.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,0.75,1.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,-1.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,-1.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,-0.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,-0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,0.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,1.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,1.5,1.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,-1.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,-1.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,-0.75,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,-0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,0.25,NaN,NaN,30,30,0,0,1,1
material_class,B,gamma_CP_rx1,2.25,0.75,NaN,NaN,30,30,0,0,1,1
