label_mode,scope,feature_name,sample_id,scenario,x_m,y_m,label,feature_value,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag
geometric_class,C,gamma_CP_rx1,57,C,0.75,-1.75,1,0.702963752716057,0.850678733031674,0.850678733031674,30,17,13,13,0
geometric_class,C,gamma_CP_rx1,58,C,1.5,-1.75,1,0.609315757308192,0.808888888888889,0.808888888888889,30,15,15,15,0
geometric_class,C,gamma_CP_rx1,59,C,2.25,-1.75,0,0.54070826556544,0.84375,0.84375,30,14,16,14,0
geometric_class,C,gamma_CP_rx1,60,C,3,-1.75,0,0.0261177903018104,0.85,0.85,30,10,20,10,0
geometric_class,C,gamma_CP_rx1,61,C,3.75,-1.75,0,0.00364799653652808,0.728,0.728,30,5,25,5,0
geometric_class,C,gamma_CP_rx1,62,C,4.5,-1.75,0,-0.371405786102733,0.846153846153846,0.846153846153846,30,4,26,4,1
geometric_class,C,gamma_CP_rx1,63,C,5.25,-1.75,0,0.426868945514504,0.851851851851852,0.851851851851852,30,3,27,3,1
geometric_class,C,gamma_CP_rx1,64,C,0.75,-1.25,1,1.15199106362563,0.75462962962963,0.75462962962963,30,18,12,12,0
geometric_class,C,gamma_CP_rx1,65,C,1.5,-1.25,1,0.686918477872862,0.808035714285714,0.808035714285714,30,16,14,14,0
geometric_class,C,gamma_CP_rx1,66,C,2.25,-1.25,0,0.483455583870976,0.799107142857143,0.799107142857143,30,14,16,14,0
geometric_class,C,gamma_CP_rx1,67,C,3,-1.25,0,0.311286406930924,0.793650793650794,0.793650793650794,30,9,21,9,0
geometric_class,C,gamma_CP_rx1,68,C,3.75,-1.25,0,0.342328764327052,0.808,0.808,30,5,25,5,0
geometric_class,C,gamma_CP_rx1,69,C,4.5,-1.25,1,0.530459104588135,0.827160493827161,0.827160493827161,30,3,27,3,1
geometric_class,C,gamma_CP_rx1,70,C,5.25,-1.25,0,-0.110182621197291,0.827160493827161,0.827160493827161,30,3,27,3,1
geometric_class,C,gamma_CP_rx1,71,C,0.75,-0.75,1,0.141205545395562,0.694444444444444,0.694444444444444,30,18,12,12,0
geometric_class,C,gamma_CP_rx1,72,C,1.5,-0.75,1,0.095665902498196,0.805429864253394,0.805429864253394,30,17,13,13,0
geometric_class,C,gamma_CP_rx1,73,C,2.25,-0.75,0,0.371573838843188,0.808888888888889,0.808888888888889,30,15,15,15,0
geometric_class,C,gamma_CP_rx1,74,C,3,-0.75,0,0.520740407174521,0.746031746031746,0.746031746031746,30,9,21,9,0
geometric_class,C,gamma_CP_rx1,75,C,3.75,-0.75,0,-0.176802601981556,0.807692307692308,0.807692307692308,30,4,26,4,1
geometric_class,C,gamma_CP_rx1,76,C,4.5,-0.75,0,-0.000106929456278776,0.839506172839506,0.839506172839506,30,3,27,3,1
geometric_class,C,gamma_CP_rx1,77,C,5.25,-0.75,0,-0.586169464805825,0.777777777777778,0.777777777777778,30,3,27,3,1
geometric_class,C,gamma_CP_rx1,78,C,0.75,-0.25,1,0.317158147212878,0.694444444444444,0.694444444444444,30,18,12,12,0
geometric_class,C,gamma_CP_rx1,79,C,1.5,-0.25,1,0.576117400445452,0.699074074074074,0.699074074074074,30,18,12,12,0
geometric_class,C,gamma_CP_rx1,80,C,2.25,-0.25,0,0.335441791856862,0.76,0.76,30,15,15,15,0
geometric_class,C,gamma_CP_rx1,81,C,3,-0.25,0,0.275691171488144,0.735449735449735,0.735449735449735,30,9,21,9,0
geometric_class,C,gamma_CP_rx1,82,C,3.75,-0.25,0,-0.55726097413482,0.759615384615385,0.759615384615385,30,4,26,4,1
