label_mode,scope,feature_name,sample_id,scenario,x_m,y_m,label,feature_value,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag
material_class,B,gamma_CP_rx1,1,B,0.75,-1.75,1,0.703876825260898,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,2,B,1.5,-1.75,1,0.750719142919264,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,3,B,2.25,-1.75,1,0.540716991187168,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,4,B,3,-1.75,1,0.545836097636117,0.827586206896552,0.827586206896552,30,29,1,1,1
material_class,B,gamma_CP_rx1,5,B,3.75,-1.75,1,-0.15801076725729,0.862068965517241,0.862068965517241,30,29,1,1,1
material_class,B,gamma_CP_rx1,6,B,4.5,-1.75,1,-0.237459758088597,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,7,B,5.25,-1.75,0,0.19380489157641,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,8,B,0.75,-1.25,1,1.14975742631263,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,9,B,1.5,-1.25,1,0.534491937828971,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,10,B,2.25,-1.25,1,0.230431851318336,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,11,B,3,-1.25,1,0.351200682314462,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,12,B,3.75,-1.25,1,0.563703933128707,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,13,B,4.5,-1.25,1,-0.572306602282194,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,14,B,5.25,-1.25,1,0.427744337345077,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,15,B,0.75,-0.75,1,0.141514211758006,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,16,B,1.5,-0.75,1,0.175567173447591,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,17,B,2.25,-0.75,1,0.436416812450924,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,18,B,3,-0.75,1,0.290845509357814,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,19,B,3.75,-0.75,1,0.280243320831364,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,20,B,4.5,-0.75,1,0.476477226744233,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,21,B,5.25,-0.75,1,0.344610380479224,0.896551724137931,0.896551724137931,30,29,1,1,1
material_class,B,gamma_CP_rx1,22,B,0.75,-0.25,1,0.317091818621197,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,23,B,1.5,-0.25,1,0.266299956017718,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,24,B,2.25,-0.25,1,0.40939070018119,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,25,B,3,-0.25,1,0.397215052363639,NaN,NaN,30,30,0,0,1
material_class,B,gamma_CP_rx1,26,B,3.75,-0.25,1,0.505888337408846,NaN,NaN,30,30,0,0,1
