label_mode,scope,feature_name,sample_id,scenario,x_m,y_m,label,feature_value,local_raw_auc,local_effective_auc,n_local,n_los_local,n_nlos_local,min_class_local,unstable_flag
material_class,B+C,gamma_CP_rx1,1,B,0.75,-1.75,1,0.703876825260898,0.689655172413793,0.689655172413793,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,2,B,1.5,-1.75,1,0.750719142919264,0.517857142857143,0.517857142857143,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,3,B,2.25,-1.75,1,0.540716991187168,0.553571428571429,0.553571428571429,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,4,B,3,-1.75,1,0.545836097636117,0.654320987654321,0.654320987654321,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,5,B,3.75,-1.75,1,-0.15801076725729,0.743055555555556,0.743055555555556,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,6,B,4.5,-1.75,1,-0.237459758088597,0.80952380952381,0.80952380952381,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,7,B,5.25,-1.75,0,0.19380489157641,0.75,0.75,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,8,B,0.75,-1.25,1,1.14975742631263,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,9,B,1.5,-1.25,1,0.534491937828971,0.655172413793103,0.655172413793103,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,10,B,2.25,-1.25,1,0.230431851318336,0.666666666666667,0.666666666666667,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,11,B,3,-1.25,1,0.351200682314462,0.618055555555556,0.618055555555556,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,12,B,3.75,-1.25,1,0.563703933128707,0.761363636363636,0.761363636363636,30,22,8,8,0
material_class,B+C,gamma_CP_rx1,13,B,4.5,-1.25,1,-0.572306602282194,0.793650793650794,0.793650793650794,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,14,B,5.25,-1.25,1,0.427744337345077,0.765,0.765,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,15,B,0.75,-0.75,1,0.141514211758006,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,16,B,1.5,-0.75,1,0.175567173447591,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,17,B,2.25,-0.75,1,0.436416812450924,0.528846153846154,0.528846153846154,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,18,B,3,-0.75,1,0.290845509357814,0.683229813664596,0.683229813664596,30,23,7,7,0
material_class,B+C,gamma_CP_rx1,19,B,3.75,-0.75,1,0.280243320831364,0.597883597883598,0.597883597883598,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,20,B,4.5,-0.75,1,0.476477226744233,0.755980861244019,0.755980861244019,30,19,11,11,0
material_class,B+C,gamma_CP_rx1,21,B,5.25,-0.75,1,0.344610380479224,0.795,0.795,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,22,B,0.75,-0.25,1,0.317091818621197,0.758620689655172,0.758620689655172,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,23,B,1.5,-0.25,1,0.266299956017718,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,24,B,2.25,-0.25,1,0.40939070018119,0.605769230769231,0.605769230769231,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,25,B,3,-0.25,1,0.397215052363639,0.77639751552795,0.77639751552795,30,23,7,7,0
material_class,B+C,gamma_CP_rx1,26,B,3.75,-0.25,1,0.505888337408846,0.714285714285714,0.714285714285714,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,27,B,4.5,-0.25,1,0.515458178231592,0.85,0.85,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,28,B,5.25,-0.25,1,0.590122971441305,0.818181818181818,0.818181818181818,30,19,11,11,0
material_class,B+C,gamma_CP_rx1,29,B,0.75,0.25,1,1.24122051545543,0.689655172413793,0.689655172413793,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,30,B,1.5,0.25,1,0.718836165778259,0.758620689655172,0.758620689655172,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,31,B,2.25,0.25,1,0.651793810434081,0.730769230769231,0.730769230769231,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,32,B,3,0.25,1,0.671333453896976,0.863354037267081,0.863354037267081,30,23,7,7,0
material_class,B+C,gamma_CP_rx1,33,B,3.75,0.25,1,0.677812645033558,0.82010582010582,0.82010582010582,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,34,B,4.5,0.25,1,0.603603974005773,0.862433862433862,0.862433862433862,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,35,B,5.25,0.25,1,0.628084556326829,0.846560846560847,0.846560846560847,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,36,B,0.75,0.75,1,0.873904012708618,1,1,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,37,B,1.5,0.75,1,1.31331776828931,0.62962962962963,0.62962962962963,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,38,B,2.25,0.75,1,1.3176366369459,0.752,0.752,30,25,5,5,0
material_class,B+C,gamma_CP_rx1,39,B,3,0.75,1,0.97906454401422,0.784722222222222,0.784722222222222,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,40,B,3.75,0.75,1,0.596792308719203,0.840277777777778,0.840277777777778,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,41,B,4.5,0.75,1,0.834906508478982,0.847222222222222,0.847222222222222,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,42,B,5.25,0.75,1,0.753323117115444,0.850931677018634,0.850931677018634,30,23,7,7,0
material_class,B+C,gamma_CP_rx1,43,B,0.75,1.25,1,1.32423155867255,0.535714285714286,0.535714285714286,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,44,B,1.5,1.25,1,1.95070265138022,0.535714285714286,0.535714285714286,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,45,B,2.25,1.25,1,1.37484941959414,0.740384615384615,0.740384615384615,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,46,B,3,1.25,1,1.46063378293863,0.721153846153846,0.721153846153846,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,47,B,3.75,1.25,1,1.20130833031312,0.778846153846154,0.778846153846154,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,48,B,4.5,1.25,1,0.74312312454814,0.807692307692308,0.807692307692308,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,49,B,5.25,1.25,1,1.12382323391284,0.840277777777778,0.840277777777778,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,50,B,0.75,1.75,1,0.277521381250725,0.553571428571429,0.553571428571429,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,51,B,1.5,1.75,1,0.859672498454131,0.553571428571429,0.553571428571429,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,52,B,2.25,1.75,1,1.21027951008887,0.553571428571429,0.553571428571429,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,53,B,3,1.75,1,1.38774257590279,0.654320987654321,0.654320987654321,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,54,B,3.75,1.75,1,1.33067575091962,0.5,0.5,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,55,B,4.5,1.75,1,1.22136552635994,0.765432098765432,0.765432098765432,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,56,B,5.25,1.75,1,0.892737462055846,0.84,0.84,30,25,5,5,0
material_class,B+C,gamma_CP_rx1,57,C,0.75,-1.75,1,0.702963752716057,0.689655172413793,0.689655172413793,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,58,C,1.5,-1.75,1,0.609315757308192,0.517857142857143,0.517857142857143,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,59,C,2.25,-1.75,1,0.54070826556544,0.553571428571429,0.553571428571429,30,28,2,2,1
material_class,B+C,gamma_CP_rx1,60,C,3,-1.75,1,0.0261177903018104,0.654320987654321,0.654320987654321,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,61,C,3.75,-1.75,1,0.00364799653652808,0.743055555555556,0.743055555555556,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,62,C,4.5,-1.75,1,-0.371405786102733,0.80952380952381,0.80952380952381,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,63,C,5.25,-1.75,1,0.426868945514504,0.75,0.75,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,64,C,0.75,-1.25,1,1.15199106362563,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,65,C,1.5,-1.25,1,0.686918477872862,0.655172413793103,0.655172413793103,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,66,C,2.25,-1.25,1,0.483455583870976,0.666666666666667,0.666666666666667,30,27,3,3,1
material_class,B+C,gamma_CP_rx1,67,C,3,-1.25,1,0.311286406930924,0.618055555555556,0.618055555555556,30,24,6,6,0
material_class,B+C,gamma_CP_rx1,68,C,3.75,-1.25,1,0.342328764327052,0.761363636363636,0.761363636363636,30,22,8,8,0
material_class,B+C,gamma_CP_rx1,69,C,4.5,-1.25,1,0.530459104588135,0.793650793650794,0.793650793650794,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,70,C,5.25,-1.25,0,-0.110182621197291,0.765,0.765,30,20,10,10,0
material_class,B+C,gamma_CP_rx1,71,C,0.75,-0.75,1,0.141205545395562,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,72,C,1.5,-0.75,1,0.095665902498196,0.724137931034483,0.724137931034483,30,29,1,1,1
material_class,B+C,gamma_CP_rx1,73,C,2.25,-0.75,1,0.371573838843188,0.528846153846154,0.528846153846154,30,26,4,4,1
material_class,B+C,gamma_CP_rx1,74,C,3,-0.75,0,0.520740407174521,0.683229813664596,0.683229813664596,30,23,7,7,0
material_class,B+C,gamma_CP_rx1,75,C,3.75,-0.75,0,-0.176802601981556,0.597883597883598,0.597883597883598,30,21,9,9,0
material_class,B+C,gamma_CP_rx1,76,C,4.5,-0.75,0,-0.000106929456278776,0.755980861244019,0.755980861244019,30,19,11,11,0
material_class,B+C,gamma_CP_rx1,77,C,5.25,-0.75,0,-0.586169464805825,0.795,0.795,30,20,10,10,0
