label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
geometric_class,B,0.75,-1.75,a_FP_LHCP_rx2,0.768,5,0
geometric_class,B,1.5,-1.75,a_FP_LHCP_rx2,0.729166666666667,6,0
geometric_class,B,2.25,-1.75,a_FP_LHCP_rx2,0.823863636363636,8,0
geometric_class,B,3,-1.75,a_FP_LHCP_rx2,0.791666666666667,12,0
geometric_class,B,3.75,-1.75,gamma_CP_rx2,0.796380090497738,13,0
geometric_class,B,4.5,-1.75,gamma_CP_rx2,0.85,10,0
geometric_class,B,5.25,-1.75,gamma_CP_rx2,0.86,10,0
geometric_class,B,0.75,-1.25,a_FP_RHCP_rx1,0.711538461538462,4,1
geometric_class,B,1.5,-1.25,a_FP_LHCP_rx2,0.756944444444445,6,0
geometric_class,B,2.25,-1.25,a_FP_LHCP_rx2,0.778409090909091,8,0
geometric_class,B,3,-1.25,a_FP_LHCP_rx2,0.773755656108597,13,0
geometric_class,B,3.75,-1.25,gamma_CP_rx2,0.782407407407407,12,0
geometric_class,B,4.5,-1.25,gamma_CP_rx2,0.865,10,0
geometric_class,B,5.25,-1.25,gamma_CP_rx2,0.851851851851852,9,0
geometric_class,B,0.75,-0.75,a_FP_RHCP_rx1,0.701923076923077,4,1
geometric_class,B,1.5,-0.75,a_FP_LHCP_rx2,0.770833333333333,6,0
geometric_class,B,2.25,-0.75,a_FP_LHCP_rx2,0.77639751552795,7,0
geometric_class,B,3,-0.75,a_FP_LHCP_rx1,0.768518518518518,12,0
geometric_class,B,3.75,-0.75,gamma_CP_rx2,0.726851851851852,12,0
geometric_class,B,4.5,-0.75,gamma_CP_rx2,0.851851851851852,9,0
geometric_class,B,5.25,-0.75,gamma_CP_rx2,0.703703703703704,9,0
geometric_class,B,0.75,-0.25,a_FP_RHCP_rx1,0.701923076923077,4,1
geometric_class,B,1.5,-0.25,a_FP_RHCP_rx1,0.711538461538462,4,1
geometric_class,B,2.25,-0.25,a_FP_LHCP_rx2,0.763975155279503,7,0
geometric_class,B,3,-0.25,a_FP_LHCP_rx1,0.787037037037037,12,0
geometric_class,B,3.75,-0.25,a_FP_LHCP_rx1,0.740740740740741,12,0
geometric_class,B,4.5,-0.25,gamma_CP_rx2,0.656084656084656,9,0
geometric_class,B,5.25,-0.25,gamma_CP_rx2,0.703703703703704,9,0
geometric_class,B,0.75,0.25,a_FP_RHCP_rx1,0.692307692307692,4,1
geometric_class,B,1.5,0.25,a_FP_RHCP_rx2,0.701923076923077,4,1
geometric_class,B,2.25,0.25,a_FP_LHCP_rx1,0.806818181818182,8,0
geometric_class,B,3,0.25,a_FP_LHCP_rx1,0.777777777777778,12,0
geometric_class,B,3.75,0.25,a_FP_LHCP_rx1,0.759259259259259,12,0
geometric_class,B,4.5,0.25,a_FP_RHCP_rx1,0.715,10,0
geometric_class,B,5.25,0.25,a_FP_RHCP_rx1,0.703703703703704,9,0
geometric_class,B,0.75,0.75,a_FP_RHCP_rx2,0.692307692307692,4,1
geometric_class,B,1.5,0.75,a_FP_LHCP_rx1,0.770833333333333,6,0
geometric_class,B,2.25,0.75,a_FP_LHCP_rx1,0.77639751552795,7,0
geometric_class,B,3,0.75,a_FP_LHCP_rx1,0.800925925925926,12,0
geometric_class,B,3.75,0.75,gamma_CP_rx1,0.782805429864253,13,0
geometric_class,B,4.5,0.75,gamma_CP_rx1,0.9,10,0
geometric_class,B,5.25,0.75,a_FP_RHCP_rx1,0.777777777777778,9,0
geometric_class,B,0.75,1.25,a_FP_LHCP_rx1,0.72,5,0
geometric_class,B,1.5,1.25,a_FP_LHCP_rx1,0.756944444444444,6,0
geometric_class,B,2.25,1.25,a_FP_LHCP_rx1,0.825396825396825,9,0
geometric_class,B,3,1.25,a_FP_LHCP_rx1,0.819004524886878,13,0
geometric_class,B,3.75,1.25,gamma_CP_rx1,0.895927601809955,13,0
geometric_class,B,4.5,1.25,gamma_CP_rx1,0.904306220095694,11,0
geometric_class,B,5.25,1.25,gamma_CP_rx1,0.931216931216931,9,0
geometric_class,B,0.75,1.75,a_FP_LHCP_rx1,0.792,5,0
geometric_class,B,1.5,1.75,a_FP_LHCP_rx1,0.770833333333333,6,0
geometric_class,B,2.25,1.75,a_FP_LHCP_rx1,0.857954545454545,8,0
geometric_class,B,3,1.75,gamma_CP_rx2,0.819444444444444,12,0
geometric_class,B,3.75,1.75,gamma_CP_rx1,0.892857142857143,14,0
geometric_class,B,4.5,1.75,gamma_CP_rx1,0.947368421052632,11,0
geometric_class,B,5.25,1.75,gamma_CP_rx1,0.904306220095694,11,0
