label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
geometric_class,B+C,0.75,-1.75,fp_idx_diff_rx12,0.72,5,0
geometric_class,B+C,1.5,-1.75,a_FP_LHCP_rx2,0.670454545454545,8,0
geometric_class,B+C,2.25,-1.75,gamma_CP_rx1,0.717703349282297,11,0
geometric_class,B+C,3,-1.75,gamma_CP_rx1,0.758928571428572,14,0
geometric_class,B+C,3.75,-1.75,gamma_CP_rx2,0.738636363636364,8,0
geometric_class,B+C,4.5,-1.75,a_FP_RHCP_rx1,0.722222222222222,6,0
geometric_class,B+C,5.25,-1.75,gamma_CP_rx2,0.76,5,0
geometric_class,B+C,0.75,-1.25,fp_idx_diff_rx12,0.759615384615385,4,1
geometric_class,B+C,1.5,-1.25,fp_idx_diff_rx12,0.666666666666667,6,0
geometric_class,B+C,2.25,-1.25,gamma_CP_rx1,0.736842105263158,11,0
geometric_class,B+C,3,-1.25,gamma_CP_rx1,0.698564593301435,11,0
geometric_class,B+C,3.75,-1.25,gamma_CP_rx2,0.757763975155279,7,0
geometric_class,B+C,4.5,-1.25,gamma_CP_rx2,0.75,6,0
geometric_class,B+C,5.25,-1.25,a_FP_RHCP_rx1,0.8,5,0
geometric_class,B+C,0.75,-0.75,fp_idx_diff_rx12,0.722222222222222,3,1
geometric_class,B+C,1.5,-0.75,fp_idx_diff_rx12,0.798076923076923,4,1
geometric_class,B+C,2.25,-0.75,a_FP_LHCP_rx1,0.731481481481482,12,0
geometric_class,B+C,3,-0.75,a_FP_LHCP_rx1,0.72,10,0
geometric_class,B+C,3.75,-0.75,gamma_CP_rx2,0.756944444444444,6,0
geometric_class,B+C,4.5,-0.75,gamma_CP_rx2,0.769230769230769,4,1
geometric_class,B+C,5.25,-0.75,a_FP_RHCP_rx2,0.808,5,0
geometric_class,B+C,0.75,-0.25,gamma_CP_rx1,0.75,2,1
geometric_class,B+C,1.5,-0.25,fp_idx_diff_rx12,0.740740740740741,3,1
geometric_class,B+C,2.25,-0.25,a_FP_LHCP_rx1,0.791666666666667,12,0
geometric_class,B+C,3,-0.25,a_FP_LHCP_rx1,0.793650793650794,9,0
geometric_class,B+C,3.75,-0.25,a_FP_RHCP_rx2,0.711538461538461,4,1
geometric_class,B+C,4.5,-0.25,a_FP_RHCP_rx2,0.817307692307692,4,1
geometric_class,B+C,5.25,-0.25,gamma_CP_rx1,0.827160493827161,3,1
geometric_class,B+C,0.75,0.25,fp_idx_diff_rx12,0.896551724137931,1,1
geometric_class,B+C,1.5,0.25,gamma_CP_rx1,0.75,2,1
geometric_class,B+C,2.25,0.25,a_FP_LHCP_rx2,0.708133971291866,11,0
geometric_class,B+C,3,0.25,a_FP_LHCP_rx2,0.775,10,0
geometric_class,B+C,3.75,0.25,gamma_CP_rx1,0.827160493827161,3,1
geometric_class,B+C,4.5,0.25,a_FP_LHCP_rx1,0.91358024691358,3,1
geometric_class,B+C,5.25,0.25,a_FP_RHCP_rx1,0.91358024691358,3,1
geometric_class,B+C,0.75,0.75,gamma_CP_rx1,1,1,1
geometric_class,B+C,1.5,0.75,fp_idx_diff_rx12,0.962962962962963,3,1
geometric_class,B+C,2.25,0.75,a_FP_LHCP_rx2,0.77511961722488,11,0
geometric_class,B+C,3,0.75,gamma_CP_rx1,0.703703703703704,12,0
geometric_class,B+C,3.75,0.75,gamma_CP_rx1,0.798611111111111,6,0
geometric_class,B+C,4.5,0.75,a_FP_RHCP_rx1,0.861111111111111,6,0
geometric_class,B+C,5.25,0.75,a_FP_RHCP_rx1,0.904,5,0
geometric_class,B+C,0.75,1.25,a_FP_LHCP_rx2,1,2,1
geometric_class,B+C,1.5,1.25,a_FP_LHCP_rx2,0.942307692307692,4,1
geometric_class,B+C,2.25,1.25,a_FP_LHCP_rx2,0.805,10,0
geometric_class,B+C,3,1.25,gamma_CP_rx1,0.755656108597285,13,0
geometric_class,B+C,3.75,1.25,gamma_CP_rx1,0.801136363636364,8,0
geometric_class,B+C,4.5,1.25,gamma_CP_rx1,0.806818181818182,8,0
geometric_class,B+C,5.25,1.25,a_FP_RHCP_rx1,0.888888888888889,6,0
geometric_class,B+C,0.75,1.75,a_FP_LHCP_rx2,1,3,1
geometric_class,B+C,1.5,1.75,a_FP_LHCP_rx2,0.916666666666667,6,0
geometric_class,B+C,2.25,1.75,a_FP_LHCP_rx2,0.857142857142857,9,0
geometric_class,B+C,3,1.75,a_FP_LHCP_rx2,0.732142857142857,14,0
geometric_class,B+C,3.75,1.75,gamma_CP_rx1,0.72,10,0
geometric_class,B+C,4.5,1.75,gamma_CP_rx1,0.75,8,0
geometric_class,B+C,5.25,1.75,a_FP_RHCP_rx1,0.875776397515528,7,0
