label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
geometric_class,C,0.75,-1.75,a_FP_LHCP_rx2,0.877828054298643,13,0
geometric_class,C,1.5,-1.75,a_FP_LHCP_rx2,0.822222222222222,15,0
geometric_class,C,2.25,-1.75,gamma_CP_rx1,0.84375,14,0
geometric_class,C,3,-1.75,gamma_CP_rx1,0.85,10,0
geometric_class,C,3.75,-1.75,a_FP_LHCP_rx1,0.752,5,0
geometric_class,C,4.5,-1.75,gamma_CP_rx1,0.846153846153846,4,1
geometric_class,C,5.25,-1.75,gamma_CP_rx1,0.851851851851852,3,1
geometric_class,C,0.75,-1.25,a_FP_LHCP_rx2,0.856481481481481,12,0
geometric_class,C,1.5,-1.25,a_FP_LHCP_rx2,0.866071428571429,14,0
geometric_class,C,2.25,-1.25,gamma_CP_rx1,0.799107142857143,14,0
geometric_class,C,3,-1.25,a_FP_RHCP_rx1,0.798941798941799,9,0
geometric_class,C,3.75,-1.25,gamma_CP_rx1,0.808,5,0
geometric_class,C,4.5,-1.25,gamma_CP_rx1,0.827160493827161,3,1
geometric_class,C,5.25,-1.25,gamma_CP_rx1,0.827160493827161,3,1
geometric_class,C,0.75,-0.75,a_FP_LHCP_rx2,0.856481481481481,12,0
geometric_class,C,1.5,-0.75,a_FP_LHCP_rx2,0.864253393665158,13,0
geometric_class,C,2.25,-0.75,a_FP_LHCP_rx2,0.871111111111111,15,0
geometric_class,C,3,-0.75,a_FP_LHCP_rx1,0.80952380952381,9,0
geometric_class,C,3.75,-0.75,gamma_CP_rx1,0.807692307692308,4,1
geometric_class,C,4.5,-0.75,gamma_CP_rx1,0.839506172839506,3,1
geometric_class,C,5.25,-0.75,a_FP_RHCP_rx2,0.814814814814815,3,1
geometric_class,C,0.75,-0.25,a_FP_LHCP_rx2,0.856481481481481,12,0
geometric_class,C,1.5,-0.25,a_FP_LHCP_rx2,0.847222222222222,12,0
geometric_class,C,2.25,-0.25,a_FP_LHCP_rx2,0.857777777777778,15,0
geometric_class,C,3,-0.25,a_FP_LHCP_rx2,0.830687830687831,9,0
geometric_class,C,3.75,-0.25,a_FP_RHCP_rx2,0.769230769230769,4,1
geometric_class,C,4.5,-0.25,a_FP_RHCP_rx2,0.814814814814815,3,1
geometric_class,C,5.25,-0.25,a_FP_RHCP_rx2,0.814814814814815,3,1
geometric_class,C,0.75,0.25,a_FP_LHCP_rx2,0.847222222222222,12,0
geometric_class,C,1.5,0.25,a_FP_LHCP_rx2,0.87037037037037,12,0
geometric_class,C,2.25,0.25,a_FP_LHCP_rx2,0.897321428571429,14,0
geometric_class,C,3,0.25,a_FP_RHCP_rx2,0.888888888888889,9,0
geometric_class,C,3.75,0.25,a_FP_RHCP_rx2,0.840277777777778,6,0
geometric_class,C,4.5,0.25,a_FP_RHCP_rx2,0.851851851851852,3,1
geometric_class,C,5.25,0.25,a_FP_RHCP_rx2,0.839506172839506,3,1
geometric_class,C,0.75,0.75,a_FP_LHCP_rx2,0.851851851851852,12,0
geometric_class,C,1.5,0.75,a_FP_LHCP_rx2,0.897321428571429,14,0
geometric_class,C,2.25,0.75,a_FP_LHCP_rx2,0.901785714285714,14,0
geometric_class,C,3,0.75,a_FP_LHCP_rx2,0.888888888888889,9,0
geometric_class,C,3.75,0.75,a_FP_RHCP_rx2,0.928,5,0
geometric_class,C,4.5,0.75,a_FP_RHCP_rx2,0.902777777777778,6,0
geometric_class,C,5.25,0.75,a_FP_RHCP_rx2,0.864197530864197,3,1
geometric_class,C,0.75,1.25,a_FP_LHCP_rx2,0.895927601809955,13,0
geometric_class,C,1.5,1.25,a_FP_LHCP_rx2,0.901785714285714,14,0
geometric_class,C,2.25,1.25,a_FP_LHCP_rx2,0.879464285714286,14,0
geometric_class,C,3,1.25,a_FP_LHCP_rx2,0.925925925925926,9,0
geometric_class,C,3.75,1.25,a_FP_RHCP_rx2,0.919254658385093,7,0
geometric_class,C,4.5,1.25,a_FP_RHCP_rx2,0.902777777777778,6,0
geometric_class,C,5.25,1.25,a_FP_RHCP_rx2,0.912,5,0
geometric_class,C,0.75,1.75,a_FP_LHCP_rx2,0.901785714285714,14,0
geometric_class,C,1.5,1.75,a_FP_LHCP_rx2,0.893333333333333,15,0
geometric_class,C,2.25,1.75,a_FP_LHCP_rx2,0.879464285714286,14,0
geometric_class,C,3,1.75,a_FP_LHCP_rx2,0.923444976076555,11,0
geometric_class,C,3.75,1.75,a_FP_RHCP_rx2,0.919254658385093,7,0
geometric_class,C,4.5,1.75,a_FP_RHCP_rx2,0.902777777777778,6,0
geometric_class,C,5.25,1.75,a_FP_RHCP_rx2,0.909722222222222,6,0
