label_mode,scope,x_m,y_m,best_feature,best_auc_effective,best_min_class_local,unstable_flag
material_class,C,0.75,-1.75,a_FP_RHCP_rx2,0.854166666666667,6,0
material_class,C,1.5,-1.75,a_FP_RHCP_rx2,0.847222222222222,6,0
material_class,C,2.25,-1.75,a_FP_RHCP_rx2,0.857954545454545,8,0
material_class,C,3,-1.75,a_FP_RHCP_rx2,0.866028708133971,11,0
material_class,C,3.75,-1.75,gamma_CP_rx2,0.888392857142857,14,0
material_class,C,4.5,-1.75,a_FP_RHCP_rx2,0.875,14,0
material_class,C,5.25,-1.75,gamma_CP_rx2,0.830357142857143,14,0
material_class,C,0.75,-1.25,a_FP_RHCP_rx2,0.778846153846154,4,1
material_class,C,1.5,-1.25,a_FP_RHCP_rx2,0.854166666666667,6,0
material_class,C,2.25,-1.25,a_FP_RHCP_rx2,0.84472049689441,7,0
material_class,C,3,-1.25,a_FP_RHCP_rx2,0.880382775119617,11,0
material_class,C,3.75,-1.25,a_FP_RHCP_rx2,0.866071428571429,14,0
material_class,C,4.5,-1.25,a_FP_RHCP_rx2,0.861607142857143,14,0
material_class,C,5.25,-1.25,a_FP_RHCP_rx2,0.841628959276018,13,0
material_class,C,0.75,-0.75,a_FP_RHCP_rx2,0.868055555555556,6,0
material_class,C,1.5,-0.75,a_FP_RHCP_rx2,0.861111111111111,6,0
material_class,C,2.25,-0.75,a_FP_RHCP_rx2,0.881987577639752,7,0
material_class,C,3,-0.75,a_FP_RHCP_rx2,0.86,10,0
material_class,C,3.75,-0.75,a_FP_RHCP_rx2,0.857142857142857,14,0
material_class,C,4.5,-0.75,a_FP_RHCP_rx2,0.816964285714286,14,0
material_class,C,5.25,-0.75,a_FP_RHCP_rx2,0.809954751131222,13,0
material_class,C,0.75,-0.25,a_FP_RHCP_rx2,0.868055555555556,6,0
material_class,C,1.5,-0.25,a_FP_RHCP_rx2,0.824,5,0
material_class,C,2.25,-0.25,a_FP_RHCP_rx2,0.857142857142857,7,0
material_class,C,3,-0.25,a_FP_RHCP_rx2,0.865,10,0
material_class,C,3.75,-0.25,a_FP_RHCP_rx2,0.848214285714286,14,0
material_class,C,4.5,-0.25,a_FP_RHCP_rx2,0.809954751131222,13,0
material_class,C,5.25,-0.25,a_FP_RHCP_rx2,0.809954751131222,13,0
material_class,C,0.75,0.25,a_FP_RHCP_rx2,0.847222222222222,6,0
material_class,C,1.5,0.25,a_FP_RHCP_rx2,0.833333333333333,6,0
material_class,C,2.25,0.25,a_FP_RHCP_rx2,0.878306878306878,9,0
material_class,C,3,0.25,a_FP_RHCP_rx2,0.851674641148325,11,0
material_class,C,3.75,0.25,gamma_CP_rx1,0.891402714932127,13,0
material_class,C,4.5,0.25,a_FP_RHCP_rx1,0.832579185520362,13,0
material_class,C,5.25,0.25,a_FP_RHCP_rx1,0.800904977375566,13,0
material_class,C,0.75,0.75,a_FP_RHCP_rx2,0.826388888888889,6,0
material_class,C,1.5,0.75,a_FP_RHCP_rx2,0.832298136645963,7,0
material_class,C,2.25,0.75,a_FP_RHCP_rx2,0.829545454545455,8,0
material_class,C,3,0.75,a_FP_RHCP_rx1,0.875598086124402,11,0
material_class,C,3.75,0.75,a_FP_RHCP_rx1,0.832579185520362,13,0
material_class,C,4.5,0.75,a_FP_RHCP_rx1,0.868778280542986,13,0
material_class,C,5.25,0.75,a_FP_RHCP_rx1,0.832579185520362,13,0
material_class,C,0.75,1.25,a_FP_RHCP_rx2,0.8125,6,0
material_class,C,1.5,1.25,a_FP_RHCP_rx2,0.813664596273292,7,0
material_class,C,2.25,1.25,a_FP_RHCP_rx2,0.840909090909091,8,0
material_class,C,3,1.25,a_FP_RHCP_rx1,0.861244019138756,11,0
material_class,C,3.75,1.25,a_FP_RHCP_rx1,0.873303167420815,13,0
material_class,C,4.5,1.25,a_FP_RHCP_rx1,0.828054298642534,13,0
material_class,C,5.25,1.25,gamma_CP_rx1,0.850678733031674,13,0
material_class,C,0.75,1.75,a_FP_RHCP_rx2,0.826388888888889,6,0
material_class,C,1.5,1.75,a_FP_RHCP_rx2,0.813664596273292,7,0
material_class,C,2.25,1.75,a_FP_RHCP_rx2,0.857142857142857,7,0
material_class,C,3,1.75,a_FP_RHCP_rx1,0.835978835978836,9,0
material_class,C,3.75,1.75,a_FP_RHCP_rx1,0.873303167420815,13,0
material_class,C,4.5,1.75,a_FP_RHCP_rx1,0.857142857142857,14,0
material_class,C,5.25,1.75,a_FP_RHCP_rx1,0.83710407239819,13,0
