rcp_power_mode,rcp_window_ns,config_name,scope,auc,accuracy,n_valid,n_los,n_nlos,mean_fp_idx_diff
PEAK,0,PEAK_3f,B,0.767142857142857,0.713636363636364,56,35,21,0.178571428571429
PEAK,0,PEAK_3f,C,0.857142857142857,0.784848484848485,56,21,35,0.535714285714286
PEAK,0,PEAK_3f,B+C,0.824380165289256,0.705928853754941,112,56,56,0.357142857142857
WINDOW,0.5,WINDOW_3f,B,0.751428571428572,0.713636363636364,56,35,21,0.178571428571429
WINDOW,0.5,WINDOW_3f,C,0.857142857142857,0.784848484848485,56,21,35,0.535714285714286
WINDOW,0.5,WINDOW_3f,B+C,0.827548209366391,0.71501976284585,112,56,56,0.357142857142857
WINDOW,1,WINDOW_3f,B,0.757142857142857,0.695454545454545,56,35,21,0.178571428571429
WINDOW,1,WINDOW_3f,C,0.862857142857143,0.784848484848485,56,21,35,0.535714285714286
WINDOW,1,WINDOW_3f,B+C,0.829338842975207,0.71501976284585,112,56,56,0.357142857142857
WINDOW,1.5,WINDOW_3f,B,0.731428571428571,0.713636363636364,56,35,21,0.178571428571429
WINDOW,1.5,WINDOW_3f,C,0.855714285714286,0.784848484848485,56,21,35,0.535714285714286
WINDOW,1.5,WINDOW_3f,B+C,0.83099173553719,0.733201581027668,112,56,56,0.357142857142857
WINDOW,2,WINDOW_3f,B,0.744285714285714,0.713636363636364,56,35,21,0.178571428571429
WINDOW,2,WINDOW_3f,C,0.848571428571429,0.803030303030303,56,21,35,0.535714285714286
WINDOW,2,WINDOW_3f,B+C,0.832644628099174,0.742292490118577,112,56,56,0.357142857142857
WINDOW,3,WINDOW_3f,B,0.75,0.693939393939394,56,35,21,0.178571428571429
WINDOW,3,WINDOW_3f,C,0.861428571428571,0.803030303030303,56,21,35,0.535714285714286
WINDOW,3,WINDOW_3f,B+C,0.831129476584022,0.742292490118577,112,56,56,0.357142857142857
WINDOW,4,WINDOW_3f,B,0.805714285714286,0.677272727272727,56,35,21,0.178571428571429
WINDOW,4,WINDOW_3f,C,0.854285714285714,0.784848484848485,56,21,35,0.535714285714286
WINDOW,4,WINDOW_3f,B+C,0.836225895316804,0.71501976284585,112,56,56,0.357142857142857
