pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
1,0.088519594319834,0.250099987203325,1,1,10,10,-70.5018198530252,-62.2395899346446,1,NA,NaN
2,0.193270408664427,0.26086372045475,1,1,13,12,-67.2857481881956,-57.7136470720972,2,NA,NaN
3,0.0582756295536048,0.291848270638763,1,1,16,16,-68.3546108433933,-57.4892208800044,3,NA,NaN
4,0.0703218993923018,0.228815140187809,1,1,20,20,-66.9771560789117,-58.3129052007571,4,NA,NaN
5,0.0989970230423556,0.280446715970564,1,1,24,24,-68.706893399028,-58.2165888543414,5,NA,NaN
6,0.0372111216136346,0.310271478037676,1,1,28,29,-70.9042696726181,-59.8259882452638,6,NA,NaN
7,0.136870771719573,0.2279087784535,1,1,34,34,-66.1304255539806,-59.936483368102,7,NA,NaN
8,0.264880924368847,0.350200311881892,1,1,8,7,-67.4917771937998,-58.061289948254,8,NA,NaN
9,0.070121308194524,0.250584598689422,1,1,10,10,-65.9592713430532,-55.8350866462026,9,NA,NaN
10,0.0832655208122616,0.265457808225013,1,1,14,14,-65.8385038418712,-56.2789670355378,10,NA,NaN
11,0.11552494034865,0.252263253423745,1,1,18,18,-66.2891780190146,-58.0424194589139,11,NA,NaN
12,0.147833953132554,0.301586335038467,1,1,23,23,-66.9316921376443,-60.012512163165,12,NA,NaN
13,0.18242403616766,0.326179926420629,1,1,28,28,-67.5638734730411,-61.2354694003731,13,NA,NaN
14,0.209638174860258,0.295598264744949,1,1,32,32,-69.4888213527769,-63.4623117413105,14,NA,NaN
15,0.0622447030841652,0.27095506132375,1,1,5,5,-67.0679389104375,-55.3930789909781,15,NA,NaN
16,0.106462688425233,0.382092699938293,1,1,9,9,-64.4129479710115,-54.994507271876,16,NA,NaN
17,0.170286310238572,0.34862359820335,1,1,13,13,-63.6646524212667,-56.5948469845119,17,NA,NaN
18,0.224386035312329,0.272730841802266,1,1,17,17,-64.6870303448373,-59.0241715699131,18,NA,NaN
19,0.2699011636424,0.284043313487643,1,1,22,22,-65.3852152846634,-59.9306874281664,19,NA,NaN
20,0.305145495504729,0.37831625356532,1,1,27,27,-67.3285317300164,-62.9320526546593,20,NA,NaN
21,0.336432744151841,0.45286425614581,1,1,32,32,-68.9468856157918,-64.6541377954955,21,NA,NaN
22,0.215455347740025,0.306463364612222,1,1,4,4,-62.5426818848446,-56.3411492174999,22,NA,NaN
23,0.357978703319792,0.370860247575628,1,1,8,8,-60.5982031026228,-56.2925586304129,23,NA,NaN
24,0.464483433863892,0.315224727873948,1,1,12,12,-61.4880752576969,-58.338029349343,24,NA,NaN
25,0.516408622427329,0.358102292307162,1,1,17,17,-63.0217917853856,-60.2284641719556,25,NA,NaN
26,0.542778281610433,0.414043550125122,1,1,22,22,-64.7080228347182,-62.5424919279514,26,NA,NaN
27,0.565404822301505,0.38372426013837,1,1,27,27,-65.3608370693908,-62.223543058723,27,NA,NaN
28,0.571137732554543,0.243494073959284,1,1,31,31,-66.2237081159984,-63.976035871569,28,NA,NaN
29,2.30956964870082,0.326568393688164,1,1,4,4,-58.977445855225,-62.5475390866469,29,NA,NaN
30,2.13675628401366,0.377208682077033,1,1,8,8,-57.9013558373142,-61.1853611415994,30,NA,NaN
31,1.65720968298,0.323391003558371,1,1,12,12,-59.5491219482898,-61.5679730532322,31,NA,NaN
32,1.3519635367009,0.359093025874429,1,1,17,17,-61.3839123313233,-62.4764843672567,32,NA,NaN
33,1.1739771672915,0.414589974628303,1,1,22,22,-63.3492522427859,-64.4202509521169,33,NA,NaN
34,1.06866797118031,0.366062784174792,1,1,27,27,-63.9965982333741,-64.0758152331255,34,NA,NaN
35,0.991172419068858,0.270413665322468,1,1,31,31,-65.675459469955,-65.5180736703189,35,NA,NaN
36,3.66708354950912,0.297147888935415,1,1,5,6,-57.8655812506466,-67.574343747311,36,NA,NaN
37,13.8032535554865,0.408619398969646,1,1,9,9,-57.1342420123904,-67.8455240348878,37,NA,NaN
38,6.58812548922965,0.3857987854238,1,1,13,13,-58.4265978605136,-66.1942844011314,38,NA,NaN
39,3.74849608365435,0.306809207030618,1,1,17,17,-60.4902650593113,-65.476131631128,39,NA,NaN
40,2.63900060973027,0.305248290682609,1,1,22,22,-61.7412561155731,-64.9633612059578,40,NA,NaN
41,2.04023558262222,0.397875140604093,1,1,27,27,-64.1730755716527,-67.1037230171447,41,NA,NaN
42,1.70246336216516,0.399833906322109,1,1,32,32,-65.4716977978803,-67.9057050140685,42,NA,NaN
43,9.15531466630305,0.293365053610212,1,1,7,8,-59.2557816968808,-72.9138709397073,43,NA,NaN
44,52.1183991120322,0.3158144386366,1,1,10,10,-57.703179733703,-71.5555862393214,44,NA,NaN
45,26.9909032324988,0.336823512658338,1,1,14,14,-58.2898088852379,-70.8953191736707,45,NA,NaN
46,10.2547328075786,0.30485709535165,1,1,18,18,-59.9125935194947,-68.6954807643852,46,NA,NaN
47,5.70916405057459,0.3833082780982,1,1,23,23,-61.7809296209085,-67.3733734488799,47,NA,NaN
48,3.93206761010699,0.400391046069316,1,1,28,28,-63.0866721873027,-67.426342231995,48,NA,NaN
49,2.9390434455508,0.336823697112223,1,1,32,32,-65.2510577423843,-70.2505718287416,49,NA,NaN
50,39.6607429893463,0.359301707207391,1,1,10,10,-61.6672467448725,-75.6402780771041,50,NA,NaN
51,42.6920638611894,0.291417729412965,1,1,12,13,-59.2430008852502,-75.4974222587376,51,NA,NaN
52,76.7701967002247,0.380496759783448,1,1,16,16,-59.1890556750531,-71.3418245283932,52,NA,NaN
53,28.5731742213903,0.400705177397665,1,1,20,20,-60.2366214310769,-72.3152056441773,53,NA,NaN
54,11.7446085417047,0.273004333137696,1,1,24,24,-60.4150898310465,-70.1524423078284,54,NA,NaN
55,6.693377042113,0.349639615888064,1,1,29,29,-61.9865790336569,-70.5486956004457,55,NA,NaN
56,1.91221409813608,0.238661596527507,1,1,33,34,-62.8654375364821,-65.5682582623422,56,NA,NaN
