scope,subset_id,n_features,feature_set,auc,accuracy,n_samples,n_los,n_nlos
B,S9,2,gamma_CP_rx1 + a_FP_LHCP_rx1,0.848571428571429,0.857575757575758,56,35,21
B,S73,3,gamma_CP_rx1 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.842857142857143,0.824242424242424,56,35,21
B,S107,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.834285714285714,0.748484848484849,56,35,21
B,S77,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.828571428571429,0.804545454545454,56,35,21
B,S13,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1,0.827142857142857,0.787878787878788,56,35,21
B,S11,3,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1,0.824285714285714,0.824242424242424,56,35,21
B,S15,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1,0.822857142857143,0.753030303030303,56,35,21
B,S75,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.821428571428571,0.806060606060606,56,35,21
B,S40,2,a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.814285714285714,0.766666666666667,56,35,21
B,S79,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.814285714285714,0.751515151515152,56,35,21
B,S41,3,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.811428571428571,0.803030303030303,56,35,21
B,S105,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.808571428571428,0.784848484848485,56,35,21
B,S10,2,gamma_CP_rx2 + a_FP_LHCP_rx1,0.802857142857143,0.787878787878788,56,35,21
B,S42,3,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.801428571428571,0.733333333333333,56,35,21
B,S74,3,gamma_CP_rx2 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.797142857142857,0.787878787878788,56,35,21
B,S89,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.795714285714286,0.76969696969697,56,35,21
B,S104,3,a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.794285714285714,0.766666666666667,56,35,21
B,S43,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.792857142857143,0.766666666666667,56,35,21
B,S14,3,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1,0.791428571428571,0.787878787878788,56,35,21
B,S93,5,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.788571428571428,0.734848484848485,56,35,21
B,S25,3,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.787142857142857,0.751515151515152,56,35,21
B,S35,3,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx2,0.787142857142857,0.713636363636364,56,35,21
B,S44,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.785714285714286,0.766666666666667,56,35,21
B,S56,3,a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.785714285714286,0.716666666666667,56,35,21
B,S78,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.782857142857143,0.787878787878788,56,35,21
B,S26,3,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.782857142857143,0.75,56,35,21
B,S30,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.782857142857143,0.733333333333333,56,35,21
B,S24,2,a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.782857142857143,0.733333333333333,56,35,21
B,S106,4,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.781428571428571,0.733333333333333,56,35,21
B,S12,2,a_FP_RHCP_rx1 + a_FP_LHCP_rx1,0.781428571428571,0.713636363636364,56,35,21
B,S33,2,gamma_CP_rx1 + a_FP_LHCP_rx2,0.781428571428571,0.766666666666667,56,35,21
B,S91,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.781428571428571,0.715151515151515,56,35,21
B,S109,5,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.78,0.784848484848485,56,35,21
B,S29,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.78,0.733333333333333,56,35,21
B,S45,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.777142857142857,0.784848484848485,56,35,21
B,S111,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.777142857142857,0.73030303030303,56,35,21
B,S90,4,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.775714285714286,0.751515151515152,56,35,21
B,S97,3,gamma_CP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.775714285714286,0.748484848484849,56,35,21
B,S88,3,a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + fp_idx_diff_rx12,0.775714285714286,0.733333333333333,56,35,21
B,S76,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.775714285714286,0.731818181818182,56,35,21
B,S31,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.775714285714286,0.715151515151515,56,35,21
B,S8,1,a_FP_LHCP_rx1,0.774285714285714,0.731818181818182,56,35,21
B,S46,4,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.772857142857143,0.76969696969697,56,35,21
B,S108,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.772857142857143,0.766666666666667,56,35,21
B,S27,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.768571428571429,0.786363636363636,56,35,21
B,S72,2,a_FP_LHCP_rx1 + fp_idx_diff_rx12,0.768571428571428,0.75,56,35,21
B,S28,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.768571428571428,0.733333333333333,56,35,21
B,S37,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.765714285714286,0.748484848484849,56,35,21
B,S60,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.76969696969697,56,35,21
B,S34,2,gamma_CP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.695454545454546,56,35,21
B,S57,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.764285714285714,0.734848484848485,56,35,21
B,S47,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.764285714285714,0.73030303030303,56,35,21
B,S39,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.762857142857143,0.73030303030303,56,35,21
B,S122,5,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.762857142857143,0.715151515151515,56,35,21
B,S120,4,a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.762857142857143,0.696969696969697,56,35,21
B,S121,5,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.761428571428571,0.715151515151515,56,35,21
